Date,sma_10,sma_20,sma_60,ema_10,ema_20,ema_60,연도,분기,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),총포괄손익
2016-02-03,1.192537313432836,1.2106965174129354,1.2580016583747928,1.152029753655795,1.195687867147483,1.2556179584133382,2016,Q1,-0.0419133682697743,-0.0295112314260238,-0.2370691879451909,0.2742725024114041,-0.2027320623824666,0.0,0.0168733522241455,0.0118076745214472,-0.7815583203956377,-0.8125171851163,-0.7488643367031431,-0.7414096202788931,-0.7414096202788931,-0.0253451506648845
2016-02-04,1.1399515738498789,1.1692493946731235,1.2207828894269572,1.0992832156563208,1.148237510581376,1.2148900712830502,2016,Q1,-0.0419133682697743,-0.0295112314260238,-0.2370691879451909,0.2742725024114041,-0.2027320623824666,0.0,0.0168733522241455,0.0118076745214472,-0.7815583203956377,-0.8125171851163,-0.7488643367031431,-0.7414096202788931,-0.7414096202788931,-0.0253451506648845
2016-02-05,1.0950118764845609,1.1387173396674584,1.1944576405384006,1.0641407282648552,1.1143784351919368,1.1855149077604554,2016,Q1,-0.0419133682697743,-0.0295112314260238,-0.2370691879451909,0.2742725024114041,-0.2027320623824666,0.0,0.0168733522241455,0.0118076745214472,-0.7815583203956377,-0.8125171851163,-0.7488643367031431,-0.7414096202788931,-0.7414096202788931,-0.0253451506648845
2016-02-11,1.1148883374689826,1.1795285359801488,1.243879239040529,1.091366843987263,1.1485186226042938,1.230646546403443,2016,Q1,-0.0419133682697743,-0.0295112314260238,-0.2370691879451909,0.2742725024114041,-0.2027320623824666,0.0,0.0168733522241455,0.0118076745214472,-0.7815583203956377,-0.8125171851163,-0.7488643367031431,-0.7414096202788931,-0.7414096202788931,-0.0253451506648845
2016-02-12,1.1017587939698492,1.1835427135678391,1.255108877721943,1.085972485870672,1.1474284629433995,1.2380370081729573,2016,Q1,-0.0419133682697743,-0.0295112314260238,-0.2370691879451909,0.2742725024114041,-0.2027320623824666,0.0,0.0168733522241455,0.0118076745214472,-0.7815583203956377,-0.8125171851163,-0.7488643367031431,-0.7414096202788931,-0.7414096202788931,-0.0253451506648845
2016-02-15,1.0736180904522612,1.1722361809045223,1.2510887772194303,1.070341124803277,1.133387656948776,1.2302317281325172,2016,Q1,-0.0419133682697743,-0.0295112314260238,-0.2370691879451909,0.2742725024114041,-0.2027320623824666,0.0,0.0168733522241455,0.0118076745214472,-0.7815583203956377,-0.8125171851163,-0.7488643367031431,-0.7414096202788931,-0.7414096202788931,-0.0253451506648845
2016-02-16,1.0216216216216216,1.134152334152334,1.2202293202293202,1.0381867118707475,1.098008361044409,1.1963702944958052,2016,Q1,-0.0419133682697743,-0.0295112314260238,-0.2370691879451909,0.2742725024114041,-0.2027320623824666,0.0,0.0168733522241455,0.0118076745214472,-0.7815583203956377,-0.8125171851163,-0.7488643367031431,-0.7414096202788931,-0.7414096202788931,-0.0253451506648845
2016-02-17,1.017283950617284,1.128395061728395,1.222962962962963,1.03543836713413,1.093580088883756,1.1956455942675446,2016,Q1,-0.0419133682697743,-0.0295112314260238,-0.2370691879451909,0.2742725024114041,-0.2027320623824666,0.0,0.0168733522241455,0.0118076745214472,-0.7815583203956377,-0.8125171851163,-0.7488643367031431,-0.7414096202788931,-0.7414096202788931,-0.0253451506648845
2016-02-18,0.9982885085574572,1.1057457212713937,1.2068459657701711,1.020709679529652,1.0749911263197638,1.1779204669020114,2016,Q1,-0.0419133682697743,-0.0295112314260238,-0.2370691879451909,0.2742725024114041,-0.2027320623824666,0.0,0.0168733522241455,0.0118076745214472,-0.7815583203956377,-0.8125171851163,-0.7488643367031431,-0.7414096202788931,-0.7414096202788931,-0.0253451506648845
2016-02-19,0.9938875305623472,1.0942542787286065,1.202648736756316,1.0169442832515334,1.0678491142893054,1.1720864935358055,2016,Q1,-0.0419133682697743,-0.0295112314260238,-0.2370691879451909,0.2742725024114041,-0.2027320623824666,0.0,0.0168733522241455,0.0118076745214472,-0.7815583203956377,-0.8125171851163,-0.7488643367031431,-0.7414096202788931,-0.7414096202788931,-0.0253451506648845
2016-02-22,1.0111940298507462,1.101865671641791,1.2188225538971809,1.0283518558681355,1.078210787389499,1.1861840775208996,2016,Q1,-0.0419133682697743,-0.0295112314260238,-0.2370691879451909,0.2742725024114041,-0.2027320623824666,0.0,0.0168733522241455,0.0118076745214472,-0.7815583203956377,-0.8125171851163,-0.7488643367031431,-0.7414096202788931,-0.7414096202788931,-0.0253451506648845
2016-02-23,1.003960396039604,1.0846534653465347,1.2077970297029703,1.0190317314425998,1.0659328140123718,1.1743995255598931,2016,Q1,-0.0419133682697743,-0.0295112314260238,-0.2370691879451909,0.2742725024114041,-0.2027320623824666,0.0,0.0168733522241455,0.0118076745214472,-0.7815583203956377,-0.8125171851163,-0.7488643367031431,-0.7414096202788931,-0.7414096202788931,-0.0253451506648845
