Date,sma_10,sma_20,sma_60,ema_10,ema_20,ema_60,연도,분기,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),이익잉여금,총포괄손익
2016-01-04,1.0741293532338307,1.1029850746268657,1.1008844665561082,1.0652899808186005,1.0894872971579703,1.0892042634554513,2016,Q1,0.0039046385619108,-0.0092965380191104,0.0199196106494916,0.0370218325883862,0.0260014468826621,0.0,-0.0202063919063749,-0.7686757895379387,-45.33260507774256,-1.2710563284752443,-1.4454229492294253,-1.4454229492294253,-0.5947279982107189,0.2500800617924958
2016-01-05,1.042207792207792,1.0749188311688311,1.0775703463203463,1.0350249005169043,1.0601620256290782,1.0640462125279595,2016,Q1,0.0039046385619108,-0.0092965380191104,0.0199196106494916,0.0370218325883862,0.0260014468826621,0.0,-0.0202063919063749,-0.7686757895379387,-45.33260507774256,-1.2710563284752443,-1.4454229492294253,-1.4454229492294253,-0.5947279982107189,0.2500800617924958
2016-01-06,1.0401960784313726,1.0773692810457516,1.0843954248366012,1.0341916293026914,1.060701552128985,1.0686723281531354,2016,Q1,0.0039046385619108,-0.0092965380191104,0.0199196106494916,0.0370218325883862,0.0260014468826621,0.0,-0.0202063919063749,-0.7686757895379387,-45.33260507774256,-1.2710563284752443,-1.4454229492294253,-1.4454229492294253,-0.5947279982107189,0.2500800617924958
2016-01-07,1.024512987012987,1.066314935064935,1.0772456709956708,1.0224804448345963,1.0486887483113096,1.0597084131398518,2016,Q1,0.0039046385619108,-0.0092965380191104,0.0199196106494916,0.0370218325883862,0.0260014468826621,0.0,-0.0202063919063749,-0.7686757895379387,-45.33260507774256,-1.2710563284752443,-1.4454229492294253,-1.4454229492294253,-0.5947279982107189,0.2500800617924958
2016-01-08,1.0197389885807504,1.0671288743882543,1.0824904839586733,1.0224872588110636,1.0486951845129264,1.0627664341671763,2016,Q1,0.0039046385619108,-0.0092965380191104,0.0199196106494916,0.0370218325883862,0.0260014468826621,0.0,-0.0202063919063749,-0.7686757895379387,-45.33260507774256,-1.2710563284752443,-1.4454229492294253,-1.4454229492294253,-0.5947279982107189,0.2500800617924958
2016-01-11,1.0306156405990017,1.0819467554076538,1.1037160288408208,1.0351024363728083,1.0630023622550744,1.081232164971467,2016,Q1,0.0039046385619108,-0.0092965380191104,0.0199196106494916,0.0370218325883862,0.0260014468826621,0.0,-0.0202063919063749,-0.7686757895379387,-45.33260507774256,-1.2710563284752443,-1.4454229492294253,-1.4454229492294253,-0.5947279982107189,0.2500800617924958
2016-01-12,1.080565371024735,1.1364840989399294,1.1696996466431095,1.0810904398234051,1.116475178747223,1.143236321843783,2016,Q1,0.0039046385619108,-0.0092965380191104,0.0199196106494916,0.0370218325883862,0.0260014468826621,0.0,-0.0202063919063749,-0.7686757895379387,-45.33260507774256,-1.2710563284752443,-1.4454229492294253,-1.4454229492294253,-0.5947279982107189,0.2500800617924958
2016-01-13,1.0624561403508772,1.1167543859649125,1.1593859649122806,1.0601395056555705,1.0982935732871102,1.1307795057387138,2016,Q1,0.0039046385619108,-0.0092965380191104,0.0199196106494916,0.0370218325883862,0.0260014468826621,0.0,-0.0202063919063749,-0.7686757895379387,-45.33260507774256,-1.2710563284752443,-1.4454229492294253,-1.4454229492294253,-0.5947279982107189,0.2500800617924958
2016-01-14,1.0794223826714802,1.1370036101083032,1.1904031287605294,1.074255934363813,1.1176310296285397,1.158077775027048,2016,Q1,0.0039046385619108,-0.0092965380191104,0.0199196106494916,0.0370218325883862,0.0260014468826621,0.0,-0.0202063919063749,-0.7686757895379387,-45.33260507774256,-1.2710563284752443,-1.4454229492294253,-1.4454229492294253,-0.5947279982107189,0.2500800617924958
2016-01-15,1.053832442067736,1.1114973262032086,1.1729055258467025,1.049787731119425,1.0938107306569305,1.1389176384097008,2016,Q1,0.0039046385619108,-0.0092965380191104,0.0199196106494916,0.0370218325883862,0.0260014468826621,0.0,-0.0202063919063749,-0.7686757895379387,-45.33260507774256,-1.2710563284752443,-1.4454229492294253,-1.4454229492294253,-0.5947279982107189,0.2500800617924958
2016-01-18,1.0777163904235727,1.1352670349907918,1.2077041129527315,1.069207810885983,1.1176820641998984,1.1708782649346352,2016,Q1,0.0039046385619108,-0.0092965380191104,0.0199196106494916,0.0370218325883862,0.0260014468826621,0.0,-0.0202063919063749,-0.7686757895379387,-45.33260507774256,-1.2710563284752443,-1.4454229492294253,-1.4454229492294253,-0.5947279982107189,0.2500800617924958
2016-01-19,1.041726618705036,1.098201438848921,1.175689448441247,1.036170466285121,1.0828302377826176,1.138795834039361,2016,Q1,0.0039046385619108,-0.0092965380191104,0.0199196106494916,0.0370218325883862,0.0260014468826621,0.0,-0.0202063919063749,-0.7686757895379387,-45.33260507774256,-1.2710563284752443,-1.4454229492294253,-1.4454229492294253,-0.5947279982107189,0.2500800617924958
2016-01-20,1.0773584905660378,1.139245283018868,1.2285534591194969,1.0711830211476407,1.1230025725008912,1.1882778901427506,2016,Q1,0.0039046385619108,-0.0092965380191104,0.0199196106494916,0.0370218325883862,0.0260014468826621,0.0,-0.0202063919063749,-0.7686757895379387,-45.33260507774256,-1.2710563284752443,-1.4454229492294253,-1.4454229492294253,-0.5947279982107189,0.2500800617924958
