Date,sma_10,sma_20,sma_60,ema_10,ema_20,ema_60,연도,분기,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익,영업비용,이자비용
2016-02-01,0.9540001723593116,0.9487073051621612,0.9622528319592464,0.9685883886040054,0.9602047775921916,0.9459091690916492,2016,Q1,0.0001067880096745,0.0376852059962735,1.8779623050163556,0.0024388374410324,0.91091510077965,0.0118917852090525,0.0070379493684773,-0.3965254469036798,-0.2283839299735071,-0.2365576365206884,-0.1800991573074309,-0.1800991573074309,0.0138279750560954,0.029503777009058,0.009295996516357,0.0551202573778129
2016-02-02,0.9581102925398756,0.947096058937129,0.959438285291944,0.9710913475073216,0.9604777664142552,0.9439790537042232,2016,Q1,0.0001067880096745,0.0376852059962735,1.8779623050163556,0.0024388374410324,0.91091510077965,0.0118917852090525,0.0070379493684773,-0.3965254469036798,-0.2283839299735071,-0.2365576365206884,-0.1800991573074309,-0.1800991573074309,0.0138279750560954,0.029503777009058,0.009295996516357,0.0551202573778129
2016-02-03,0.9855200911108516,0.9682082992641046,0.9803921854923492,0.9927860830663022,0.9822212629272464,0.9647062942198068,2016,Q1,0.0001067880096745,0.0376852059962735,1.8779623050163556,0.0024388374410324,0.91091510077965,0.0118917852090525,0.0070379493684773,-0.3965254469036798,-0.2283839299735071,-0.2365576365206884,-0.1800991573074309,-0.1800991573074309,0.0138279750560954,0.029503777009058,0.009295996516357,0.0551202573778129
2016-02-04,0.9771042515347984,0.9546768317172528,0.9645911029510204,0.9797899521088208,0.9682610449824124,0.9494281523221132,2016,Q1,0.0001067880096745,0.0376852059962735,1.8779623050163556,0.0024388374410324,0.91091510077965,0.0118917852090525,0.0070379493684773,-0.3965254469036798,-0.2283839299735071,-0.2365576365206884,-0.1800991573074309,-0.1800991573074309,0.0138279750560954,0.029503777009058,0.009295996516357,0.0551202573778129
2016-02-05,1.007937841862385,0.9837719492237604,0.9921516013780156,1.0057905697395473,0.9956819086849696,0.9766612155327516,2016,Q1,0.0001067880096745,0.0376852059962735,1.8779623050163556,0.0024388374410324,0.91091510077965,0.0118917852090525,0.0070379493684773,-0.3965254469036798,-0.2283839299735071,-0.2365576365206884,-0.1800991573074309,-0.1800991573074309,0.0138279750560954,0.029503777009058,0.009295996516357,0.0551202573778129
2016-02-11,1.027090496854307,1.004394210123275,1.011344014174387,1.0199113183019652,1.0127037654556024,0.9948443799105344,2016,Q1,0.0001067880096745,0.0376852059962735,1.8779623050163556,0.0024388374410324,0.91091510077965,0.0118917852090525,0.0070379493684773,-0.3965254469036798,-0.2283839299735071,-0.2365576365206884,-0.1800991573074309,-0.1800991573074309,0.0138279750560954,0.029503777009058,0.009295996516357,0.0551202573778129
2016-02-12,1.0497085084839373,1.02659169709429,1.0335713847381178,1.0344317937583625,1.0314124871137158,1.0159313283348963,2016,Q1,0.0001067880096745,0.0376852059962735,1.8779623050163556,0.0024388374410324,0.91091510077965,0.0118917852090525,0.0070379493684773,-0.3965254469036798,-0.2283839299735071,-0.2365576365206884,-0.1800991573074309,-0.1800991573074309,0.0138279750560954,0.029503777009058,0.009295996516357,0.0551202573778129
2016-02-15,1.0352960831067843,1.0150661421867169,1.0241040556070249,1.0196748996950296,1.019052570194666,1.0055443957355752,2016,Q1,0.0001067880096745,0.0376852059962735,1.8779623050163556,0.0024388374410324,0.91091510077965,0.0118917852090525,0.0070379493684773,-0.3965254469036798,-0.2283839299735071,-0.2365576365206884,-0.1800991573074309,-0.1800991573074309,0.0138279750560954,0.029503777009058,0.009295996516357,0.0551202573778129
2016-02-16,1.0280409498425007,1.0113740307729586,1.0221266456667475,1.0137097299733169,1.0145990466434878,1.0025788502125017,2016,Q1,0.0001067880096745,0.0376852059962735,1.8779623050163556,0.0024388374410324,0.91091510077965,0.0118917852090525,0.0070379493684773,-0.3965254469036798,-0.2283839299735071,-0.2365576365206884,-0.1800991573074309,-0.1800991573074309,0.0138279750560954,0.029503777009058,0.009295996516357,0.0551202573778129
2016-02-17,1.027916044719286,1.0171969720047522,1.0281313146698348,1.0159922790917435,1.0184938361651277,1.008077319405793,2016,Q1,0.0001067880096745,0.0376852059962735,1.8779623050163556,0.0024388374410324,0.91091510077965,0.0118917852090525,0.0070379493684773,-0.3965254469036798,-0.2283839299735071,-0.2365576365206884,-0.1800991573074309,-0.1800991573074309,0.0138279750560954,0.029503777009058,0.009295996516357,0.0551202573778129
