Date,sma_10,sma_20,sma_60,ema_10,ema_20,ema_60,연도,분기,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익
2018-08-30,1.0145228215767634,1.0199170124481327,1.000414937759336,1.0136009333920528,1.0147087821610123,1.0190607917092682,2018,Q3,-0.0100935601534188,-0.0092184787582312,-0.0718705825484238,-0.0121899616059499,-0.0474813402259873,0.0341252108857661,0.0205719103119375,-0.0404301089254786,-0.1428408792400969,-0.4246536523644425,-0.5017777574018893,-0.5017777574018893,0.0,0.0524495188961025
2018-08-31,0.9947154471544716,1.0,0.9800135501355014,0.9942721450581532,0.9946479894532086,0.998402332221384,2018,Q3,-0.0100935601534188,-0.0092184787582312,-0.0718705825484238,-0.0121899616059499,-0.0474813402259873,0.0341252108857661,0.0205719103119375,-0.0404301089254786,-0.1428408792400969,-0.4246536523644425,-0.5017777574018893,-0.5017777574018893,0.0,0.0524495188961025
2018-09-03,0.9919028340080972,0.9965587044534412,0.9760458839406208,0.9920200696204458,0.991514305514613,0.9945451284171476,2018,Q3,-0.0100935601534188,-0.0092184787582312,-0.0718705825484238,-0.0121899616059499,-0.0474813402259873,0.0341252108857661,0.0205719103119375,-0.0404301089254786,-0.1428408792400969,-0.4246536523644425,-0.5017777574018893,-0.5017777574018893,0.0,0.0524495188961025
2018-09-04,0.9824,0.986,0.9644666666666666,0.983731132642273,0.9815574544343004,0.9831807315687277,2018,Q3,-0.0100935601534188,-0.0092184787582312,-0.0718705825484238,-0.0121899616059499,-0.0474813402259873,0.0341252108857661,0.0205719103119375,-0.0404301089254786,-0.1428408792400969,-0.4246536523644425,-0.5017777574018893,-0.5017777574018893,0.0,0.0524495188961025
2018-09-05,0.9836,0.986,0.9644,0.986689108525496,0.9833138873453195,0.9837321829927036,2018,Q3,-0.0100935601534188,-0.0092184787582312,-0.0718705825484238,-0.0121899616059499,-0.0474813402259873,0.0341252108857661,0.0205719103119375,-0.0404301089254786,-0.1428408792400969,-0.4246536523644425,-0.5017777574018893,-0.5017777574018893,0.0,0.0524495188961025
2018-09-06,0.974308300395257,0.974505928853755,0.9529644268774704,0.9795366490055216,0.9743536542236528,0.9729831982856464,2018,Q3,-0.0100935601534188,-0.0092184787582312,-0.0718705825484238,-0.0121899616059499,-0.0474813402259873,0.0341252108857661,0.0205719103119375,-0.0404301089254786,-0.1428408792400969,-0.4246536523644425,-0.5017777574018893,-0.5017777574018893,0.0,0.0524495188961025
2018-09-07,0.9872,0.986,0.9647333333333332,0.9928745271947536,0.9873748601624952,0.9851619803809736,2018,Q3,-0.0100935601534188,-0.0092184787582312,-0.0718705825484238,-0.0121899616059499,-0.0474813402259873,0.0341252108857661,0.0205719103119375,-0.0404301089254786,-0.1428408792400969,-0.4246536523644425,-0.5017777574018893,-0.5017777574018893,0.0,0.0524495188961025
2018-09-10,0.9860557768924304,0.9820717131474104,0.9613545816733068,0.9909336060080388,0.9850181342765796,0.9818522115223932,2018,Q3,-0.0100935601534188,-0.0092184787582312,-0.0718705825484238,-0.0121899616059499,-0.0474813402259873,0.0341252108857661,0.0205719103119375,-0.0404301089254786,-0.1428408792400969,-0.4246536523644425,-0.5017777574018893,-0.5017777574018893,0.0,0.0524495188961025
2018-09-11,0.9853174603174604,0.978968253968254,0.9583994708994708,0.9893647243766812,0.9829084433796312,0.9786787275849024,2018,Q3,-0.0100935601534188,-0.0092184787582312,-0.0718705825484238,-0.0121899616059499,-0.0474813402259873,0.0341252108857661,0.0205719103119375,-0.0404301089254786,-0.1428408792400969,-0.4246536523644425,-0.5017777574018893,-0.5017777574018893,0.0,0.0524495188961025
2018-09-12,0.996,0.9874,0.9672,0.997774252685932,0.991650595600319,0.9869505129004806,2018,Q3,-0.0100935601534188,-0.0092184787582312,-0.0718705825484238,-0.0121899616059499,-0.0474813402259873,0.0341252108857661,0.0205719103119375,-0.0404301089254786,-0.1428408792400969,-0.4246536523644425,-0.5017777574018893,-0.5017777574018893,0.0,0.0524495188961025
