Date,sma_10,sma_20,sma_60,ema_10,ema_20,ema_60,연도,분기,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),총포괄손익,자본금
2022-07-14,0.9874365482233504,0.9867385786802032,1.0286802030456852,0.9923525185082464,0.9953994534680106,1.0071274822488412,2022,Q3,0.0455498258788686,-0.0036870651016602,-0.0448880808487707,0.0360473885877916,-0.0202618579488481,0.0112215398233406,0.0094002806014088,0.0700643467933959,-0.4272690763634466,-0.8524367355747822,-0.8199996339074884,-0.8199996339074884,0.0103290927344232,0.0039823159530387
2022-07-15,0.9850821744627054,0.9848925410872312,1.0249894648124738,0.9906636089254666,0.9924219262731356,1.0031993306815017,2022,Q3,0.0455498258788686,-0.0036870651016602,-0.0448880808487707,0.0360473885877916,-0.0202618579488481,0.0112215398233406,0.0094002806014088,0.0700643467933959,-0.4272690763634466,-0.8524367355747822,-0.8199996339074884,-0.8199996339074884,0.0103290927344232,0.0039823159530387
2022-07-18,0.97478152309613,0.9754681647940074,1.012193091968373,0.9822419965884004,0.9819338404351085,0.9909807323545364,2022,Q3,0.0455498258788686,-0.0036870651016602,-0.0448880808487707,0.0360473885877916,-0.0202618579488481,0.0112215398233406,0.0094002806014088,0.0700643467933959,-0.4272690763634466,-0.8524367355747822,-0.8199996339074884,-0.8199996339074884,0.0103290927344232,0.0039823159530387
2022-07-19,0.9555420219244825,0.9546285018270402,0.9879821356069832,0.965893317839196,0.9620121290865908,0.9679271266616688,2022,Q3,0.0455498258788686,-0.0036870651016602,-0.0448880808487707,0.0360473885877916,-0.0202618579488481,0.0112215398233406,0.0094002806014088,0.0700643467933959,-0.4272690763634466,-0.8524367355747822,-0.8199996339074884,-0.8199996339074884,0.0103290927344232,0.0039823159530387
2022-07-20,0.9689950980392156,0.9636642156862744,0.9944035947712416,0.9769369123789904,0.9709633054167676,0.9747151657096708,2022,Q3,0.0455498258788686,-0.0036870651016602,-0.0448880808487707,0.0360473885877916,-0.0202618579488481,0.0112215398233406,0.0094002806014088,0.0700643467933959,-0.4272690763634466,-0.8524367355747822,-0.8199996339074884,-0.8199996339074884,0.0103290927344232,0.0039823159530387
2022-07-21,0.9719512195121952,0.961890243902439,0.990040650406504,0.9772311180167746,0.9694433848537496,0.9709453606142822,2022,Q3,0.0455498258788686,-0.0036870651016602,-0.0448880808487707,0.0360473885877916,-0.0202618579488481,0.0112215398233406,0.0094002806014088,0.0700643467933959,-0.4272690763634466,-0.8524367355747822,-0.8199996339074884,-0.8199996339074884,0.0103290927344232,0.0039823159530387
2022-07-22,0.9902348578491964,0.977070457354759,1.0029666254635352,0.9922424599352506,0.984279706634965,0.984667096527163,2022,Q3,0.0455498258788686,-0.0036870651016602,-0.0448880808487707,0.0360473885877916,-0.0202618579488481,0.0112215398233406,0.0094002806014088,0.0700643467933959,-0.4272690763634466,-0.8524367355747822,-0.8199996339074884,-0.8199996339074884,0.0103290927344232,0.0039823159530387
2022-07-25,0.9786148238153098,0.9613001215066828,0.9857027136492508,0.9798428532849398,0.97062797955714,0.9689688899933872,2022,Q3,0.0455498258788686,-0.0036870651016602,-0.0448880808487707,0.0360473885877916,-0.0202618579488481,0.0112215398233406,0.0094002806014088,0.0700643467933959,-0.4272690763634466,-0.8524367355747822,-0.8199996339074884,-0.8199996339074884,0.0103290927344232,0.0039823159530387
2022-07-26,0.9808484848484847,0.9593333333333334,0.983070707070707,0.9815642990943856,0.971296376123232,0.9677143048466746,2022,Q3,0.0455498258788686,-0.0036870651016602,-0.0448880808487707,0.0360473885877916,-0.0202618579488481,0.0112215398233406,0.0094002806014088,0.0700643467933959,-0.4272690763634466,-0.8524367355747822,-0.8199996339074884,-0.8199996339074884,0.0103290927344232,0.0039823159530387
2022-07-27,1.0027227722772276,0.9819306930693068,1.003135313531353,1.0018131098982688,0.992519489375982,0.9884656262865584,2022,Q3,0.0455498258788686,-0.0036870651016602,-0.0448880808487707,0.0360473885877916,-0.0202618579488481,0.0112215398233406,0.0094002806014088,0.0700643467933959,-0.4272690763634466,-0.8524367355747822,-0.8199996339074884,-0.8199996339074884,0.0103290927344232,0.0039823159530387
