Date,sma_10,sma_20,sma_60,ema_10,ema_20,ema_60,연도,분기,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익,영업비용
2018-11-07,0.9999978413849674,1.01396623926089,1.000777101411734,0.997038395181332,1.0071287769385942,0.9922225345257284,2018,Q4,0.1216337267485798,0.0658735802080499,0.265780109882952,0.1034979717957094,0.1552357700600455,0.0092214903686076,0.0105117839976218,-0.025936124627936,-0.1652137522534122,-0.2081616158382881,-0.0924875355931094,-0.0924875355931094,0.0,0.1385611730372928,0.1295555290488295
2018-11-08,0.9977639590059152,1.0172989838147033,1.005494045168606,1.0006346603225504,1.009865433799061,0.9960748397904956,2018,Q4,0.1216337267485798,0.0658735802080499,0.265780109882952,0.1034979717957094,0.1552357700600455,0.0092214903686076,0.0105117839976218,-0.025936124627936,-0.1652137522534122,-0.2081616158382881,-0.0924875355931094,-0.0924875355931094,0.0,0.1385611730372928,0.1295555290488295
2018-11-09,0.9999912844536442,1.0222660420525111,1.0117104259723282,1.005121618121998,1.014062189528305,1.0016194066535316,2018,Q4,0.1216337267485798,0.0658735802080499,0.265780109882952,0.1034979717957094,0.1552357700600455,0.0092214903686076,0.0105117839976218,-0.025936124627936,-0.1652137522534122,-0.2081616158382881,-0.0924875355931094,-0.0924875355931094,0.0,0.1385611730372928,0.1295555290488295
2018-11-12,0.9928864479996528,1.0181681029804417,1.0085882157147923,1.0011199300098117,1.0092973273706205,0.9979491871367208,2018,Q4,0.1216337267485798,0.0658735802080499,0.265780109882952,0.1034979717957094,0.1552357700600455,0.0092214903686076,0.0105117839976218,-0.025936124627936,-0.1652137522534122,-0.2081616158382881,-0.0924875355931094,-0.0924875355931094,0.0,0.1385611730372928,0.1295555290488295
2018-11-13,0.9938061373175876,1.0197907831495618,1.0110687022900762,1.0024482965134964,1.010119810998192,0.9998217321501688,2018,Q4,0.1216337267485798,0.0658735802080499,0.265780109882952,0.1034979717957094,0.1552357700600455,0.0092214903686076,0.0105117839976218,-0.025936124627936,-0.1652137522534122,-0.2081616158382881,-0.0924875355931094,-0.0924875355931094,0.0,0.1385611730372928,0.1295555290488295
2018-11-14,0.9816614790168507,1.0058280562412794,0.9986079210046152,0.9913690050404124,0.9973065738109542,0.9872893656030902,2018,Q4,0.1216337267485798,0.0658735802080499,0.265780109882952,0.1034979717957094,0.1552357700600455,0.0092214903686076,0.0105117839976218,-0.025936124627936,-0.1652137522534122,-0.2081616158382881,-0.0924875355931094,-0.0924875355931094,0.0,0.1385611730372928,0.1295555290488295
2018-11-15,0.9947598063689844,1.0147969262161634,1.0099926918039668,1.0020589100426227,1.007709276528579,0.9984436890034286,2018,Q4,0.1216337267485798,0.0658735802080499,0.265780109882952,0.1034979717957094,0.1552357700600455,0.0092214903686076,0.0105117839976218,-0.025936124627936,-0.1652137522534122,-0.2081616158382881,-0.0924875355931094,-0.0924875355931094,0.0,0.1385611730372928,0.1295555290488295
2018-11-16,0.959670115085795,0.9705108230503968,0.9675862451008904,0.966412152713225,0.967750180131921,0.9569478936098116,2018,Q4,0.1216337267485798,0.0658735802080499,0.265780109882952,0.1034979717957094,0.1552357700600455,0.0092214903686076,0.0105117839976218,-0.025936124627936,-0.1652137522534122,-0.2081616158382881,-0.0924875355931094,-0.0924875355931094,0.0,0.1385611730372928,0.1295555290488295
2018-11-19,0.9746388072238557,0.9792566148677024,0.9789566708665828,0.9811201058871044,0.9803459983326512,0.9684276149478308,2018,Q4,0.1216337267485798,0.0658735802080499,0.265780109882952,0.1034979717957094,0.1552357700600455,0.0092214903686076,0.0105117839976218,-0.025936124627936,-0.1652137522534122,-0.2081616158382881,-0.0924875355931094,-0.0924875355931094,0.0,0.1385611730372928,0.1295555290488295
2018-11-20,0.9592835747404702,0.9566267284887776,0.9579264289524436,0.9660745352730988,0.9618002782106526,0.9479012809517382,2018,Q4,0.1216337267485798,0.0658735802080499,0.265780109882952,0.1034979717957094,0.1552357700600455,0.0092214903686076,0.0105117839976218,-0.025936124627936,-0.1652137522534122,-0.2081616158382881,-0.0924875355931094,-0.0924875355931094,0.0,0.1385611730372928,0.1295555290488295
2018-11-21,0.9719685365348788,0.9654491823638998,0.9680400883184986,0.979310974547962,0.9732198933971364,0.9578078902758576,2018,Q4,0.1216337267485798,0.0658735802080499,0.265780109882952,0.1034979717957094,0.1552357700600455,0.0092214903686076,0.0105117839976218,-0.025936124627936,-0.1652137522534122,-0.2081616158382881,-0.0924875355931094,-0.0924875355931094,0.0,0.1385611730372928,0.1295555290488295
2018-11-22,0.9565402977828128,0.9440595161029292,0.9476964988941036,0.9648858645553644,0.9557841921854144,0.938163853365834,2018,Q4,0.1216337267485798,0.0658735802080499,0.265780109882952,0.1034979717957094,0.1552357700600455,0.0092214903686076,0.0105117839976218,-0.025936124627936,-0.1652137522534122,-0.2081616158382881,-0.0924875355931094,-0.0924875355931094,0.0,0.1385611730372928,0.1295555290488295
2018-11-23,0.9713102040816326,0.9539673469387756,0.957254761904762,0.978230320056228,0.9676192026958976,0.9481912413433304,2018,Q4,0.1216337267485798,0.0658735802080499,0.265780109882952,0.1034979717957094,0.1552357700600455,0.0092214903686076,0.0105117839976218,-0.025936124627936,-0.1652137522534122,-0.2081616158382881,-0.0924875355931094,-0.0924875355931094,0.0,0.1385611730372928,0.1295555290488295
2018-11-26,0.99141298938288,0.9699444260119442,0.9737616815969918,0.995067659906792,0.9847906966990164,0.964647518793298,2018,Q4,0.1216337267485798,0.0658735802080499,0.265780109882952,0.1034979717957094,0.1552357700600455,0.0092214903686076,0.0105117839976218,-0.025936124627936,-0.1652137522534122,-0.2081616158382881,-0.0924875355931094,-0.0924875355931094,0.0,0.1385611730372928,0.1295555290488295
2018-11-27,0.9992903373498992,0.9751420365861272,0.9782547016017704,0.9988956534479584,0.989447109861104,0.9691658060138262,2018,Q4,0.1216337267485798,0.0658735802080499,0.265780109882952,0.1034979717957094,0.1552357700600455,0.0092214903686076,0.0105117839976218,-0.025936124627936,-0.1652137522534122,-0.2081616158382881,-0.0924875355931094,-0.0924875355931094,0.0,0.1385611730372928,0.1295555290488295
2018-11-28,0.984865306122449,0.959072448979592,0.9605115646258504,0.9832679320861794,0.9731142258919168,0.9520220082105892,2018,Q4,0.1216337267485798,0.0658735802080499,0.265780109882952,0.1034979717957094,0.1552357700600455,0.0092214903686076,0.0105117839976218,-0.025936124627936,-0.1652137522534122,-0.2081616158382881,-0.0924875355931094,-0.0924875355931094,0.0,0.1385611730372928,0.1295555290488295
