Date,sma_10,sma_20,sma_60,ema_10,ema_20,ema_60,연도,분기,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,이익잉여금,자본총계,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),매출액,총포괄손익,영업비용
2021-09-16,0.9708333333333332,0.9773373983739836,0.958596808190304,0.9740922556307886,0.9710129559092644,0.9643645829814445,2021,Q3,0.1750875351453662,1.3469985787143122,0.0200097960354139,0.1614821463578593,0.0539892595387205,0.1311957715093588,-0.2952488244952161,1.8927028334123728,0.195726530016941,0.5368594927572414,0.2626436069398687,0.2626436069398687,1.697135474911041,1.2690164743433123,1.708236399661002
2021-09-17,0.964741641337386,0.9745694022289768,0.9572658850774352,0.9763994268007408,0.9712997623591614,0.963517255189188,2021,Q3,0.1750875351453662,1.3469985787143122,0.0200097960354139,0.1614821463578593,0.0539892595387205,0.1311957715093588,-0.2952488244952161,1.8927028334123728,0.195726530016941,0.5368594927572414,0.2626436069398687,0.2626436069398687,1.697135474911041,1.2690164743433123,1.708236399661002
2021-09-23,0.9557,0.96345,0.9467241379310344,0.9703247527036082,0.9628373737539606,0.9535845164991156,2021,Q3,0.1750875351453662,1.3469985787143122,0.0200097960354139,0.1614821463578593,0.0539892595387205,0.1311957715093588,-0.2952488244952161,1.8927028334123728,0.195726530016941,0.5368594927572414,0.2626436069398687,0.2626436069398687,1.697135474911041,1.2690164743433123,1.708236399661002
2021-09-24,0.975050709939148,0.980476673427992,0.9614942528735632,0.9869997346438526,0.9788626947929436,0.9688293661935584,2021,Q3,0.1750875351453662,1.3469985787143122,0.0200097960354139,0.1614821463578593,0.0539892595387205,0.1311957715093588,-0.2952488244952161,1.8927028334123728,0.195726530016941,0.5368594927572414,0.2626436069398687,0.2626436069398687,1.697135474911041,1.2690164743433123,1.708236399661002
2021-09-27,0.9681726907630522,0.97535140562249,0.9533942220494882,0.9812638313522896,0.9721225711170416,0.961183630925161,2021,Q3,0.1750875351453662,1.3469985787143122,0.0200097960354139,0.1614821463578593,0.0539892595387205,0.1311957715093588,-0.2952488244952161,1.8927028334123728,0.195726530016941,0.5368594927572414,0.2626436069398687,0.2626436069398687,1.697135474911041,1.2690164743433123,1.708236399661002
2021-09-28,0.9693,0.9745,0.95115625,0.9814657101032076,0.9713876083567206,0.9594714881337618,2021,Q3,0.1750875351453662,1.3469985787143122,0.0200097960354139,0.1614821463578593,0.0539892595387205,0.1311957715093588,-0.2952488244952161,1.8927028334123728,0.195726530016941,0.5368594927572414,0.2626436069398687,0.2626436069398687,1.697135474911041,1.2690164743433123,1.708236399661002
2021-09-29,0.9799,0.9748,0.9526363636363636,0.984840070883687,0.9742166552653556,0.9614632113239884,2021,Q3,0.1750875351453662,1.3469985787143122,0.0200097960354139,0.1614821463578593,0.0539892595387205,0.1311957715093588,-0.2952488244952161,1.8927028334123728,0.195726530016941,0.5368594927572414,0.2626436069398687,0.2626436069398687,1.697135474911041,1.2690164743433123,1.708236399661002
2021-09-30,0.9860557768924304,0.971414342629482,0.9503456761190532,0.9843899312644754,0.9732577780149764,0.959681261330842,2021,Q3,0.1750875351453662,1.3469985787143122,0.0200097960354139,0.1614821463578593,0.0539892595387205,0.1311957715093588,-0.2952488244952161,1.8927028334123728,0.195726530016941,0.5368594927572414,0.2626436069398687,0.2626436069398687,1.697135474911041,1.2690164743433123,1.708236399661002
2021-10-01,0.997991967871486,0.9798694779116466,0.9591795754446356,0.9936985304206816,0.9829334329054058,0.9689421847381982,2021,Q4,1.3725863846519877,0.0525942518614264,0.0795232023201253,0.8404064491866219,0.2809138617621023,0.0003186831359114,-0.051707413871845,0.0174842168180333,0.362422289660252,0.2046698224524785,0.204224158951239,0.204224158951239,0.2964855286248185,0.2782541719391327,0.3035937899871119
2021-10-05,1.0668466522678186,1.0491900647948165,1.0308075353971682,1.0562949811875342,1.05163343086277,1.0402090367745052,2021,Q4,1.3725863846519877,0.0525942518614264,0.0795232023201253,0.8404064491866219,0.2809138617621023,0.0003186831359114,-0.051707413871845,0.0174842168180333,0.362422289660252,0.2046698224524785,0.204224158951239,0.204224158951239,0.2964855286248185,0.2782541719391327,0.3035937899871119
