Date,sma_10,sma_20,sma_60,ema_10,ema_20,ema_60,연도,분기,부채총계,자본금,이익잉여금,자본총계,법인세차감전 순이익,당기순이익,당기손익-공정가치측정금융자산,순이자손익,이자수익,이자비용,영업이익(손실),당기순이익(손실),총포괄손익,순수수료손익
2023-10-19,0.9845714285714284,0.9873714285714286,0.9259428571428572,0.9895400626633932,0.9776923748479864,0.9457588869179648,2023,Q4,-0.0266183150302137,0.0,-0.042364197052406,-0.0282582825236086,0.1012343721744817,0.091749191248786,-0.6485114510029462,1.9566803840877915,1.6452064380685796,-5.944929908392513,0.1108924547122642,0.091749191248786,0.0903165148113096,1.3979289940828403
2023-10-20,0.9982718894009216,0.9952188940092166,0.9351190476190476,0.9979710927392356,0.9869506107004484,0.9549143034135364,2023,Q4,-0.0266183150302137,0.0,-0.042364197052406,-0.0282582825236086,0.1012343721744817,0.091749191248786,-0.6485114510029462,1.9566803840877915,1.6452064380685796,-5.944929908392513,0.1108924547122642,0.091749191248786,0.0903165148113096,1.3979289940828403
2023-10-23,1.0230496453900708,1.0197990543735225,0.9606776989755712,1.0195734124735556,1.011414469867826,0.9804106364844016,2023,Q4,-0.0266183150302137,0.0,-0.042364197052406,-0.0282582825236086,0.1012343721744817,0.091749191248786,-0.6485114510029462,1.9566803840877915,1.6452064380685796,-5.944929908392513,0.1108924547122642,0.091749191248786,0.0903165148113096,1.3979289940828403
2023-10-24,1.0221301775147928,1.0198224852071005,0.9632938856015778,1.017001824913787,1.0114103233956289,0.982175119012172,2023,Q4,-0.0266183150302137,0.0,-0.042364197052406,-0.0282582825236086,0.1012343721744817,0.091749191248786,-0.6485114510029462,1.9566803840877915,1.6452064380685796,-5.944929908392513,0.1108924547122642,0.091749191248786,0.0903165148113096,1.3979289940828403
2023-10-25,1.0149236192714453,1.0109283196239718,0.9580689385037212,1.0080438925829882,1.003871789050239,0.976061731778464,2023,Q4,-0.0266183150302137,0.0,-0.042364197052406,-0.0282582825236086,0.1012343721744817,0.091749191248786,-0.6485114510029462,1.9566803840877915,1.6452064380685796,-5.944929908392513,0.1108924547122642,0.091749191248786,0.0903165148113096,1.3979289940828403
2023-10-26,1.0296650717703348,1.0261363636363636,0.9762161084529506,1.02137974916193,1.019799667188045,0.993785463386636,2023,Q4,-0.0266183150302137,0.0,-0.042364197052406,-0.0282582825236086,0.1012343721744817,0.091749191248786,-0.6485114510029462,1.9566803840877915,1.6452064380685796,-5.944929908392513,0.1108924547122642,0.091749191248786,0.0903165148113096,1.3979289940828403
2023-10-27,1.0390776699029127,1.0371966019417476,0.99043284789644,1.0296625367050265,1.0313510121136675,1.0079873109199913,2023,Q4,-0.0266183150302137,0.0,-0.042364197052406,-0.0282582825236086,0.1012343721744817,0.091749191248786,-0.6485114510029462,1.9566803840877915,1.6452064380685796,-5.944929908392513,0.1108924547122642,0.091749191248786,0.0903165148113096,1.3979289940828403
2023-10-30,1.069482976040353,1.0723203026481716,1.0291298865069356,1.05720249595374,1.064843058046693,1.0458377836331485,2023,Q4,-0.0266183150302137,0.0,-0.042364197052406,-0.0282582825236086,0.1012343721744817,0.091749191248786,-0.6485114510029462,1.9566803840877915,1.6452064380685796,-5.944929908392513,0.1108924547122642,0.091749191248786,0.0903165148113096,1.3979289940828403
2023-10-31,1.0716836734693878,1.0802933673469388,1.0409013605442177,1.056731703805872,1.0697273053686542,1.0559470638768007,2023,Q4,-0.0266183150302137,0.0,-0.042364197052406,-0.0282582825236086,0.1012343721744817,0.091749191248786,-0.6485114510029462,1.9566803840877915,1.6452064380685796,-5.944929908392513,0.1108924547122642,0.091749191248786,0.0903165148113096,1.3979289940828403
2023-11-01,1.0497474747474749,1.0657828282828283,1.0302609427609428,1.0376835287022763,1.0533103619992468,1.0437963111998116,2023,Q4,-0.0266183150302137,0.0,-0.042364197052406,-0.0282582825236086,0.1012343721744817,0.091749191248786,-0.6485114510029462,1.9566803840877915,1.6452064380685796,-5.944929908392513,0.1108924547122642,0.091749191248786,0.0903165148113096,1.3979289940828403
