Date,sma_10,sma_20,sma_60,ema_10,ema_20,ema_60,연도,분기,부채총계,자본금,이익잉여금,자본총계,법인세차감전 순이익,당기순이익,예수부채,당기손익-공정가치측정금융자산,기타포괄손익-공정가치측정금융자산,순이자손익,이자수익,이자비용,파생상품관련손익,영업이익(손실),당기순이익(손실),총포괄손익,순수수료손익
2024-06-03,1.0035294117647058,1.0121691176470589,1.0219117647058824,1.0018932618085603,1.0058141273487915,1.000800190114909,2024,Q2,0.0175048353615425,0.0,0.0261981842603571,0.0177754028739161,-0.2054491614605413,-0.2298428715664189,0.0034903803668973,0.0859152318382971,0.0382375081016406,-0.0058021625196836,0.003789076507956,0.0107606906454662,-1.7071518693140315,-0.2278469215182185,-0.2298428715664189,-0.242470144596692,0.3453357182168408
2024-06-04,1.0091381872213967,1.0219539375928677,1.0318722139673109,1.0100752076547872,1.0147257146640054,1.01084217054564,2024,Q2,0.0175048353615425,0.0,0.0261981842603571,0.0177754028739161,-0.2054491614605413,-0.2298428715664189,0.0034903803668973,0.0859152318382971,0.0382375081016406,-0.0058021625196836,0.003789076507956,0.0107606906454662,-1.7071518693140315,-0.2278469215182185,-0.2298428715664189,-0.242470144596692,0.3453357182168408
2024-06-05,1.0068452380952382,1.022284226190476,1.0326636904761906,1.0094731510775223,1.014689463818639,1.0119415999672063,2024,Q2,0.0175048353615425,0.0,0.0261981842603571,0.0177754028739161,-0.2054491614605413,-0.2298428715664189,0.0034903803668973,0.0859152318382971,0.0382375081016406,-0.0058021625196836,0.003789076507956,0.0107606906454662,-1.7071518693140315,-0.2278469215182185,-0.2298428715664189,-0.242470144596692,0.3453357182168408
2024-06-07,0.9928046989721,1.007562408223201,1.0183675966715613,0.9968353514506548,1.0011576165328568,0.9986148757974002,2024,Q2,0.0175048353615425,0.0,0.0261981842603571,0.0177754028739161,-0.2054491614605413,-0.2298428715664189,0.0034903803668973,0.0859152318382971,0.0382375081016406,-0.0058021625196836,0.003789076507956,0.0107606906454662,-1.7071518693140315,-0.2278469215182185,-0.2298428715664189,-0.242470144596692,0.3453357182168408
2024-06-10,1.005439642324888,1.0210134128166914,1.032513661202186,1.009565623769281,1.0145467603660945,1.0130548262848145,2024,Q2,0.0175048353615425,0.0,0.0261981842603571,0.0177754028739161,-0.2054491614605413,-0.2298428715664189,0.0034903803668973,0.0859152318382971,0.0382375081016406,-0.0058021625196836,0.003789076507956,0.0107606906454662,-1.7071518693140315,-0.2278469215182185,-0.2298428715664189,-0.242470144596692,0.3453357182168408
2024-06-11,1.0054436987322892,1.0200223713646532,1.03165548098434,1.0084423838306134,1.0138458611489178,1.0133574777274,2024,Q2,0.0175048353615425,0.0,0.0261981842603571,0.0177754028739161,-0.2054491614605413,-0.2298428715664189,0.0034903803668973,0.0859152318382971,0.0382375081016406,-0.0058021625196836,0.003789076507956,0.0107606906454662,-1.7071518693140315,-0.2278469215182185,-0.2298428715664189,-0.242470144596692,0.3453357182168408
2024-06-12,1.0073991031390137,1.0202914798206275,1.0321001494768312,1.0087573807889436,1.014583909752056,1.0151171344594838,2024,Q2,0.0175048353615425,0.0,0.0261981842603571,0.0177754028739161,-0.2054491614605413,-0.2298428715664189,0.0034903803668973,0.0859152318382971,0.0382375081016406,-0.0058021625196836,0.003789076507956,0.0107606906454662,-1.7071518693140315,-0.2278469215182185,-0.2298428715664189,-0.242470144596692,0.3453357182168408
2024-06-13,1.011870773854245,1.0239669421487605,1.034535437014776,1.0115057973813577,1.018022688051117,1.0197851588045543,2024,Q2,0.0175048353615425,0.0,0.0261981842603571,0.0177754028739161,-0.2054491614605413,-0.2298428715664189,0.0034903803668973,0.0859152318382971,0.0382375081016406,-0.0058021625196836,0.003789076507956,0.0107606906454662,-1.7071518693140315,-0.2278469215182185,-0.2298428715664189,-0.242470144596692,0.3453357182168408
2024-06-14,1.0080029917726252,1.017090501121915,1.0275492395911243,1.0056998671946205,1.0121728018707374,1.0147100645654308,2024,Q2,0.0175048353615425,0.0,0.0261981842603571,0.0177754028739161,-0.2054491614605413,-0.2298428715664189,0.0034903803668973,0.0859152318382971,0.0382375081016406,-0.0058021625196836,0.003789076507956,0.0107606906454662,-1.7071518693140315,-0.2278469215182185,-0.2298428715664189,-0.242470144596692,0.3453357182168408
2024-06-17,1.018830675778284,1.0297646165527714,1.040774487471526,1.0171592808692531,1.0249204789356163,1.0291319569204087,2024,Q2,0.0175048353615425,0.0,0.0261981842603571,0.0177754028739161,-0.2054491614605413,-0.2298428715664189,0.0034903803668973,0.0859152318382971,0.0382375081016406,-0.0058021625196836,0.003789076507956,0.0107606906454662,-1.7071518693140315,-0.2278469215182185,-0.2298428715664189,-0.242470144596692,0.3453357182168408
