연도,분기,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익,이자수익,영업비용
2016,Q1,0.02222466394847289,0.03791255100552271,0.03780554881448328,0.019203807910594284,0.03284415264958662,0.04153727684752839,0.040063040155844165,-0.7264888599358551,-0.7390497183891704,-0.7392329541098934,-0.7370949143768951,-0.7370949143768951,-0.09766760402010621,0.048855084187319875,0.154555663066406,1.0810830281557422
2016,Q2,0.06178042716508392,0.05971121944017033,0.025653898235572292,0.019842400758606216,0.024124344948479592,0.0535861269982032,0.07470570232121632,0.051155408755100495,0.08663288027980998,0.08987330775214586,0.08811133928836767,0.08811133928836767,0.0563636182336642,0.06272969905664483,0.06122288595808345,0.061389987953395675
2016,Q3,0.013760248090750604,0.03429652243087311,-0.08608721379401008,0.018895617140086918,-0.058571853004021124,0.05324874531405821,0.0715848264936243,0.0014349812341507562,0.019709186055844485,0.032574101381172005,0.046952681331745794,0.046952681331745794,0.05285688800393751,0.05134567174905147,0.03496737828566299,0.00588355800542506
2016,Q4,0.006415577372424153,0.001854857757588979,0.2176867435239831,-0.04644655163230338,0.1427624603085389,0.031156335516038025,-0.04785011407438111,0.10089461412716538,0.16891706722186295,-0.20355422089528608,-0.4461746872504885,-0.4461746872504885,0.0320342003184364,0.015749824276616087,0.01835850448255205,0.0714028185086486
2017,Q1,0.03287872608672893,0.049792050737482496,0.01363429001473504,0.0023346605719229974,0.010959727677271047,0.04596433310632575,0.06623233884350332,0.0002964881385356666,-0.028653787892002458,0.4262749642005441,0.9984284308248679,0.9984284308248679,0.0535770180828643,0.04486953990870046,0.034536548269584744,-0.012454936060192545
2017,Q2,0.3862117241147147,0.16309527016843117,0.011512592909218577,-0.021467036266891615,0.0037730879264272765,0.051549202950825324,0.22705024071069912,0.04503302547758037,0.06263811427593136,0.026349616260009645,-0.006372700607782611,-0.006372700607782611,0.02743452456590112,0.17922015975827166,0.24765128262652136,0.4913582027872192
2017,Q3,0.08914304626138225,0.06000556483159247,0.1184849855864265,0.024340802579827736,0.0969472113836587,0.05111283360445418,0.04787481885811151,0.05206955374118949,0.04273986914265704,0.012971371279023147,0.042647729948292135,0.042647729948292135,0.5582095442790873,0.06271837034635652,0.07331789111220854,0.10665541600574158
2017,Q4,-0.005163777138484815,0.07032016926613194,0.26166696453351324,-0.48065726047233814,0.10308284106135113,0.043008621103411304,0.05905787436210197,0.0662093669818633,0.05735445288571994,0.0057577400779051935,-0.07524730017918513,-0.07524730017918513,0.0,0.05242910131629497,0.04007836322843095,0.022873771869465154
2018,Q1,0.12259193953215197,0.02653355827728565,0.11154614976966526,0.04668255984760994,0.10502216423533772,0.047534682198802525,-0.0015687914974150674,0.018551162686173184,-0.07596117617600051,-0.044611076098808655,0.04025105502935378,0.04025105502935378,0.0,0.06044152654742052,0.07910318704054786,0.16662426710612288
2018,Q2,0.03396170523040354,0.014166969810505803,-0.12569121547103912,0.11677301324232037,-0.10259165682378457,0.051294223613219225,0.060434662125786964,0.062215284027964834,0.055454385423371555,0.19856307616815227,0.1980649897126716,0.1980649897126716,0.0,0.05022733859665274,0.03376979479736386,0.023404299735386713
2018,Q3,0.46787323893241073,0.10143634730507878,0.29307768902959586,0.0335247438595645,0.26230561447630074,0.03613233243189584,0.04748924375414432,-0.006556821466819018,0.015492633976244008,-0.2102545015681485,-0.25945438500534823,-0.25945438500534823,0.0,0.1736172935983471,0.28027646644625426,0.5980016510489816
2018,Q4,0.01733092727553598,-0.03221949419410752,-0.239444713925148,-0.059690312360360154,-0.2219958677889473,0.04712676183751685,0.04447287142629941,0.0895173778467937,0.09545042386440894,0.2515364507403157,0.3032230016670425,0.3032230016670425,0.0,0.04476054650444339,0.016994886016343358,0.017513367137265368
2019,Q1,0.06294687155673429,0.0725583190554362,0.2155668127878294,0.15538271572995765,0.20850594734185912,0.037349838726456586,0.03163542255715046,-0.02076269912127593,-0.012216309833484207,0.058937116208415796,0.047737511367349716,0.047737511367349716,0.0,0.039835672418155665,0.05570778773108609,0.061609607843777336
2019,Q2,0.035271091726964965,0.0393558280910935,-0.043756910603504395,0.049638577038466414,-0.033281304629962816,0.049307165252470586,0.06496974336243055,0.09594128838356042,0.02443070764453048,0.007609910883967341,0.08461744531112769,0.08461744531112769,0.0,0.048360907794370744,0.040195134160971646,0.03090073446015218
2019,Q3,0.05262471492017018,0.04627552053388828,0.008356479436654629,0.03308969712058274,0.01136860829384645,0.05048442604250214,0.057449080353442206,-0.003950757466977817,-0.018157024238856345,0.17838048060986988,0.11418076427725143,0.11418076427725143,0.0,0.052982857183000664,0.05123120716753249,0.051514664476211225
2019,Q4,0.06329678392917781,-0.03517989913037989,-0.359520397337577,0.1561499976763976,-0.29537083661249974,0.03593070992352221,0.04447679816296146,-0.005249405310599364,0.05476623055182661,-0.028357758301393976,-0.20964150244826063,-0.20964150244826063,0.0,0.055507749750991486,0.04587006311673436,0.08223463197559244
2020,Q1,0.02761488786806332,0.04844037384140765,0.15506910400503426,0.018377121720294154,0.12716821135214618,0.034723317936365516,0.03218038402654644,-0.07369796058639022,-0.0995581565313799,0.09152592356150624,0.33152957899824753,0.33152957899824753,0.0,0.028557945200685886,0.030401382097592577,0.02194607851280339
