연도,분기,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),총포괄손익,자본금
2016,Q1,0.05193171624819359,0.06629543773926483,0.15620993144099793,-0.12995290177770136,0.05988251259199684,0.1299142384378058,0.07077972715691794,-0.7612700526386351,-0.7214185308191929,-0.5663523213549271,-0.5370948504773407,-0.5370948504773407,-0.21287573043111796,-0.09736372169429341
2016,Q2,0.015986044180584358,-0.008657174143412827,-0.15067669481334256,0.23409372889722868,-0.04435462707494475,-0.00788857474215876,0.016050523587724186,0.06931841268775818,-0.0594195531294236,-0.5197616024255638,-0.583838208070128,-0.583838208070128,-0.005306409435806292,-0.014211576350139365
2016,Q3,-0.0028091508621582717,-0.048531408076650906,-0.1969065319109936,-0.03281442882917107,-0.13835196167641672,-0.021573120901304588,0.009941168974413106,-0.1968979052025226,-0.6912626008986507,-0.5696245049221247,-0.5294193139736825,-0.5294193139736825,-0.043416699088271726,-0.03867440409684164
2016,Q4,-0.01572770930031897,0.058428933800986904,0.3195596126848341,0.003147264874032718,0.1928217306487494,0.009477529284144248,-0.016213592029791224,0.31024768483954945,1.8046192461407533,-0.08926411569972814,-0.11940810599195906,-0.11940810599195906,0.04331073886986103,0.0364250661996004
2017,Q1,0.008087340679928667,0.05791963302102121,0.06229230959805676,0.06304061215310197,0.06254437857630024,0.06117863122298495,0.05480524368943174,-0.08366033489635294,-0.06503168811215676,2.9928519791082846,3.065112492007673,3.065112492007673,0.04327132033898429,0.052835522592518336
2017,Q2,-0.0006700338083300839,-0.013701941070434542,-0.07366024506777602,-0.02878564975630904,-0.05853698235772231,-0.003932157133063274,0.016712331326041108,0.002989566892351192,-0.22035666895353279,-0.4900979323140019,-0.527750573541754,-0.527750573541754,-0.005863572098764203,-0.008159730016376487
2017,Q3,0.01702385373244142,0.03077516200879926,0.05780598271517845,0.20568840409409006,0.10921902819272522,0.007357570972822636,-0.018499541665879526,0.04054945742349081,-2.42388028243229,-2.2306128677695347,-2.120153102378759,-2.120153102378759,-0.005844134073303198,-0.008314078773016265
2017,Q4,0.0009893827140705636,-0.007898263052866561,-0.09218899064968988,0.20295803633614184,0.019346469458891846,-0.032633011603588225,-0.027239060818046723,-0.09677976547105482,-1.5119067884421813,-1.4105591622697173,-1.3703318273150675,-1.3703318273150675,-0.022621545248131425,-0.02090065627349469
2018,Q1,0.019499737699816944,-0.003957024959426847,-0.06451562343298478,-0.05932186773136472,-0.06219937721680313,0.05045183338438419,0.03936876019883884,-0.05615490265930867,-0.9443900252657603,0.13947630253162568,0.6843363064995671,0.6843363064995671,0.018974609317711222,0.021791231201945926
2018,Q2,0.009330606280902431,-0.013916558125126155,-0.09020601948349727,0.027577333130102133,-0.03751729945117688,0.004989530844280665,0.0019241297791461331,0.17359682920208352,14.26460838479038,-0.48253650355853395,-0.5634107557154402,-0.5634107557154402,0.01153583431628169,0.0015996501357042892
2018,Q3,0.017401596091479066,-0.021637793304445596,-0.11910510452655654,0.02378563682911139,-0.05086190042608951,-0.003598526050155759,-0.0027948934449856244,-0.1085591834889238,-1.3751309368692675,-1.3151579271599896,-1.1604797161281517,-1.1604797161281517,-0.021473887583725926,-0.019208215544339602
2018,Q4,-0.011991763690717194,0.0014264346955412677,0.18894516043579723,-0.034195002090053106,0.07399417720524859,-0.050838861917824385,-0.04310790474130666,0.1817898734008263,-3.616495266634884,-2.392512641822122,-2.7990326352716064,-2.7990326352716064,-0.0032723004159668223,-0.009989152149394664
2019,Q1,0.03542275701506514,0.020398334280943287,0.083641237354253,-0.17763070259630787,-0.03739495055145514,0.07091217281915085,0.060206094367181384,-0.11976704249432502,0.8984330261856421,14.605691180958193,22.061216651401896,22.061216651401896,0.04528675147743488,0.05784150703397262
2019,Q2,0.00014207325575288365,0.0016433997886216023,-0.023973714901175613,-0.021655618412082966,-0.02305628534250259,0.018808006881517514,0.017090238715792294,0.1351110998199574,0.002095501869269878,-0.4970331356075546,-0.4750465375189129,-0.4750465375189129,0.017554969492861616,0.011063816356986944
2019,Q3,-0.0005497461950441096,-0.005022058516202188,0.012016684291245472,-0.09472093352693278,-0.030287267394594863,0.011686107334642815,0.010154774328628546,-0.05718328209217216,-0.29211371861324775,-0.31930688738863955,-0.3590105282681805,-0.3590105282681805,-0.0019901828915918074,0.0017114725752782611
2019,Q4,0.0006546673905734046,0.015280392656206399,0.099511578822576,0.10217286233100897,0.10049625618601388,-0.04033924847928838,-0.033859463891786956,0.06422035947441285,-0.05773734549308529,-0.5107133371981118,-0.7614944716883434,-0.7614944716883434,-0.011129077267161613,-0.014084645117565908
2020,Q1,0.045996364556883496,-0.0017128615780033218,-0.045998248501708305,-0.056074283709408035,-0.04973207068785657,0.03853970147989516,0.0298282288313656,-0.15111469661001364,-0.6167897435897436,0.23408080124201858,1.918745909359386,1.918745909359386,0.006981730924193741,0.014689910142179352
2020,Q2,0.006722978302771576,0.08070237741489539,0.25307968240847023,0.1092892085898105,0.20015164188045342,0.008634321083591079,0.008304395482893412,0.061424711222518136,1.0346778006762483,0.14771566401816116,0.02176231547973906,0.02176231547973906,0.03419799279762081,0.03743271475070409
2020,Q3,0.007314024423221488,0.055538807284734926,0.1520391216865682,0.03817476628576144,0.11329978701408705,0.015637057983518554,0.013868951734598678,0.15900234684551195,0.788231425251573,0.5247843806274286,0.4932715262983225,0.4932715262983225,0.04192552508795666,0.0393178664292384
