연도,분기,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),총포괄손익
2016,Q1,-0.09065998911413464,-0.047358570726510285,0.21558011964806245,-0.11839999960287062,0.09579731800491231,0.0,-0.18280110696392005,-0.09847028751890452,-0.8416533709998514,2.6446907778367286,3.1942603965510727,4.774090626767711,4.774090626767711,-0.3209195929835036
2016,Q2,0.015398418420353721,0.042701027492344945,-0.20353001162674167,0.19993650435315669,-0.08711132434579771,0.0,0.21723175409922524,0.09903591843263437,0.10163166477221308,-0.8916442814583756,-0.9333146976379244,-2.0685920327203418,-2.0685920327203418,0.1077786561270122
2016,Q3,0.013657631070218335,-0.04252451316479178,-0.18331711380809712,-0.05518746950060305,-0.13472058309408874,0.0,-0.0347924410338607,-0.009290730006468406,-0.047114190175117865,0.5600622522119512,1.7072846851489554,-1.1923726846797955,-1.1923726846797955,0.015725017041828826
2016,Q4,-0.011459343479045647,-0.06086459676019362,-0.09728276964052818,-0.18399093026862168,-0.1331919002587798,0.0,0.01542161904380901,-0.03809371786442828,-0.018872464709970838,-0.6008061263129051,-1.6369825204445196,-1.40354319865898,-1.40354319865898,-0.015010923797298625
2017,Q1,0.0062489515557069275,-0.014936619819777341,0.01146728713410372,-0.06233195239016498,-0.01730463185586595,0.0,-0.02351138877363146,-0.014264801836723184,0.11654233181841689,0.517725681988449,-1.8024800595726864,-1.6441499477984396,-1.6441499477984396,0.0007788811971238818
2017,Q2,0.009450359163811095,-0.0022231037146047683,-0.05126241741173476,-0.010941000256374345,-0.036262704812547564,0.0,0.0005330650240196189,0.007404336401710676,0.009361323669900168,-0.5805300606973576,-0.8880045528572671,-1.056409543181018,-1.056409543181018,0.013751823308662425
2017,Q3,-0.009967305032854146,0.005804644847473783,0.17520914091000828,-0.19794515069431529,0.03274711230918648,0.0,0.014718973313954775,-0.0014852049628781838,0.17657987721387203,-2.0047996410683475,-8.458941036503443,26.626684963811677,26.626684963811677,-0.004568900776243945
2017,Q4,0.02004533363017935,0.014922446283525348,-0.015186447286844373,0.057183933367373374,0.006271176176322779,0.0,0.01883415358984819,0.017343478510699395,0.06097035715603916,1.8744662576354671,0.5659641607951402,0.06396230282327009,0.06396230282327009,0.02464150930667186
2018,Q1,-0.023082213513964667,0.02788912445175451,0.1069442678889323,0.057891173877240076,0.09166429125407172,0.0,0.08834676508743655,0.010236075339977058,0.09461079293891528,-0.829223968274037,-0.09253686381819437,0.34228320017807534,0.34228320017807534,-0.0075016536966251435
2018,Q2,0.007340008927827046,0.019626275538269233,0.12280016511216618,-0.038041628438475694,0.07424816997296957,0.0,0.016030685308037418,0.003288191845787658,0.1622432844413766,5.9224176437388545,-0.08097893483396168,-0.1419339045791943,-0.1419339045791943,0.008273673330219777
2018,Q3,0.065455296367668,0.08203664091579221,0.1040717756232632,0.8192723844833385,0.29739663600234634,0.0,0.01815882004025471,0.013063768607744608,0.1215631318278605,0.6382581074000999,0.36603190668174634,0.15091264131016535,0.15091264131016535,0.032158723862014016
2018,Q4,0.03476591199386059,0.02756140777365923,0.0370844720757606,0.06869783893040093,0.04906719564053441,0.0,0.04182092361089795,0.018740675894369785,0.0848967058205703,0.36671867231300226,1.5588436479719552,1.5815274708739526,1.5815274708739526,0.032070948019750745
2019,Q1,-0.00230524209128935,-0.020738986136830895,-0.11079181796484883,-0.0036024495259769918,-0.06940251373602668,0.0,0.0001364431205439498,-0.0001851679233083603,-0.1837452870127676,-0.6557042470174745,-0.7825801155636836,-0.727499266420802,-0.727499266420802,-0.01097632052545594
2019,Q2,-0.0014160122530686436,-0.0029882406307421006,-0.05382647033631993,0.0022539141960875586,-0.030640879220275474,0.0,0.014330452416289718,0.007882716949995983,0.01576493918163857,0.0484629175241007,0.006334974050543174,0.19013357087588956,0.19013357087588956,0.010335961958041873
2019,Q3,0.006294817081210269,-0.01289914141739923,-0.08182581688171142,-0.06256526518753847,-0.0735926110558025,0.0,0.01711332787797737,0.010049019773554546,0.05881921991854755,0.357672069404003,0.7305262094317002,0.21130646155212407,0.21130646155212407,0.022883717407639503
