연도,분기,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익,영업비용,이자비용
2016,Q1,0.00010678800967456326,0.03768520599627356,1.8779623050163554,0.00243883744103246,0.9109151007796501,0.011891785209052541,0.0070379493684773475,-0.39652544690367986,-0.2283839299735071,-0.2365576365206884,-0.18009915730743098,-0.18009915730743098,0.013827975056095454,0.02950377700905804,0.009295996516357041,0.0551202573778129
2016,Q2,-0.00012569422252217688,-0.02604003656208409,-0.6565499324749229,0.04739992075684163,-0.4661427241875288,0.0055957477022468005,0.0032697452834240526,-0.7554529317535682,-0.893057958122573,-0.8868105923363178,-0.907723823761706,-0.907723823761706,-0.011391417589083908,-0.03784642534339755,0.028544556669637178,-0.12075375898679919
2016,Q3,0.026969752263637625,0.0035169886534989203,-0.009890439741857993,0.027276347225909214,0.009833063323237301,0.006229215125274523,0.003293161242589937,0.028279060984101934,0.20150399017802334,0.12122262668284511,0.12143211952160793,0.12143211952160793,0.013310301356035614,0.0032984412937435703,0.005815413607042741,0.0005974921291829194
2016,Q4,-0.009690564428949222,0.004196995248322066,0.02351790938442644,0.2259448284772918,0.13279647894200863,-0.0004324368195223194,-0.00038998610231344433,0.09830928687028684,0.21979818623068081,0.33326462251996913,-0.9651776891887287,-0.9651776891887287,-0.0028042807553360083,0.002944519993039796,-0.0007996641149990991,0.007978903168660345
2017,Q1,0.013134127919251837,0.0827891223672681,2.6297086156466363,-0.11224468286924816,1.0277701664670622,0.07493718389750992,0.04459186872239873,3.272489758381406,6.583593373683218,11.001565398886827,569.5342465753424,569.5342465753424,0.04727183923815903,0.12402476838779197,0.015823776069303852,0.27802369227888524
2017,Q2,0.015653001633376018,-0.022360822457789364,-0.49063597824446015,0.02549506125937895,-0.3586218833410766,0.0057647216189846695,0.004024214623509215,-0.758107361077818,-0.9007536404784194,-0.9375709530779747,-0.9497243974302247,-0.9497243974302247,-0.005087888156154241,-0.045501329743653174,0.04210425950106256,-0.14638135981506273
2017,Q3,-0.0009151248959836655,0.037285691509670205,0.03265819438714823,0.01308759601525833,0.024654622238635016,0.06267550898828977,0.03791881903932448,-0.004702099259798587,0.31053480995047034,9.909257396373391,9.933856387514924,9.933856387514924,0.1404727411704041,0.061854013707094646,0.03374066932153652,0.09863428105826366
2017,Q4,0.03456710237460592,0.006400559468896727,0.08624641722678805,0.014072677408296208,0.05706351608290161,0.0038321911788929963,0.0038935514155022943,0.10437176790921199,0.07976984160686218,-0.9140778501020237,-0.9381423035884764,-0.9381423035884764,0.0,-0.007215373024339611,0.017740590707166604,-0.039187592407655236
2018,Q1,0.0011138006569169079,0.048587422757250254,0.9575317422911578,-0.0004845534501896065,0.5859193838501062,0.03350441040015095,0.020589791400904334,3.246071757129715,7.133143250417854,11.45357732526142,19.752156150703588,19.752156150703588,0.0,0.0729979204334128,-0.0031009839518103544,0.17851214251611114
2018,Q2,0.00021130225509469192,-0.034845316066507204,-0.6655801635044378,-0.04951042013111839,-0.5149695647560288,0.005560927789897141,0.00402894484670413,-0.7969896955462921,-0.9080464494416252,-0.9077078771353381,-0.9237434166235269,-0.9237434166235269,0.0,-0.048179204196067804,0.03545198921660164,-0.14791979469580296
2018,Q3,0.04954741396996676,0.001424031730614006,-0.11676475240396411,-0.025531687760209754,-0.07305722005813209,0.006506824906551412,0.004337284913876749,0.04855974983724476,0.2431046722583019,0.16737693928366215,0.1795002549719531,0.1795002549719531,0.0,0.0004749325241342195,0.00807153706049224,-0.008643860229574085
2018,Q4,-0.002510917896369369,-0.0038325297900534405,-0.10054651557723782,-0.4933448563377538,-0.29837483601230985,0.012561962785432756,0.00680038383213355,0.05548148072753922,0.0021151039573594765,-0.7770667979244857,0.9678177691309986,0.9678177691309986,0.0,0.002946432902905416,0.009020296062151933,-0.006724147496567134
2019,Q1,-0.00019484830051963442,0.056556415865874676,2.601504946688362,0.001021045550643862,1.6557463707017446,0.025847910335425217,0.01632489593889974,4.507242044358727,10.039025728698368,47.293836246550136,5.879986268451768,5.879986268451768,0.0,0.08111884553280269,-0.01418228720140402,0.22217805965363624
2019,Q2,0.015255115092664973,-0.03437836751840151,-0.6996206416684141,-0.006996027984111919,-0.6046737719669092,0.004591115193152362,0.0031120512557372138,-0.8279341132304093,-0.9375375226091645,-0.9337237167447052,-0.9456505034578423,-0.9456505034578423,0.0,-0.052794678440843845,0.039747932632521854,-0.1639460604011882
2019,Q3,-0.019541317621319054,0.004043136173175199,0.01059211778891922,0.03868277945619325,0.02026464713715037,0.005851409866267199,0.003622876319728574,0.02858538471714822,0.5108206556674524,0.32625316164635554,0.28195806250229527,0.28195806250229527,0.0,0.006770905024716223,0.0027526237098653983,0.011605573245653034
2019,Q4,-0.01524098173652133,0.0024186667065766443,-0.020032780914223225,0.10722388337541156,0.024576858762592302,0.00257536688791582,0.001835082931591181,0.031184455261387578,-0.21488340053082644,0.11460026439546622,-0.4847746999341144,-0.4847746999341144,0.0,0.0030599609842900666,0.0016289601671017895,0.004386994606802919
2020,Q1,-0.002173927450284552,0.06976620598058392,2.558254138123282,-0.08168798007712763,1.5581770269409594,0.04785286394462074,0.029675840821208332,6.1473980120505045,16.963794482723028,12.594058058369466,36.482486378294226,36.482486378294226,0.0,0.10804118151109976,-0.007089432964027531,0.27641165910906906
