연도,분기,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익,영업비용
2016,Q1,0.7937880434187525,0.5746696911913958,3.52524557241681,0.27276132155454236,1.8669450976699644,0.05081641782978674,0.3025605124325266,-0.7644930739359705,-0.7515742954889133,-0.6995483296695961,-0.6796413568586959,-0.6796413568586959,0.25681128787885754,0.528489628894149,0.1607066514455613
2016,Q2,0.004148610975993172,-0.03313359735914856,-0.54960510556323,1.4061328380833302,-0.10692879970533642,0.011461978074426504,0.0010673163062808744,0.01845689202627776,-0.4958015193181423,-0.7439912306019933,-0.8648304598111782,-0.8648304598111782,-0.03724912354253884,-0.10603152755089185,-0.08347844751826472
2016,Q3,5.191427063033771e-05,-0.0025425235269742608,-0.03456602716775614,0.005259354952853457,-0.01027929504410674,0.006032771007282944,0.0006563137906363536,0.7321531595193069,-0.307472746457392,-0.7969797540746413,-0.4676382683098187,-0.4676382683098187,0.002116247990027631,-0.04817524492885783,0.08527807691942968
2016,Q4,-0.0005319806265834393,0.0202059760681097,0.1697273630280527,-0.010034498360225963,0.058381994977089846,0.0356152957691942,0.004594256720392487,0.26032539377423247,0.47906521881300135,7.132651796446918,4.939253230343178,4.939253230343178,-0.0028948884422552723,8.48012570737744e-05,0.06865810298276753
2017,Q1,0.006390477523698479,0.0020699131770198775,-0.08996707134939042,-0.0018582546145228251,-0.03891991136505335,0.2253503301121984,0.01972979974443323,-0.4995862058452787,0.06595011963044328,1.0615653094616797,6.555251428216855,6.555251428216855,0.017605749932162684,0.13060557549498153,-0.14547117673782173
2017,Q2,-0.0004888151665225493,0.004837500800931593,0.380751000224097,-0.2359291936861273,0.009690388493898805,0.0241496939903294,0.00286695487963029,0.08258917211475425,0.6731020795398095,-0.27243540732388116,-0.8861101860704595,-0.8861101860704595,0.027387065548212908,-0.002021021123168154,0.06610115017605156
2017,Q3,0.013978362861762683,0.08485593168933958,0.26475885698048107,-0.0025476256580054812,0.14304508224172308,0.5625276582835943,0.06106709321676429,0.054996970860586414,0.0711115746241151,12.782596051577933,22.855893549745996,22.855893549745996,0.39683121484581174,0.2706110976294327,-0.03770280953379157
2017,Q4,-0.01817497130480583,-0.06036674691491539,-0.023790728378630055,-0.2974690084819056,-0.13253324537078692,-0.12532519324001046,-0.028584297294337202,0.6054122548616445,-0.1909576622247452,-1.2410729887742558,-1.348114582160739,-1.348114582160739,0.0010219152302859413,-0.23354762527170325,0.2075662050645357
2018,Q1,0.014907836239940409,0.22372292089484547,0.07460717461707023,-0.13035987815379557,0.008650955287065942,0.09401090798096279,0.308305954641267,0.05286537225256871,-0.3147294210203557,-2.0940187443029465,-1.7484968951141955,-1.7484968951141955,0.12299920861394331,0.5768375214729307,0.011006686803058274
2018,Q2,0.06841077827002495,-0.00427101136964525,0.22875023342708634,-0.7555267138418164,-0.04432837103545395,0.08137434659561937,0.007874431618138944,0.054662259672709324,0.8014554466396431,-0.08500754939588928,-0.16990576398843982,-0.16990576398843982,0.0001584318711922439,0.00340814888269092,0.0514758597545566
