연도,분기,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),총포괄손익
2016,Q1,0.12612162110952552,0.02974900766676547,0.07749034331479332,-0.0002431081165940041,0.038198657204619346,0.0,0.030459303713132213,0.02629517366560119,-0.7731843225865674,-0.7127680802329719,-0.6803910426920597,-0.6758691465153086,-0.6758691465153086,-0.5353164303185952
2016,Q2,0.36029312378141487,0.13853683020333185,0.029707007808861485,0.7460121814568945,0.37836911176258936,0.0,0.04621922570693693,0.03936722608716092,0.050611871665990904,0.26370199976845843,0.22569737637198917,0.11924783169542708,0.11924783169542708,0.5425664918896482
2016,Q3,-0.0016013469571618533,0.0355602410899174,0.19251788525177815,-0.07537014732700897,0.027343876839168946,0.0,0.04562814788117575,0.040065784090462575,0.009389038639935565,-0.07397176887832624,-0.07053796738077944,-0.005573435056644094,-0.005573435056644094,-0.15648509435224223
2016,Q4,0.02824411471201782,0.07882059577196299,0.23812527802820505,0.053971331608402506,0.13593219533567247,0.0,0.0534096564296882,0.0478858318501072,0.11828865073547412,0.20171032055353533,0.2113300305294008,0.249372250954222,0.249372250954222,-0.16540696435166902
2017,Q1,0.02558745203239776,0.07225649710724191,0.13003927672924487,0.025829297800463946,0.07638230392860978,0.0,0.0527820021954859,0.06983396349207438,0.16647612737199546,0.29270033243736426,0.42098800882671483,0.3861404164250788,0.3861404164250788,-0.0307417233767463
2017,Q2,0.0007559031494475121,-0.00638079172361905,-0.08946634980475698,-0.07123356871415099,-0.08051933149772827,0.0,0.04400527785571362,0.03741729291711171,-0.07480571321474105,-0.25910261874289964,-0.3199962623599283,-0.31811296265808486,-0.31811296265808486,0.0817650043103324
2017,Q3,-0.0020747004969196015,-0.0031080799801421755,-0.14537858439230245,-0.05578790223666519,-0.10097151032708962,0.0,0.054695098331503544,0.04813327970319592,0.007050018255428503,0.1890541402813395,0.2544100631442596,0.2445003477378287,0.2445003477378287,0.33672062635388555
2017,Q4,-0.013189085993327687,0.042842940946989705,0.2846294817142838,-0.11220397967756834,0.07804689706899337,0.0,0.027855305715551948,0.027032330976201502,0.0317341164750673,-0.12461357793346095,-0.43625462485848576,-0.4468823297598239,-0.4468823297598239,-0.3911494298322321
2018,Q1,0.0011980545294771883,0.03095381157277166,0.13243440069347412,0.0013862160861544126,0.07625307657567326,0.0,0.015847087855024755,0.009598699831942836,0.014528005394293775,-0.05240581939410771,0.784869230847135,0.8045921042475022,0.8045921042475022,-0.1947952232342709
2018,Q2,0.004770663034427969,-0.021629697296515316,-0.053289512288525076,-0.30777940166750084,-0.15480181927430525,0.0,0.051997063392734244,0.04529549626815843,0.05157340747321504,0.0767021829925203,0.04007539680350258,0.05403776212599776,0.05403776212599776,0.3001506194153951
2018,Q3,0.014159490414086928,0.022318647526993418,0.010117745310260773,-0.027074346285407835,-0.0020324912168543374,0.0,0.03520675966286069,0.03221363082675133,-0.0708346761466574,-0.32878799193110586,-0.2892686025912552,-0.2922269311541166,-0.2922269311541166,-0.09795414767271482
2018,Q4,0.016416526571016554,-0.034510159926441575,-0.15255230665788955,-0.14704409837403298,-0.15079799101270985,0.0,0.011866291644366145,0.011175181305473014,-0.09896446875333165,-0.7394944008475162,-0.6450191730326131,-0.6024566732524049,-0.6024566732524049,0.26097216571889614
2019,Q1,0.01086631274929939,0.015321441436886296,0.1765709735667933,-0.09632074049724093,0.08927317396646584,0.0,-0.00969921417730446,-0.009077757443370804,-0.020850064005866087,1.4582169813357018,1.3291480884461109,0.8893134116480996,0.8893134116480996,-0.22492411314922955
2019,Q2,-0.0017716065622512822,0.005860779869833133,-0.1762886177034393,0.3643125388732851,-0.03281652761644627,0.0,0.021931843747035495,0.019888292824948417,0.10781001160067882,0.07689239960301997,-0.19498633202584992,-0.12782793383154034,-0.12782793383154034,0.5021633023836853
2019,Q3,0.012146935138033443,-0.04845296385041664,-0.2725075654335045,-0.09356575053031846,-0.205517979022119,0.0,0.006190101478311227,0.00556773097265939,-0.04639890166406102,-0.19958869446126803,-0.7271933590096952,-0.7348759959722824,-0.7348759959722824,0.36145172184937446
2019,Q4,0.010313458822973853,-0.02550543497224189,-0.19874774309612997,0.1035961236561802,-0.06961128962201757,0.0,-0.015113639242177679,-0.013520113352912366,-0.10684003266540365,-0.5944195371734937,-2.462030414071519,-3.4879024233172724,-3.4879024233172724,0.08675020602326433
2020,Q1,-0.0040017269259369215,0.055733169137311966,0.303882030927785,0.20329716279887244,0.2529224230783713,0.0,-0.019536136766211465,0.0051957695363045175,0.22201410944141142,-1.426295304046429,-1.3162609479439642,-1.2571607893079757,-1.2571607893079757,-0.14497759229075813
2020,Q2,0.018763315545569537,-0.036565186255879456,-0.22846433618115025,-0.08573984965393167,-0.15901939304063673,0.0,0.002369098551399107,0.002552835752851701,-0.21868979169241654,-1.2312832070568815,-0.29996249638180394,-0.41994413651137463,-0.41994413651137463,0.19764420904392166
2020,Q3,-0.002989228630897456,0.016107231917436238,0.03077449990592096,0.05910980070572802,0.04576284812618758,0.0,0.011999983239754375,0.008160494898391546,0.10610570159689714,15.38946254295605,4.38553740172456,4.222051104418704,4.222051104418704,0.028941804330854692
2020,Q4,-0.019811290479407107,0.019991668730772183,0.29068847044928603,-0.055458309580984966,0.10525248312252788,0.0,-0.00718019023103178,-0.0037075974442730697,0.05737943298338144,-0.24573201788691912,-1.3403531134067872,-1.5223169363066633,-1.5223169363066633,-0.2296332951427702
