연도,분기,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),매출액,자본금,총포괄손익,영업비용
2016,Q1,0.042851141878421206,0.05810925805329292,0.148479402664349,0.09025116210744177,0.10463467817389316,0.05668741767842511,0.0333449547483351,1.5511043930388815,-0.9040213144957245,-0.9005401761602346,-0.9005401761602346,-0.04897278254988846,0.021699695305208877,-0.03420129997908983,0.6601116418460486
2016,Q2,0.0005737407023194141,-0.00696192250246086,-0.134032611849091,0.020108293981125236,-0.019478819844135686,0.0006247176338107785,0.00016014115346973945,-0.9051713173364768,-0.9708313715325342,-0.9810056618569094,-0.9810056618569094,-0.41370606937346444,0.0011356389817589463,-0.02460155125949015,0.02996148121787323
2016,Q3,6.01106992268452e-05,-0.002201256585796507,-0.2264468633671306,0.04834124630297687,-0.013986069977635296,0.006995080489404337,0.004372586100642062,0.5629651438572387,2.1816647919010124,3.549877239247067,3.549877239247067,0.07096280514172326,0.010890475526097676,-0.01383442423791259,-0.009453040225164355
2016,Q4,0.0006017532503461709,-0.0034862892951644797,0.23434345173775095,-0.0640879356496411,-0.01098334204869067,0.0014687659633321193,0.0006192986931043976,-0.5293705195960441,-0.9993105886512286,-0.9660237833516538,-0.9660237833516538,0.9073454974625144,-0.00781906413200606,0.005436405872950134,0.002520120489346356
2017,Q1,0.004307319282947253,0.03439451628024193,0.03990276125936032,0.03786461554883158,0.038317257947854344,0.05299863306485131,0.032271226655774754,13.504413955660315,15840.307692307691,346.8335294117647,346.8335294117647,-0.07636058230683096,0.024867214044240082,0.04071766628525064,-0.010301102546595997
2017,Q2,0.00245687245800541,-0.0020034179759150783,-0.2591607531313955,0.05917078243784135,-0.011633956483667385,0.0038412601713078143,0.0032399018793460854,-0.8728410279052796,-0.9212817512151774,-0.9453372725627709,-0.9453372725627709,-0.42221279244108745,0.009070406393659747,-0.025366557942420043,0.030841707374369642
2017,Q3,0.07415516426662916,0.047359102933578257,0.8887548837188246,-0.029099980833465322,0.12392517865194708,0.011650368057122273,0.00629094842994693,0.49298916123120695,1.2638537618489503,1.6560344027472698,1.6560344027472698,0.0728379639279455,0.23631982635041782,0.09963256839860613,0.07155544905926292
2017,Q4,0.005158093798668162,0.004302703628556337,0.09059365572598743,-0.0014984872387886483,0.02430328905908774,-0.0124781291007936,-0.007679186722967968,-0.9159190199704441,-2.210794019873204,-2.1341743252845045,-2.1341743252845045,-0.08035863481626493,0.0,0.0087145912725477,0.019734862300619938
2018,Q1,-0.006090484039561694,0.022633780216414046,0.040764206900614,0.014821240302023364,0.022560172874084072,0.07957192518973466,0.022679297908868357,76.14108720706876,-8.068954135597798,-9.521608298243812,-9.521608298243812,0.13225081945940387,0.0,0.039736315531731625,-0.03590764530559287
2018,Q2,0.015267910003974094,-0.014173812798218166,-0.16023024643074957,0.005192712230936536,-0.045032373257529845,0.0075081906757568095,0.004906442058044691,-0.8998198440474456,-0.9611751247434561,-0.9215545906051107,-0.9215545906051107,-0.4331995785271282,0.0,-0.033157297305725586,0.03696002965750811
2018,Q3,0.03970458187820047,0.0401197007520957,0.36273520212558896,0.010784430821808355,0.10475208839365924,0.0032433706038148546,0.002142606917316048,0.6354394511831378,1.945689608046794,0.3156398832385927,0.3156398832385927,0.20442750621375305,0.0,0.06883804303613661,0.05037340498410847
2018,Q4,0.027033630591327906,0.02140057853348365,-0.0757503455326185,0.03378907995075542,-0.002286521628365068,0.05630862020558047,0.03674387683408398,-0.6526133410337858,3.589240148091787,4.525275880189175,4.525275880189175,2.0718530910531703,0.0,0.020161412327853512,-0.0028458105117690202
2019,Q1,0.023801410333540662,0.043298936953130474,0.02336430498659725,0.008011116021723552,0.012695205427718292,0.09389757703041357,0.06237617837482845,23.48893118081988,1.1721112766813522,1.208805956585235,1.208805956585235,-0.10262547077479067,0.0,0.046193838445100166,0.007480162455939965
2019,Q2,0.013005980809938977,-0.004049590501050249,-0.1229137930698111,0.03298216176431712,-0.015081066521860809,0.003643882711139801,0.002505448009130218,-0.8403608081201479,-0.8828137071836678,-0.9515563882148517,-0.9515563882148517,-0.597524043884206,0.0,-0.02326646180245706,0.052073381126881424
2019,Q3,0.005196774778963409,0.007428212033707915,0.05672477885397331,-0.00625317785552415,0.011037358000902886,0.007753629793606276,0.005321234941777941,-0.20114820327450567,-0.2196468429539371,1.6044164411700805,1.6044164411700805,-0.055187408032008944,0.0,0.011291443859352324,0.006581943887704833
2019,Q4,0.012437324558915108,0.007067589908984484,0.3947798718838198,-0.014054793652547026,0.10326256806958134,0.020364995986584367,-0.049409214372000854,-0.7202975498367958,1.5393165786178886,0.46325241356297253,0.46325241356297253,-0.008730407331512202,0.0,0.05681224330929857,0.028981179582602046
2020,Q1,0.0030395751591605347,0.047903211906979104,0.07933157102661514,0.008399430735799074,0.03413207564524323,0.07776381517548914,0.05728688291089412,25.34400981668837,3.0193774677810516,4.094235084973282,4.094235084973282,1.5508507190244005,0.0,0.050356416440394014,-0.004068611263608579
2020,Q2,0.008827925237054446,-0.02887672531586305,-0.2223322484824859,0.011856200119898075,-0.0768156365427548,0.004072603371708672,0.0030735296431922965,-0.9581879313934156,-0.7537992647806808,-0.9457094690491475,-0.9457094690491475,-0.6553039530506035,0.0,-0.0528235402787508,0.016592936772538813
