연도,분기,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),이익잉여금,총포괄손익
2016,Q1,0.051682393186389675,0.06765518968329953,0.1399264166049865,0.04862873567733117,0.10373650603019247,0.0,0.01867406608801936,-0.7448537083430704,-0.714860918383475,-0.401205257644345,-0.31433198256995687,-0.31433198256995687,-0.065090001800711,-0.06635386822868494
2016,Q2,0.01306518272113899,-0.020161978122935298,-0.09032364033938045,0.016604279143947576,-0.05005423391003383,0.0,0.023805870619642455,0.004404434555041803,0.0058605285400017415,-0.5413284210391152,-0.6166329433656867,-0.6166329433656867,-0.005610756648683712,6.849290517862983e-06
2016,Q3,-0.003231239305592548,-0.021006966073721323,-0.07873010574224337,-0.08860852428698962,-0.08271140347427719,0.0,0.06320506072450405,0.010881421197558971,-0.021273143502120173,1.1087359472652825,1.605334128122894,1.605334128122894,0.017537796063059385,0.03606645476732773
2016,Q4,-0.007800611247870903,0.011387583155474168,0.012916440229649995,0.05428262766350089,0.02948106859017363,0.0,-0.00991679771359777,0.029457072923232186,0.05136020785862527,-1.091873788274645,-1.126649064652261,-1.126649064652261,-0.0027200360164114645,-0.008360573261418258
2017,Q1,-0.010488074216939425,0.04157655658082704,0.11143124149446226,-0.10010899181068966,0.024681564616419793,0.0,0.06226135744949568,0.01063563564891501,0.03626019869635977,-19.764398145299534,-14.702421276303475,-14.702421276303475,0.059149808240823276,0.07146996478072154
2017,Q2,0.03523211102032642,0.007372691017806243,-0.048077251057757286,0.07313181274008995,-0.004424564885589621,0.0,0.02130528221607131,0.05008100741307664,-0.08428796931751326,-0.7692029431242859,-0.8223184661824363,-0.8223184661824363,0.008080981418974842,0.006504352939944225
2017,Q3,0.011472862226873826,0.007859112269619217,-0.006185515865696822,-0.00030957980821566533,-0.0039044814656989946,0.0,0.021401944733779876,0.0027675183676021398,0.020594263310540484,0.36535346997737483,0.5413625589315485,0.5413625589315485,-0.020049465533970134,0.005753878837864379
2017,Q4,0.05494000629381013,-0.012736710289968034,-0.08716696531845491,-0.04800876004493071,-0.07191091555566487,0.0,0.053699710661595956,-0.07298963784395873,-0.04321041386094637,0.7949415992618047,1.0741559701801693,1.0741559701801693,0.05793373591281159,0.04117805469360558
2018,Q1,-0.008703773391475988,0.020843747869815354,0.09578943391996919,-0.009443213805951589,0.05373487300747937,0.0,-0.011681853002716291,-0.04470823025220627,-0.20246849654501398,-0.44739967367604416,-0.4899154437596136,-0.4899154437596136,-0.00631795454840256,-0.005225392049281741
2018,Q2,-0.009642861893862653,0.007703561405082215,0.0251753145815814,0.005843066942519126,0.017912700299127282,0.0,-0.003060354450287961,0.13963557475642108,0.2565732667133507,-0.7811353540159974,-1.0049712176375851,-1.0049712176375851,-0.00017333626848403672,0.0014082733712974527
2018,Q3,-0.006145161243314212,0.002776855702800063,-0.01969908215887406,-0.038296344943531624,-0.026602741471356106,0.0,0.03440463390532367,0.038555866872892475,0.07912823589754958,5.046562206788066,-255.5224433258348,-255.5224433258348,0.035253829984849716,0.033415127350610696
2018,Q4,-0.01382395283927762,0.010628870164153037,0.03713355150070319,-0.07934066183389687,-0.005584482518972145,0.0,0.02705349048090211,0.0209623171833464,0.10288765951173717,0.08288871353733751,0.047158648411641524,0.047158648411641524,0.034330854698786606,0.0299965528042907
2019,Q1,0.08450707870375962,0.07070443033776352,0.17922609911218212,0.07406460986048247,0.14351779136991016,0.0,-0.0007136902344508922,-0.05525810918984608,-0.06420994281963832,-0.06608818049772691,-0.07678534571987317,-0.07678534571987317,-0.003560546121734176,0.007917494614900322
2019,Q2,0.01035894182630015,0.004788789719049946,-0.019184247031583723,0.0034681097646802606,-0.011959653536510295,0.0,0.02358735796345668,0.0488121105653585,0.0016547686519299276,-0.22015672968586553,-0.28491627226771143,-0.28491627226771143,0.02284774589106897,0.019790965597072052
2019,Q3,0.03361141995702832,0.052104608470790126,0.061876958238886726,0.17381545770341855,0.09813533846694411,0.0,0.0022336223919243725,0.05391461413857268,0.36771113979510006,-0.5619451682573946,-0.9168242275273766,-0.9168242275273766,0.001865130588654118,0.008264955902443694
2019,Q4,0.01935104965406187,0.012509309771106425,-0.04680817764552969,0.04069593287118933,-0.016511058879743135,0.0,0.046959364607410015,0.010432742462835431,-0.08429633317122842,3.0991731429522815,25.973651047351748,25.973651047351748,0.04945220299904918,0.0428704235864692
2020,Q1,-0.017481630773585,0.09345173445438348,0.14075513144882712,0.2601453106323419,0.18449685135286775,0.0,-0.008075675085746248,-0.006626335610200429,-0.16078195455300281,-0.033321184538285475,-0.10624808985873713,-0.10624808985873713,0.007573753151868923,0.013550888210382528
2020,Q2,-0.006742195069638912,-0.1399191909743882,-0.4136911242324579,-0.033840072098371365,-0.2656346844434967,0.0,0.027486732888637455,-0.2956011062057693,-0.2700669553058581,-0.4540025596128321,-0.40707750843290813,-0.40707750843290813,0.025076912855343858,-0.020477615083583922
2020,Q3,0.0005153298032249953,0.08681648876711012,0.3312919177212166,-0.030755398610382123,0.14563285010015692,0.0,0.03083865284893128,0.010437523742913513,-0.026324204553703767,0.09748029132877778,0.1470296361718879,0.1470296361718879,0.02806164200671546,0.045481465950586664
2020,Q4,-0.0006531251644754654,0.0570420402487668,0.17883403794744512,-0.03484828705784071,0.08612813987094214,0.0,0.026276949383442494,0.4293144034676186,0.15303799237393734,0.425972752637507,0.4551705090372822,0.4551705090372822,0.02312215570018772,0.04192039888937904
