연도,분기,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익
2016,Q1,0.0008668269252882776,0.05054150233488608,0.237080951014482,0.0032852574784838495,0.20982969268585805,0.00986191976529649,0.011402043450667865,-0.7406387995088068,-0.7545111750530107,-0.7133215605839576,-0.707528880642297,-0.707528880642297,0.3315919682636894,-0.12659817939890283
2016,Q2,0.009112850082982904,0.009803141086472733,-0.054259969544007136,-0.04008177707584315,-0.05288949456024228,0.030704106068485393,0.028229867144969223,0.020995392669860724,0.04473380059167198,0.0011753560885128245,0.05139609537865697,0.05139609537865697,0.026764371821790034,0.012028342456897212
2016,Q3,0.009445506571373219,-0.012013419347765897,-0.17588473289951667,0.03500216538819778,-0.1552245849785372,0.02674592090634942,0.026758649020024672,-0.1480992963025054,-0.1502093825296008,-0.09492698570897928,-0.1021557191889102,-0.1021557191889102,0.0376053050874714,-0.015851753017013803
2016,Q4,0.0066700106103385615,0.03453587937978697,0.10216511793244498,-0.16200946534373495,0.07045667980355441,0.02995747729045295,0.026534571307168298,0.2908222428590248,0.5652565450028664,0.1674618763796536,0.14452849881626184,0.14452849881626184,0.008180450010716545,0.045713579621222244
2017,Q1,-0.001033980395141798,0.026786317143275173,0.10493243174543432,0.01627032080074775,0.09660153209671263,0.010494378190036402,0.010569688078726935,-0.10808907755299513,-0.3010488662081342,-0.07985371195780333,-0.020787111434857453,-0.020787111434857453,0.02046865701163214,0.013137575324402961
2017,Q2,0.0015763103079435847,0.005774605422741663,-0.05265119933985374,-0.04494913915724008,-0.05198051041001206,0.022021373598615446,0.020331996303273314,-0.007044018608075242,-0.37832745279558433,-0.20135179964813588,-0.2128839186677317,-0.2128839186677317,0.02057441237687474,0.00553722916998356
2017,Q3,0.0015044000613233521,0.007927610646993655,-0.012577283724166333,0.0126241804501388,-0.010366484831411671,0.013338451708231558,0.012211909775550867,-0.0086875704089312,0.15585587800415124,-0.19601435509367626,-0.381499873748001,-0.381499873748001,0.20878249814061367,0.006442493375474312
2017,Q4,0.0028485334348657965,-0.016042668095185286,-0.15050196834181617,-0.034579471773398485,-0.14009641716384613,0.012873796108932245,0.01236147486152861,-0.043705768616109086,0.187005481483282,-0.1510664711081946,-0.12082707994743269,-0.12082707994743269,0.0,-0.013511189782119404
2018,Q1,-0.0003244205676021794,0.03240773250988771,0.22189044356275334,-0.0668878962127456,0.19278804730283094,0.0026623470670186222,0.0012161789525169109,-0.015423083214544442,-0.18452949292594711,0.38970946649476357,0.5919564121387948,0.5919564121387948,0.0,0.02430367076807105
2018,Q2,-0.00018032412001323106,0.018968229447329232,0.004336088514919512,-0.09332437172147934,-0.003363250549375585,0.025924262009100696,0.02414237772945671,0.10355412317090251,0.055982119874688374,0.16314531092395113,0.43139428285690484,0.43139428285690484,0.0,0.02224695928317444
2018,Q3,-0.0009335939220531664,-0.011907808483796356,-0.14462634270386965,-0.07104858797499458,-0.1393492313953929,0.018084370715194975,0.0168270151590435,-0.026872364997398424,0.13161117717003568,-0.14878423493430926,-0.2851148645632585,-0.2851148645632585,0.0,-0.009521038489722633
2018,Q4,-0.008034451062260306,0.030894842020344315,0.14238553227144224,-0.02617192755023423,0.12933693763037124,0.012447308644330635,0.012107789072075104,0.2013121573566905,0.3470055743234368,-0.06625776130603755,-0.14139231330985935,-0.14139231330985935,0.0,0.03493626663861105
2019,Q1,0.014685347796268289,0.03874458808355663,0.18110275299737788,0.1881993544903111,0.1815764765058474,0.008886969927720978,0.008328752416111085,-0.10401748604365602,-0.3596856290344599,0.7076270996188021,0.7908995190802766,0.7908995190802766,0.0,0.02485417072099838
2019,Q2,0.006322174388265767,0.01183291353101934,-0.044413891293613283,0.0923924101138589,-0.035230394123638153,0.012965710443863854,0.023576931483212382,0.08431350017425054,0.3476612230228975,-0.10991110141170224,-0.08033813201131346,-0.08033813201131346,0.0,0.014133066367152836
2019,Q3,0.006282384488331516,0.008002331540917451,-0.02869251389249261,0.06064336976950635,-0.02190230721584774,0.016665372454295557,0.015035903644122994,-0.07811103636815964,-0.11320886904129646,-0.14066250245554535,-0.13301350349969865,-0.13301350349969865,0.0,0.002995051341653898
2019,Q4,0.0624745257270809,0.03497028918274103,0.08091430257081011,1.3338175731148856,0.18418134658440377,0.01568564245174242,0.0011529664987912636,0.17854559057291985,0.3160631004867607,-0.12927183506501316,-0.18637556325631344,-0.18637556325631344,0.0,0.04472402943055709
2020,Q1,0.0358064066366901,0.01963674994122533,0.09373505762603807,-0.023891118492091135,0.07462786545504407,0.003030331292316557,0.004895017647765121,-0.14219604173555755,-0.487076160415174,0.04466495852694652,0.07963640816993012,0.07963640816993012,0.0,0.009863679627573507
2020,Q2,0.014113644223368471,-0.011850825191862202,-0.1062122126812215,0.031972105371698145,-0.0858234054916841,0.00986354221334551,0.009355438794948823,-0.039197111273783114,-0.3954371618739122,-0.6230043781331429,-0.44849977439268784,-0.44849977439268784,0.0,-0.009397833629110064
2020,Q3,0.010639105626890855,0.022138233293653498,0.060056186778484566,0.030195791971394215,0.05508263704331817,0.012859169522025038,0.01358439535778766,0.14247183372805217,1.1615876504970775,0.7757550848562005,0.3162434181658622,0.3162434181658622,0.0,0.026639412169919607
2020,Q4,-0.005752585079120465,0.017964688607187362,0.10185020589136817,0.05967611015795238,0.09499137658811829,0.008319594507529393,-0.002853701896553207,0.11179293168582394,0.741067404693946,0.2725325159192522,-0.09019248332308927,-0.09019248332308927,0.0,0.02133890637436342
