Date,sma_10,sma_20,sma_60,ema_10,ema_20,ema_60,연도,분기,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익,label
2016-01-04,0.988,0.9387619047619048,0.881031746031746,0.975740884117198,0.9525620526370164,0.887311776360003,2016,Q1,0.0010452590429013,0.0452897787414185,-0.2362146265218858,10.652228068475834,0.192609448212522,-0.0315430306625634,-0.0243053292544941,-0.7490679599890997,-0.1718281238266985,-0.5264005352107007,-0.5367795883864519,-0.5367795883864519,-0.4138237216944761,0.2407910412835365,-0.10190476190476194
2016-01-05,0.9990366088631984,0.9557803468208091,0.8949582530507385,0.9893809209062462,0.9670434420639284,0.900928892759937,2016,Q1,0.0010452590429013,0.0452897787414185,-0.2362146265218858,10.652228068475834,0.192609448212522,-0.0315430306625634,-0.0243053292544941,-0.7490679599890997,-0.1718281238266985,-0.5264005352107007,-0.5367795883864519,-0.5367795883864519,-0.4138237216944761,0.2407910412835365,-0.08477842003853564
2016-01-06,0.9961538461538462,0.9597115384615384,0.8966185897435898,0.9897549443274608,0.9684995771238868,0.9025021432906644,2016,Q1,0.0010452590429013,0.0452897787414185,-0.2362146265218858,10.652228068475834,0.192609448212522,-0.0315430306625634,-0.0243053292544941,-0.7490679599890997,-0.1718281238266985,-0.5264005352107007,-0.5367795883864519,-0.5367795883864519,-0.4138237216944761,0.2407910412835365,-0.09903846153846152
2016-01-07,1.0157170923379175,0.986542239685658,0.9190406024885396,1.0091182603058613,0.9904365068747424,0.924563870019904,2016,Q1,0.0010452590429013,0.0452897787414185,-0.2362146265218858,10.652228068475834,0.192609448212522,-0.0315430306625634,-0.0243053292544941,-0.7490679599890997,-0.1718281238266985,-0.5264005352107007,-0.5367795883864519,-0.5367795883864519,-0.4138237216944761,0.2407910412835365,-0.10216110019646363
2016-01-08,1.04,1.0196969696969698,0.9476094276094276,1.0308118917284022,1.0166918189500194,0.9523294647143226,2016,Q1,0.0010452590429013,0.0452897787414185,-0.2362146265218858,10.652228068475834,0.192609448212522,-0.0315430306625634,-0.0243053292544941,-0.7490679599890997,-0.1718281238266985,-0.5264005352107007,-0.5367795883864519,-0.5367795883864519,-0.4138237216944761,0.2407910412835365,-0.09191919191919196
2016-01-11,1.0118343195266273,1.001923076923077,0.9280736357659434,1.0052477994710476,0.9933301922818634,0.9320916023240664,2016,Q1,0.0010452590429013,0.0452897787414185,-0.2362146265218858,10.652228068475834,0.192609448212522,-0.0315430306625634,-0.0243053292544941,-0.7490679599890997,-0.1718281238266985,-0.5264005352107007,-0.5367795883864519,-0.5367795883864519,-0.4138237216944761,0.2407910412835365,-0.08481262327416172
2016-01-12,1.006286836935167,1.0027996070726914,0.9280943025540276,1.0010619233767442,0.9904340670082588,0.9307762219779228,2016,Q1,0.0010452590429013,0.0452897787414185,-0.2362146265218858,10.652228068475834,0.192609448212522,-0.0315430306625634,-0.0243053292544941,-0.7490679599890997,-0.1718281238266985,-0.5264005352107007,-0.5367795883864519,-0.5367795883864519,-0.4138237216944761,0.2407910412835365,-0.05009823182711204
2016-01-13,0.9994140625,0.998974609375,0.9262369791666666,0.9960697214113752,0.9860944812162378,0.927771380711594,2016,Q1,0.0010452590429013,0.0452897787414185,-0.2362146265218858,10.652228068475834,0.192609448212522,-0.0315430306625634,-0.0243053292544941,-0.7490679599890997,-0.1718281238266985,-0.5264005352107007,-0.5367795883864519,-0.5367795883864519,-0.4138237216944761,0.2407910412835365,-0.029296875
2016-01-14,0.9996101364522416,0.9979044834307992,0.9281189083820662,0.9951956895735632,0.9856796726326624,0.9283907685075556,2016,Q1,0.0010452590429013,0.0452897787414185,-0.2362146265218858,10.652228068475834,0.192609448212522,-0.0315430306625634,-0.0243053292544941,-0.7490679599890997,-0.1718281238266985,-0.5264005352107007,-0.5367795883864519,-0.5367795883864519,-0.4138237216944761,0.2407910412835365,-0.04483430799220278
2016-01-15,0.971266540642722,0.9727315689981096,0.9040957781978576,0.971441570503719,0.9600701925601626,0.9035799930696534,2016,Q1,0.0010452590429013,0.0452897787414185,-0.2362146265218858,10.652228068475834,0.192609448212522,-0.0315430306625634,-0.0243053292544941,-0.7490679599890997,-0.1718281238266985,-0.5264005352107007,-0.5367795883864519,-0.5367795883864519,-0.4138237216944761,0.2407910412835365,-0.1068052930056711
2016-01-18,1.0027397260273974,1.0089041095890412,0.9395792563600784,1.0046314387418975,0.9944707394858102,0.9375267688306694,2016,Q1,0.0010452590429013,0.0452897787414185,-0.2362146265218858,10.652228068475834,0.192609448212522,-0.0315430306625634,-0.0243053292544941,-0.7490679599890997,-0.1718281238266985,-0.5264005352107007,-0.5367795883864519,-0.5367795883864519,-0.4138237216944761,0.2407910412835365,-0.07436399217221135
2016-01-19,0.9994140625,1.0060546875,0.9416178385416666,1.002183946515267,0.993239993458684,0.9378043637107962,2016,Q1,0.0010452590429013,0.0452897787414185,-0.2362146265218858,10.652228068475834,0.192609448212522,-0.0315430306625634,-0.0243053292544941,-0.7490679599890997,-0.1718281238266985,-0.5264005352107007,-0.5367795883864519,-0.5367795883864519,-0.4138237216944761,0.2407910412835365,-0.080078125
