Date,sma_10,sma_20,sma_60,ema_10,ema_20,ema_60,연도,분기,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,이익잉여금,총포괄손익,영업비용,label
2016-11-16,1.0320967741935485,1.0367741935483872,1.0274193548387096,1.0247168476652777,1.0301051124728908,1.0266116284822937,2016,Q4,0.051838611084483,0.0170015218581938,0.0110013619407991,0.0234222669335137,0.0178861341287743,0.0159169985915854,0.8841266486776558,-0.5145242995092607,0.6558256879974687,-0.0216284070296827,-0.0216284070296827,0.0441159272368276,0.0213318394195081,0.0050039698794688,0.0036313285918121,-0.04516129032258065
2016-11-17,1.029335494327391,1.040356564019449,1.0317396002160997,1.0242993973732502,1.0317695627792434,1.0305670845819808,2016,Q4,0.051838611084483,0.0170015218581938,0.0110013619407991,0.0234222669335137,0.0178861341287743,0.0159169985915854,0.8841266486776558,-0.5145242995092607,0.6558256879974687,-0.0216284070296827,-0.0216284070296827,0.0441159272368276,0.0213318394195081,0.0050039698794688,0.0036313285918121,-0.04700162074554293
2016-11-18,1.026872964169381,1.0435667752442996,1.0364549402823018,1.0239760961820636,1.0333049933659897,1.0344351356847798,2016,Q4,0.051838611084483,0.0170015218581938,0.0110013619407991,0.0234222669335137,0.0178861341287743,0.0159169985915854,0.8841266486776558,-0.5145242995092607,0.6558256879974687,-0.0216284070296827,-0.0216284070296827,0.0441159272368276,0.0213318394195081,0.0050039698794688,0.0036313285918121,-0.03420195439739415
2016-11-21,1.0230016313213703,1.0427406199021207,1.037710712343665,1.0209835247667334,1.0316582034185997,1.0349382830310698,2016,Q4,0.051838611084483,0.0170015218581938,0.0110013619407991,0.0234222669335137,0.0178861341287743,0.0159169985915854,0.8841266486776558,-0.5145242995092607,0.6558256879974687,-0.0216284070296827,-0.0216284070296827,0.0441159272368276,0.0213318394195081,0.0050039698794688,0.0036313285918121,-0.0440456769983687
2016-11-22,1.014448051948052,1.0352272727272729,1.032332251082251,1.0131000746957006,1.0240973326543312,1.0289177367468718,2016,Q4,0.051838611084483,0.0170015218581938,0.0110013619407991,0.0234222669335137,0.0178861341287743,0.0159169985915854,0.8841266486776558,-0.5145242995092607,0.6558256879974687,-0.0216284070296827,-0.0216284070296827,0.0441159272368276,0.0213318394195081,0.0050039698794688,0.0036313285918121,-0.04870129870129869
2016-11-23,1.0116883116883115,1.033198051948052,1.0317099567099568,1.010718242932846,1.021802348592014,1.0279696140716372,2016,Q4,0.051838611084483,0.0170015218581938,0.0110013619407991,0.0234222669335137,0.0178861341287743,0.0159169985915854,0.8841266486776558,-0.5145242995092607,0.6558256879974687,-0.0216284070296827,-0.0216284070296827,0.0441159272368276,0.0213318394195081,0.0050039698794688,0.0036313285918121,-0.051948051948051965
2016-11-24,1.0280730897009966,1.053654485049834,1.0544850498338871,1.0280008968317274,1.0412256516311449,1.050175035229353,2016,Q4,0.051838611084483,0.0170015218581938,0.0110013619407991,0.0234222669335137,0.0178861341287743,0.0159169985915854,0.8841266486776558,-0.5145242995092607,0.6558256879974687,-0.0216284070296827,-0.0216284070296827,0.0441159272368276,0.0213318394195081,0.0050039698794688,0.0036313285918121,-0.031561461794019974
2016-11-25,1.022923588039867,1.0500830564784054,1.0534606866002216,1.0229098246805042,1.0372993990948451,1.0485299518490845,2016,Q4,0.051838611084483,0.0170015218581938,0.0110013619407991,0.0234222669335137,0.0178861341287743,0.0159169985915854,0.8841266486776558,-0.5145242995092607,0.6558256879974687,-0.0216284070296827,-0.0216284070296827,0.0441159272368276,0.0213318394195081,0.0050039698794688,0.0036313285918121,-0.029900332225913595
2016-11-28,1.0278523489932887,1.0564597315436242,1.0628635346756152,1.0271698337582322,1.0431951523527356,1.0571483886866688,2016,Q4,0.051838611084483,0.0170015218581938,0.0110013619407991,0.0234222669335137,0.0178861341287743,0.0159169985915854,0.8841266486776558,-0.5145242995092607,0.6558256879974687,-0.0216284070296827,-0.0216284070296827,0.0441159272368276,0.0213318394195081,0.0050039698794688,0.0036313285918121,-0.02684563758389258
2016-11-29,1.009933774834437,1.0378311258278146,1.0480132450331126,1.0110985834255206,1.0265800934438962,1.0417317862374127,2016,Q4,0.051838611084483,0.0170015218581938,0.0110013619407991,0.0234222669335137,0.0178861341287743,0.0159169985915854,0.8841266486776558,-0.5145242995092607,0.6558256879974687,-0.0216284070296827,-0.0216284070296827,0.0441159272368276,0.0213318394195081,0.0050039698794688,0.0036313285918121,-0.039735099337748325
