Date,sma_10,sma_20,sma_60,ema_10,ema_20,ema_60,연도,분기,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익,영업비용,label
2021-06-29,0.992507204610951,0.9905619596541788,1.023439000960615,0.9980657490519326,1.0007435450678708,0.9915551175991628,2021,Q2,0.0019906492506729,0.0126204731541119,-0.0705323538125388,0.0027194370863572,-0.0307695128125645,0.0232381286334002,0.0245745112927338,0.1893361741894037,0.4988320638355599,0.401463236037946,0.3843662209995295,0.3843662209995295,0.0,0.0040091899297844,0.0082863810456341,-0.02737752161383289
2021-06-30,0.9905172413793104,0.9869971264367816,1.0211446360153256,0.9960708814757536,0.9980709075851768,0.9890761222257236,2021,Q2,0.0019906492506729,0.0126204731541119,-0.0705323538125388,0.0027194370863572,-0.0307695128125645,0.0232381286334002,0.0245745112927338,0.1893361741894037,0.4988320638355599,0.401463236037946,0.3843662209995295,0.3843662209995295,0.0,0.0040091899297844,0.0082863810456341,-0.007183908045977017
2021-07-01,1.0002898550724637,0.9953623188405796,1.0308212560386474,1.0038719369649698,1.0061069483717309,0.9977529551693304,2021,Q3,0.0149708733841504,0.0737780129476932,0.1725315136745591,0.2794629888429587,0.232582076863882,0.0322918039728572,0.0323904114858237,0.2196068522581109,0.4276068572019986,0.3518084422047098,0.39593736769463,0.39593736769463,0.0,-0.0073867056823807,-0.0079278850371954,-0.020289855072463725
2021-07-02,1.004360465116279,0.9978197674418604,1.034544573643411,1.0055555930962556,1.008171518075401,1.0006319768619767,2021,Q3,0.0149708733841504,0.0737780129476932,0.1725315136745591,0.2794629888429587,0.232582076863882,0.0322918039728572,0.0323904114858237,0.2196068522581109,0.4276068572019986,0.3518084422047098,0.39593736769463,0.39593736769463,0.0,-0.0073867056823807,-0.0079278850371954,-0.008720930232558155
2021-07-05,1.0042028985507243,0.9957246376811594,1.0321980676328502,1.0021607684390006,1.0047493501919695,0.9978059682770576,2021,Q3,0.0149708733841504,0.0737780129476932,0.1725315136745591,0.2794629888429587,0.232582076863882,0.0322918039728572,0.0323904114858237,0.2196068522581109,0.4276068572019986,0.3518084422047098,0.39593736769463,0.39593736769463,0.0,-0.0073867056823807,-0.0079278850371954,-0.04492753623188406
2021-07-06,1.011970802919708,1.0032116788321168,1.0404379562043795,1.0077529358999595,1.0109324978113816,1.0049223637324165,2021,Q3,0.0149708733841504,0.0737780129476932,0.1725315136745591,0.2794629888429587,0.232582076863882,0.0322918039728572,0.0323904114858237,0.2196068522581109,0.4276068572019986,0.3518084422047098,0.39593736769463,0.39593736769463,0.0,-0.0073867056823807,-0.0079278850371954,-0.039416058394160625
2021-07-07,1.0212076583210603,1.012960235640648,1.0501227295041728,1.0136292475329027,1.017973662880646,1.0133498474189526,2021,Q3,0.0149708733841504,0.0737780129476932,0.1725315136745591,0.2794629888429587,0.232582076863882,0.0322918039728572,0.0323904114858237,0.2196068522581109,0.4276068572019986,0.3518084422047098,0.39593736769463,0.39593736769463,0.0,-0.0073867056823807,-0.0079278850371954,-0.07658321060382911
2021-07-08,1.0181148748159057,1.0137702503681885,1.0507363770250369,1.0111512025269205,1.0162618854634415,1.0129121475035772,2021,Q3,0.0149708733841504,0.0737780129476932,0.1725315136745591,0.2794629888429587,0.232582076863882,0.0322918039728572,0.0323904114858237,0.2196068522581109,0.4276068572019986,0.3518084422047098,0.39593736769463,0.39593736769463,0.0,-0.0073867056823807,-0.0079278850371954,-0.09278350515463918
2021-07-09,1.018491124260355,1.016568047337278,1.0553747534516766,1.0127951854010235,1.0187936449960453,1.0168365879605397,2021,Q3,0.0149708733841504,0.0737780129476932,0.1725315136745591,0.2794629888429587,0.232582076863882,0.0322918039728572,0.0323904114858237,0.2196068522581109,0.4276068572019986,0.3518084422047098,0.39593736769463,0.39593736769463,0.0,-0.0073867056823807,-0.0079278850371954,-0.08431952662721898
2021-07-12,0.9965166908563134,0.9973875181422353,1.0353894533139816,0.9948338709565676,0.9996119687835514,0.997728008618291,2021,Q3,0.0149708733841504,0.0737780129476932,0.1725315136745591,0.2794629888429587,0.232582076863882,0.0322918039728572,0.0323904114858237,0.2196068522581109,0.4276068572019986,0.3518084422047098,0.39593736769463,0.39593736769463,0.0,-0.0073867056823807,-0.0079278850371954,-0.0711175616835994
