Date,sma_10,sma_20,sma_60,ema_10,ema_20,ema_60,연도,분기,부채총계,자본금,이익잉여금,자본총계,법인세차감전 순이익,당기순이익,당기손익-공정가치측정금융자산,기타포괄손익-공정가치측정금융자산,보험계약자산,보험계약부채,이자수익,이자비용,영업이익(손실),당기순이익(손실),총포괄손익,차입부채,상각후원가측정금융자산,label
2024-01-19,1.035361842105263,1.0867598684210529,1.1302905701754389,1.0340346905013127,1.0674805250863548,1.114728617984041,2024,Q1,0.0081675623961956,0.0,-0.0009846748592383,-0.0261095230259761,-0.4336194498735577,-0.4157052187759312,0.0343857119485557,0.0129334471138617,inf,0.0045068062547954,-0.6706673810534833,-0.7409796900194568,-0.5518391433870853,-0.4157052187759312,-1.0601220248813383,0.2777777777777777,-0.0152776002144371,0.700657894736842
2024-01-22,1.0252459016393445,1.0747540983606558,1.1234699453551913,1.0250727014043493,1.0578871995158137,1.1074320071035613,2024,Q1,0.0081675623961956,0.0,-0.0009846748592383,-0.0261095230259761,-0.4336194498735577,-0.4157052187759312,0.0343857119485557,0.0129334471138617,inf,0.0045068062547954,-0.6706673810534833,-0.7409796900194568,-0.5518391433870853,-0.4157052187759312,-1.0601220248813383,0.2777777777777777,-0.0152776002144371,0.7377049180327868
2024-01-23,1.0014492753623188,1.048148148148148,1.100751476113795,1.005657902314431,1.0354200323892555,1.0849364572122482,2024,Q1,0.0081675623961956,0.0,-0.0009846748592383,-0.0261095230259761,-0.4336194498735577,-0.4157052187759312,0.0343857119485557,0.0129334471138617,inf,0.0045068062547954,-0.6706673810534833,-0.7409796900194568,-0.5518391433870853,-0.4157052187759312,-1.0601220248813383,0.2777777777777777,-0.0152776002144371,0.6924315619967794
2024-01-24,0.989776357827476,1.032667731629393,1.0896166134185303,0.9980572198715296,1.0245641991602636,1.0737701475881098,2024,Q1,0.0081675623961956,0.0,-0.0009846748592383,-0.0261095230259761,-0.4336194498735577,-0.4157052187759312,0.0343857119485557,0.0129334471138617,inf,0.0045068062547954,-0.6706673810534833,-0.7409796900194568,-0.5518391433870853,-0.4157052187759312,-1.0601220248813383,0.2777777777777777,-0.0152776002144371,0.6469648562300319
2024-01-25,0.9727272727272728,1.0059561128526646,1.0670585161964472,0.9830513503499856,1.0047892659211952,1.0518173244005151,2024,Q1,0.0081675623961956,0.0,-0.0009846748592383,-0.0261095230259761,-0.4336194498735577,-0.4157052187759312,0.0343857119485557,0.0129334471138617,inf,0.0045068062547954,-0.6706673810534833,-0.7409796900194568,-0.5518391433870853,-0.4157052187759312,-1.0601220248813383,0.2777777777777777,-0.0152776002144371,0.5282131661442007
2024-01-26,0.973667711598746,1.002194357366771,1.0648380355276907,0.9861329230136244,1.004333145357272,1.0501183957316458,2024,Q1,0.0081675623961956,0.0,-0.0009846748592383,-0.0261095230259761,-0.4336194498735577,-0.4157052187759312,0.0343857119485557,0.0129334471138617,inf,0.0045068062547954,-0.6706673810534833,-0.7409796900194568,-0.5518391433870853,-0.4157052187759312,-1.0601220248813383,0.2777777777777777,-0.0152776002144371,0.5564263322884013
2024-01-29,0.9488584474885844,0.9706240487062404,1.032267884322679,0.965321052157774,0.9776419792723672,1.0191021446747663,2024,Q1,0.0081675623961956,0.0,-0.0009846748592383,-0.0261095230259761,-0.4336194498735577,-0.4157052187759312,0.0343857119485557,0.0129334471138617,inf,0.0045068062547954,-0.6706673810534833,-0.7409796900194568,-0.5518391433870853,-0.4157052187759312,-1.0601220248813383,0.2777777777777777,-0.0152776002144371,0.5418569254185692
2024-01-30,0.9525835866261398,0.9673252279635258,1.029609929078014,0.970425999089378,0.9784270391704272,1.0169778373119729,2024,Q1,0.0081675623961956,0.0,-0.0009846748592383,-0.0261095230259761,-0.4336194498735577,-0.4157052187759312,0.0343857119485557,0.0129334471138617,inf,0.0045068062547954,-0.6706673810534833,-0.7409796900194568,-0.5518391433870853,-0.4157052187759312,-1.0601220248813383,0.2777777777777777,-0.0152776002144371,0.506079027355623
2024-01-31,0.9163059163059164,0.92012987012987,0.9774410774410776,0.9357028422677812,0.9357723386043209,0.966742686824342,2024,Q1,0.0081675623961956,0.0,-0.0009846748592383,-0.0261095230259761,-0.4336194498735577,-0.4157052187759312,0.0343857119485557,0.0129334471138617,inf,0.0045068062547954,-0.6706673810534833,-0.7409796900194568,-0.5518391433870853,-0.4157052187759312,-1.0601220248813383,0.2777777777777777,-0.0152776002144371,0.4025974025974026
2024-02-01,0.8564473684210526,0.8454605263157895,0.8927850877192983,0.8799017496679606,0.8672502745866598,0.8854013855950578,2024,Q1,0.0081675623961956,0.0,-0.0009846748592383,-0.0261095230259761,-0.4336194498735577,-0.4157052187759312,0.0343857119485557,0.0129334471138617,inf,0.0045068062547954,-0.6706673810534833,-0.7409796900194568,-0.5518391433870853,-0.4157052187759312,-1.0601220248813383,0.2777777777777777,-0.0152776002144371,0.23026315789473695
