Date,sma_10,sma_20,sma_60,ema_10,ema_20,ema_60,연도,분기,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),이익잉여금,총포괄손익,label
2016-01-04,1.0204238124025582,1.006232566525608,1.0649417911977967,1.0168334250675142,1.0170302052108828,1.0369196660528512,2016,Q1,0.0516823931863896,0.0676551896832995,0.1399264166049865,0.0486287356773311,0.1037365060301924,0.0,0.0186740660880193,-0.7448537083430704,-0.714860918383475,-0.401205257644345,-0.3143319825699568,-0.3143319825699568,-0.065090001800711,-0.0663538682286849,0.0795761875974419
2016-01-05,1.014513593636258,0.9997373057486788,1.057169407900521,1.0093842542121392,1.0105543970092452,1.0304185374199082,2016,Q1,0.0516823931863896,0.0676551896832995,0.1399264166049865,0.0486287356773311,0.1037365060301924,0.0,0.0186740660880193,-0.7448537083430704,-0.714860918383475,-0.401205257644345,-0.3143319825699568,-0.3143319825699568,-0.065090001800711,-0.0663538682286849,0.09499192927300149
2016-01-06,1.0328002063717272,1.017611999656047,1.0737952692147843,1.0232212630653768,1.0267571656629195,1.048178156103549,2016,Q1,0.0516823931863896,0.0676551896832995,0.1399264166049865,0.0486287356773311,0.1037365060301924,0.0,0.0186740660880193,-0.7448537083430704,-0.714860918383475,-0.401205257644345,-0.3143319825699568,-0.3143319825699568,-0.065090001800711,-0.0663538682286849,0.0860312137237198
2016-01-07,1.0471200403128629,1.0357502793418487,1.0910471850375012,1.0350484101664037,1.0420177159735535,1.0660333370587176,2016,Q1,0.0516823931863896,0.0676551896832995,0.1399264166049865,0.0486287356773311,0.1037365060301924,0.0,0.0186740660880193,-0.7448537083430704,-0.714860918383475,-0.401205257644345,-0.3143319825699568,-0.3143319825699568,-0.065090001800711,-0.0663538682286849,0.10958964134697546
2016-01-08,1.0405451000153365,1.0354764147843043,1.0869834001562857,1.02867597195433,1.0380160287379367,1.0638678389962202,2016,Q1,0.0516823931863896,0.0676551896832995,0.1399264166049865,0.0486287356773311,0.1037365060301924,0.0,0.0186740660880193,-0.7448537083430704,-0.714860918383475,-0.401205257644345,-0.3143319825699568,-0.3143319825699568,-0.065090001800711,-0.0663538682286849,0.08219223101023165
2016-01-11,0.9760936600608502,0.9742938491900338,1.0166676945426636,0.9715385182349005,0.9764559094001222,0.9982924124737012,2016,Q1,0.0516823931863896,0.0676551896832995,0.1399264166049865,0.0486287356773311,0.1037365060301924,0.0,0.0186740660880193,-0.7448537083430704,-0.714860918383475,-0.401205257644345,-0.3143319825699568,-0.3143319825699568,-0.065090001800711,-0.0663538682286849,-0.002569689992599322
2016-01-12,0.9867156750452946,0.9890584976780024,1.0266017965111034,0.987059435051592,0.9901970389501972,1.0109157646358142,2016,Q1,0.0516823931863896,0.0676551896832995,0.1399264166049865,0.0486287356773311,0.1037365060301924,0.0,0.0186740660880193,-0.7448537083430704,-0.714860918383475,-0.401205257644345,-0.3143319825699568,-0.3143319825699568,-0.065090001800711,-0.0663538682286849,0.01301568129282149
2016-01-13,0.9683714478059527,0.9729630347416308,1.0036179848630122,0.9729371414529092,0.9728542194558796,0.990611157867069,2016,Q1,0.0516823931863896,0.0676551896832995,0.1399264166049865,0.0486287356773311,0.1037365060301924,0.0,0.0186740660880193,-0.7448537083430704,-0.714860918383475,-0.401205257644345,-0.3143319825699568,-0.3143319825699568,-0.065090001800711,-0.0663538682286849,-0.01785022134274461
2016-01-14,0.978608380222181,0.9836342463777076,1.0117268492755416,0.9860610400647573,0.9845102200381576,1.0007927661163991,2016,Q1,0.0516823931863896,0.0676551896832995,0.1399264166049865,0.0486287356773311,0.1037365060301924,0.0,0.0186740660880193,-0.7448537083430704,-0.714860918383475,-0.401205257644345,-0.3143319825699568,-0.3143319825699568,-0.065090001800711,-0.0663538682286849,-0.0077289309342731816
2016-01-15,0.9746170723205314,0.9806429289097582,1.004104554122496,0.9844596892327606,0.9814192817203437,0.9958047344557864,2016,Q1,0.0516823931863896,0.0676551896832995,0.1399264166049865,0.0486287356773311,0.1037365060301924,0.0,0.0186740660880193,-0.7448537083430704,-0.714860918383475,-0.401205257644345,-0.3143319825699568,-0.3143319825699568,-0.065090001800711,-0.0663538682286849,-0.010252414443601476
2016-01-18,0.9847532751994048,0.9894046782659008,1.0093012563540935,0.9935266792234434,0.9900695108348488,1.003405653165517,2016,Q1,0.0516823931863896,0.0676551896832995,0.1399264166049865,0.0486287356773311,0.1037365060301924,0.0,0.0186740660880193,-0.7448537083430704,-0.714860918383475,-0.401205257644345,-0.3143319825699568,-0.3143319825699568,-0.065090001800711,-0.0663538682286849,-0.007748894491052649
2016-01-19,0.989117238807516,0.9926148252501604,1.0092811466296518,0.9968087385825533,0.9933350244902284,1.0058072359549224,2016,Q1,0.0516823931863896,0.0676551896832995,0.1399264166049865,0.0486287356773311,0.1037365060301924,0.0,0.0186740660880193,-0.7448537083430704,-0.714860918383475,-0.401205257644345,-0.3143319825699568,-0.3143319825699568,-0.065090001800711,-0.0663538682286849,-0.00777932006049431
2016-01-20,1.0313542837382208,1.034867511022737,1.049101610904585,1.0326608003642246,1.03283816197685,1.0476895475980643,2016,Q1,0.0516823931863896,0.0676551896832995,0.1399264166049865,0.0486287356773311,0.1037365060301924,0.0,0.0186740660880193,-0.7448537083430704,-0.714860918383475,-0.401205257644345,-0.3143319825699568,-0.3143319825699568,-0.065090001800711,-0.0663538682286849,0.040546381948646903
