Date,sma_10,sma_20,sma_60,ema_10,ema_20,ema_60,연도,분기,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),총포괄손익,label
2019-04-22,1.0057093425605537,1.0272491349480968,1.1249134948096886,1.0098902364238154,1.0353980969106318,1.090961534079699,2019,Q2,0.0084656102241453,0.0056026879432002,-0.0508306539505658,0.0417289422483431,0.0094194562964906,0.0,0.0027948717054413,0.0015707414081922,-0.1318175768675739,-1.107723748341718,-1.0616647594537718,-1.076045807163022,-1.076045807163022,0.0092727099253062,-0.11072664359861595
2019-04-23,1.0125435540069687,1.0294425087108017,1.1303426248548198,1.0138500174020728,1.0385549942154106,1.0953324451701003,2019,Q2,0.0084656102241453,0.0056026879432002,-0.0508306539505658,0.0417289422483431,0.0094194562964906,0.0,0.0027948717054413,0.0015707414081922,-0.1318175768675739,-1.107723748341718,-1.0616647594537718,-1.076045807163022,-1.076045807163022,0.0092727099253062,-0.1045296167247387
2019-04-24,1.0269982238010658,1.0438721136767315,1.1496743635287152,1.0275390263037472,1.053242050825786,1.11290593681771,2019,Q2,0.0084656102241453,0.0056026879432002,-0.0508306539505658,0.0417289422483431,0.0094194562964906,0.0,0.0027948717054413,0.0015707414081922,-0.1318175768675739,-1.107723748341718,-1.0616647594537718,-1.076045807163022,-1.076045807163022,0.0092727099253062,-0.09946714031971582
2019-04-25,1.033213644524237,1.0500897666068223,1.158946738479952,1.031588093076724,1.058436369811356,1.1207992613613291,2019,Q2,0.0084656102241453,0.0056026879432002,-0.0508306539505658,0.0417289422483431,0.0094194562964906,0.0,0.0027948717054413,0.0015707414081922,-0.1318175768675739,-1.107723748341718,-1.0616647594537718,-1.076045807163022,-1.076045807163022,0.0092727099253062,-0.05924596050269304
2019-04-26,1.0270609318996415,1.0446236559139783,1.1539426523297491,1.0243322109145678,1.051154813254274,1.1148958847792865,2019,Q2,0.0084656102241453,0.0056026879432002,-0.0508306539505658,0.0417289422483431,0.0094194562964906,0.0,0.0027948717054413,0.0015707414081922,-0.1318175768675739,-1.107723748341718,-1.0616647594537718,-1.076045807163022,-1.076045807163022,0.0092727099253062,-0.05734767025089604
2019-04-29,0.9968641114982578,1.012630662020906,1.119308943089431,0.9965467790961292,1.0197729658305803,1.081070495193456,2019,Q2,0.0084656102241453,0.0056026879432002,-0.0508306539505658,0.0417289422483431,0.0094194562964906,0.0,0.0027948717054413,0.0015707414081922,-0.1318175768675739,-1.107723748341718,-1.0616647594537718,-1.076045807163022,-1.076045807163022,0.0092727099253062,-0.09059233449477355
2019-04-30,1.0074204946996466,1.0234982332155478,1.132243816254417,1.0086991103132996,1.0309308400932446,1.0931916060424487,2019,Q2,0.0084656102241453,0.0056026879432002,-0.0508306539505658,0.0417289422483431,0.0094194562964906,0.0,0.0027948717054413,0.0015707414081922,-0.1318175768675739,-1.107723748341718,-1.0616647594537718,-1.076045807163022,-1.076045807163022,0.0092727099253062,-0.09893992932862195
2019-05-02,1.0133689839572193,1.0286096256684492,1.1385026737967914,1.014473062378212,1.0362982984774427,1.0995599337302104,2019,Q2,0.0084656102241453,0.0056026879432002,-0.0508306539505658,0.0417289422483431,0.0094194562964906,0.0,0.0027948717054413,0.0015707414081922,-0.1318175768675739,-1.107723748341718,-1.0616647594537718,-1.076045807163022,-1.076045807163022,0.0092727099253062,-0.09625668449197866
2019-05-03,1.018705035971223,1.0336330935251798,1.145083932853717,1.01930583583185,1.041273001325031,1.105859601560804,2019,Q2,0.0084656102241453,0.0056026879432002,-0.0508306539505658,0.0417289422483431,0.0094194562964906,0.0,0.0027948717054413,0.0015707414081922,-0.1318175768675739,-1.107723748341718,-1.0616647594537718,-1.076045807163022,-1.076045807163022,0.0092727099253062,-0.08633093525179858
2019-05-07,1.0100178890876566,1.0258497316636852,1.135629099582588,1.0113199548711296,1.0322862242096966,1.0966485342561547,2019,Q2,0.0084656102241453,0.0056026879432002,-0.0508306539505658,0.0417289422483431,0.0094194562964906,0.0,0.0027948717054413,0.0015707414081922,-0.1318175768675739,-1.107723748341718,-1.0616647594537718,-1.076045807163022,-1.076045807163022,0.0092727099253062,-0.08407871198568873
