Date,sma_10,sma_20,sma_60,ema_10,ema_20,ema_60,연도,분기,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익,이자수익,영업비용,label
2023-12-20,0.99297052154195,0.9688208616780044,0.9110657596371882,0.9929051141828052,0.9727071509570462,0.9403402322235288,2023,Q4,-0.0025869888065161,0.0042599200659301,-0.1852241201173253,-0.0140283593764442,-0.0956569238971241,0.0191196454105262,0.0448809159561156,0.0305682935875901,-0.0135715237194129,-0.1812418080890154,-0.3129282424102764,-0.3129282424102764,0.0,1.885206177513814,0.6530936816101398,1.3314078359151766,-0.05668934240362811
2023-12-21,1.013163972286374,0.9892609699769052,0.9283987682832948,1.0092043666159043,0.99156639369505,0.959100159096808,2023,Q4,-0.0025869888065161,0.0042599200659301,-0.1852241201173253,-0.0140283593764442,-0.0956569238971241,0.0191196454105262,0.0448809159561156,0.0305682935875901,-0.0135715237194129,-0.1812418080890154,-0.3129282424102764,-0.3129282424102764,0.0,1.885206177513814,0.6530936816101398,1.3314078359151766,-0.050808314087759765
2023-12-22,1.0190697674418605,0.9983720930232558,0.9354186046511628,1.013291631438093,0.9986286512656896,0.9669131438980616,2023,Q4,-0.0025869888065161,0.0042599200659301,-0.1852241201173253,-0.0140283593764442,-0.0956569238971241,0.0191196454105262,0.0448809159561156,0.0305682935875901,-0.0135715237194129,-0.1812418080890154,-0.3129282424102764,-0.3129282424102764,0.0,1.885206177513814,0.6530936816101398,1.3314078359151766,-0.0488372093023256
2023-12-26,1.0157772621809744,0.9982598607888632,0.9339443155452436,1.008951405540059,0.9966629191073566,0.9658280955723944,2023,Q4,-0.0025869888065161,0.0042599200659301,-0.1852241201173253,-0.0140283593764442,-0.0956569238971241,0.0191196454105262,0.0448809159561156,0.0305682935875901,-0.0135715237194129,-0.1812418080890154,-0.3129282424102764,-0.3129282424102764,0.0,1.885206177513814,0.6530936816101398,1.3314078359151766,-0.044083526682134555
2023-12-27,0.9858744394618834,0.9681614349775785,0.9041778774289984,0.9795602327945148,0.9666530690337544,0.9355304948287296,2023,Q4,-0.0025869888065161,0.0042599200659301,-0.1852241201173253,-0.0140283593764442,-0.0956569238971241,0.0191196454105262,0.0448809159561156,0.0305682935875901,-0.0135715237194129,-0.1812418080890154,-0.3129282424102764,-0.3129282424102764,0.0,1.885206177513814,0.6530936816101398,1.3314078359151766,-0.08071748878923768
2023-12-28,0.9861607142857144,0.9675223214285714,0.9018154761904762,0.97969861494261,0.9659245436853778,0.9336047072937352,2023,Q4,-0.0025869888065161,0.0042599200659301,-0.1852241201173253,-0.0140283593764442,-0.0956569238971241,0.0191196454105262,0.0448809159561156,0.0305682935875901,-0.0135715237194129,-0.1812418080890154,-0.3129282424102764,-0.3129282424102764,0.0,1.885206177513814,0.6530936816101398,1.3314078359151766,-0.0959821428571429
2024-01-02,0.972967032967033,0.9569230769230768,0.8906007326007326,0.9710579051845364,0.9557247217006736,0.921889375722861,2024,Q1,-0.0193275894502794,0.030673307853799,-0.0427816197650111,0.1866882720314746,0.0881103157724538,0.0092467390942176,0.0104631322220467,-0.0199134572714756,-0.0801781484222659,-0.3766269319816419,-0.2570097576020825,-0.2570097576020825,0.0,-0.8213618469178665,-0.6081222967054807,-0.7394983182385202,-0.10549450549450545
2024-01-03,0.9952702702702704,0.9842342342342344,0.9151126126126126,0.9960037104280663,0.9813642448629688,0.9465411420499265,2024,Q1,-0.0193275894502794,0.030673307853799,-0.0427816197650111,0.1866882720314746,0.0881103157724538,0.0092467390942176,0.0104631322220467,-0.0199134572714756,-0.0801781484222659,-0.3766269319816419,-0.2570097576020825,-0.2570097576020825,0.0,-0.8213618469178665,-0.6081222967054807,-0.7394983182385202,-0.07657657657657657
2024-01-04,0.9908071748878924,0.9826233183856502,0.913408071748879,0.9930759940624854,0.9791574599256896,0.944188478906854,2024,Q1,-0.0193275894502794,0.030673307853799,-0.0427816197650111,0.1866882720314746,0.0881103157724538,0.0092467390942176,0.0104631322220467,-0.0199134572714756,-0.0801781484222659,-0.3766269319816419,-0.2570097576020825,-0.2570097576020825,0.0,-0.8213618469178665,-0.6081222967054807,-0.7394983182385202,-0.08744394618834084
2024-01-05,1.0011337868480723,0.9954648526077098,0.925978835978836,1.0035471119700716,0.9911867309588912,0.9563724632524796,2024,Q1,-0.0193275894502794,0.030673307853799,-0.0427816197650111,0.1866882720314746,0.0881103157724538,0.0092467390942176,0.0104631322220467,-0.0199134572714756,-0.0801781484222659,-0.3766269319816419,-0.2570097576020825,-0.2570097576020825,0.0,-0.8213618469178665,-0.6081222967054807,-0.7394983182385202,-0.08163265306122447
2024-01-08,0.9772626931567328,0.9719646799116998,0.9039146431199412,0.9811516129659268,0.9682701165462578,0.9332991394841772,2024,Q1,-0.0193275894502794,0.030673307853799,-0.0427816197650111,0.1866882720314746,0.0881103157724538,0.0092467390942176,0.0104631322220467,-0.0199134572714756,-0.0801781484222659,-0.3766269319816419,-0.2570097576020825,-0.2570097576020825,0.0,-0.8213618469178665,-0.6081222967054807,-0.7394983182385202,-0.10596026490066224
2024-01-09,0.9701525054466232,0.9629629629629628,0.8947058823529411,0.9740849922879944,0.959840325045507,0.9236860638234796,2024,Q1,-0.0193275894502794,0.030673307853799,-0.0427816197650111,0.1866882720314746,0.0881103157724538,0.0092467390942176,0.0104631322220467,-0.0199134572714756,-0.0801781484222659,-0.3766269319816419,-0.2570097576020825,-0.2570097576020825,0.0,-0.8213618469178665,-0.6081222967054807,-0.7394983182385202,-0.11982570806100223
2024-01-10,0.9707792207792209,0.9596320346320346,0.8917243867243868,0.9736216259625552,0.9580259198847522,0.9203868531120448,2024,Q1,-0.0193275894502794,0.030673307853799,-0.0427816197650111,0.1866882720314746,0.0881103157724538,0.0092467390942176,0.0104631322220467,-0.0199134572714756,-0.0801781484222659,-0.3766269319816419,-0.2570097576020825,-0.2570097576020825,0.0,-0.8213618469178665,-0.6081222967054807,-0.7394983182385202,-0.13203463203463206
