Date,sma_10,sma_20,sma_60,ema_10,ema_20,ema_60,연도,분기,부채총계,자본금,이익잉여금,자본총계,법인세차감전 순이익,당기순이익,당기손익-공정가치측정금융자산,기타포괄손익-공정가치측정금융자산,보험계약자산,보험계약부채,파생상품자산,파생상품부채,이자수익,이자비용,영업이익(손실),당기순이익(손실),총포괄손익,영업이익,label
2024-03-08,0.9725806451612904,0.9813709677419354,0.8750806451612904,0.9769761227420656,0.9607551907416229,0.9013049347218488,2024,Q1,-0.0004270960952823,0.0,0.0003067114700154,0.007893605162405,-0.5035487522708504,-0.4942400727768302,0.049567819358991,0.0120478775276611,0.3607210345860683,-0.0100235197849565,-0.5904120000324495,0.5107369722775144,-0.653122211406105,-0.6257520019254046,0.2167800072781363,-0.4942400727768302,-0.8074847535275637,-0.0954129224388898,-0.030645161290322576
2024-03-11,0.956487341772152,0.964873417721519,0.8618143459915611,0.9659848626151794,0.9479879556160576,0.8879885482497726,2024,Q1,-0.0004270960952823,0.0,0.0003067114700154,0.007893605162405,-0.5035487522708504,-0.4942400727768302,0.049567819358991,0.0120478775276611,0.3607210345860683,-0.0100235197849565,-0.5904120000324495,0.5107369722775144,-0.653122211406105,-0.6257520019254046,0.2167800072781363,-0.4942400727768302,-0.8074847535275637,-0.0954129224388898,-0.025316455696202556
2024-03-12,0.9868078175895766,0.9889250814332248,0.8900108577633007,0.9953393394366508,0.9780858826615184,0.916839776449445,2024,Q1,-0.0004270960952823,0.0,0.0003067114700154,0.007893605162405,-0.5035487522708504,-0.4942400727768302,0.049567819358991,0.0120478775276611,0.3607210345860683,-0.0100235197849565,-0.5904120000324495,0.5107369722775144,-0.653122211406105,-0.6257520019254046,0.2167800072781363,-0.4942400727768302,-0.8074847535275637,-0.0954129224388898,-0.030944625407166138
2024-03-13,0.9840064620355412,0.9794022617124394,0.8857565966612817,0.9896086341205658,0.9730248409207845,0.912403340704404,2024,Q1,-0.0004270960952823,0.0,0.0003067114700154,0.007893605162405,-0.5035487522708504,-0.4942400727768302,0.049567819358991,0.0120478775276611,0.3607210345860683,-0.0100235197849565,-0.5904120000324495,0.5107369722775144,-0.653122211406105,-0.6257520019254046,0.2167800072781363,-0.4942400727768302,-0.8074847535275637,-0.0954129224388898,-0.03231017770597733
2024-03-14,0.970300157977883,0.9610584518167457,0.8694049499736705,0.9735903634476047,0.9561231591115132,0.8957574497155244,2024,Q1,-0.0004270960952823,0.0,0.0003067114700154,0.007893605162405,-0.5035487522708504,-0.4942400727768302,0.049567819358991,0.0120478775276611,0.3607210345860683,-0.0100235197849565,-0.5904120000324495,0.5107369722775144,-0.653122211406105,-0.6257520019254046,0.2167800072781363,-0.4942400727768302,-0.8074847535275637,-0.0954129224388898,-0.01579778830963663
2024-03-15,0.9959612277867528,0.98562197092084,0.8920032310177706,0.9964083272963732,0.9798671616766034,0.9187704514029952,2024,Q1,-0.0004270960952823,0.0,0.0003067114700154,0.007893605162405,-0.5035487522708504,-0.4942400727768302,0.049567819358991,0.0120478775276611,0.3607210345860683,-0.0100235197849565,-0.5904120000324495,0.5107369722775144,-0.653122211406105,-0.6257520019254046,0.2167800072781363,-0.4942400727768302,-0.8074847535275637,-0.0954129224388898,0.0
2024-03-18,0.9845541401273884,0.9730891719745224,0.8820859872611465,0.9853779373723356,0.9690792909067736,0.9086983307843997,2024,Q1,-0.0004270960952823,0.0,0.0003067114700154,0.007893605162405,-0.5035487522708504,-0.4942400727768302,0.049567819358991,0.0120478775276611,0.3607210345860683,-0.0100235197849565,-0.5904120000324495,0.5107369722775144,-0.653122211406105,-0.6257520019254046,0.2167800072781363,-0.4942400727768302,-0.8074847535275637,-0.0954129224388898,-0.01273885350318471
2024-03-19,1.0066666666666666,0.9920325203252032,0.9036314363143632,1.0050785073212771,0.9905578086798006,0.9302703066033208,2024,Q1,-0.0004270960952823,0.0,0.0003067114700154,0.007893605162405,-0.5035487522708504,-0.4942400727768302,0.049567819358991,0.0120478775276611,0.3607210345860683,-0.0100235197849565,-0.5904120000324495,0.5107369722775144,-0.653122211406105,-0.6257520019254046,0.2167800072781363,-0.4942400727768302,-0.8074847535275637,-0.0954129224388898,-0.021138211382113803
2024-03-20,0.9863708399366086,0.9688589540412044,0.8840729001584786,0.9833034920073864,0.9687320198040502,0.9097414480034683,2024,Q1,-0.0004270960952823,0.0,0.0003067114700154,0.007893605162405,-0.5035487522708504,-0.4942400727768302,0.049567819358991,0.0120478775276611,0.3607210345860683,-0.0100235197849565,-0.5904120000324495,0.5107369722775144,-0.653122211406105,-0.6257520019254046,0.2167800072781363,-0.4942400727768302,-0.8074847535275637,-0.0954129224388898,-0.045958795562599075
2024-03-21,0.9179300291545188,0.8971574344023323,0.8174684159378037,0.9218368050768552,0.901438857797498,0.8421537152349358,2024,Q1,-0.0004270960952823,0.0,0.0003067114700154,0.007893605162405,-0.5035487522708504,-0.4942400727768302,0.049567819358991,0.0120478775276611,0.3607210345860683,-0.0100235197849565,-0.5904120000324495,0.5107369722775144,-0.653122211406105,-0.6257520019254046,0.2167800072781363,-0.4942400727768302,-0.8074847535275637,-0.0954129224388898,-0.09620991253644318
