Date,sma_10,sma_20,sma_60,ema_10,ema_20,ema_60,연도,분기,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,이익잉여금,자본총계,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),총포괄손익,매출액,영업비용,label
2023-04-12,1.026865671641791,1.0514925373134327,1.127549751243781,1.0271711055093158,1.049642100716372,1.092656218693768,2023,Q2,0.161098995705893,0.048745151265032,0.0518897397591193,0.0055733786887672,0.0469176863855833,0.0010677348351426,-0.1773720384001667,0.0495959877579303,0.20722502153668,-0.01415273259486,-0.1971788332826463,-0.1971788332826463,0.0829585976036633,0.0791827224546402,0.0793989612747054,0.04104477611940305
2023-04-13,1.0106422018348624,1.0294495412844036,1.1039449541284403,1.0083525292705486,1.0292315555872027,1.072166032302911,2023,Q2,0.161098995705893,0.048745151265032,0.0518897397591193,0.0055733786887672,0.0469176863855833,0.0010677348351426,-0.1773720384001667,0.0495959877579303,0.20722502153668,-0.01415273259486,-0.1971788332826463,-0.1971788332826463,0.0829585976036633,0.0791827224546402,0.0793989612747054,0.07339449541284404
2023-04-14,0.9198675496688742,0.9292218543046358,0.994453642384106,0.9262446050680376,0.9354850802669098,0.9685023072994368,2023,Q2,0.161098995705893,0.048745151265032,0.0518897397591193,0.0055733786887672,0.0469176863855833,0.0010677348351426,-0.1773720384001667,0.0495959877579303,0.20722502153668,-0.01415273259486,-0.1971788332826463,-0.1971788332826463,0.0829585976036633,0.0791827224546402,0.0793989612747054,-0.004966887417218513
2023-04-17,0.94585448392555,0.9493231810490692,1.0146362098138748,0.9563245151745656,0.960247101856664,0.9901403094074848,2023,Q2,0.161098995705893,0.048745151265032,0.0518897397591193,0.0055733786887672,0.0469176863855833,0.0010677348351426,-0.1773720384001667,0.0495959877579303,0.20722502153668,-0.01415273259486,-0.1971788332826463,-0.1971788332826463,0.0829585976036633,0.0791827224546402,0.0793989612747054,-0.027072758037225086
2023-04-18,0.9788461538461538,0.9792832167832168,1.0463286713286712,0.9902558957745572,0.9928916672284782,1.0222745127095938,2023,Q2,0.161098995705893,0.048745151265032,0.0518897397591193,0.0055733786887672,0.0469176863855833,0.0010677348351426,-0.1773720384001667,0.0495959877579303,0.20722502153668,-0.01415273259486,-0.1971788332826463,-0.1971788332826463,0.0829585976036633,0.0791827224546402,0.0793989612747054,0.013986013986013957
2023-04-19,0.9915044247787612,0.9886725663716814,1.0564601769911504,1.0020655432739212,1.0046984104036325,1.0337942850911663,2023,Q2,0.161098995705893,0.048745151265032,0.0518897397591193,0.0055733786887672,0.0469176863855833,0.0010677348351426,-0.1773720384001667,0.0495959877579303,0.20722502153668,-0.01415273259486,-0.1971788332826463,-0.1971788332826463,0.0829585976036633,0.0791827224546402,0.0793989612747054,0.04070796460176984
2023-04-20,1.004830053667263,0.9974060822898032,1.0645796064400717,1.0104900451370773,1.0140077890521335,1.0434186405450203,2023,Q2,0.161098995705893,0.048745151265032,0.0518897397591193,0.0055733786887672,0.0469176863855833,0.0010677348351426,-0.1773720384001667,0.0495959877579303,0.20722502153668,-0.01415273259486,-0.1971788332826463,-0.1971788332826463,0.0829585976036633,0.0791827224546402,0.0793989612747054,0.04651162790697683
2023-04-21,1.010251798561151,1.0010791366906475,1.0672062350119904,1.01304372417996,1.0176239060913592,1.047440438154916,2023,Q2,0.161098995705893,0.048745151265032,0.0518897397591193,0.0055733786887672,0.0469176863855833,0.0010677348351426,-0.1773720384001667,0.0495959877579303,0.20722502153668,-0.01415273259486,-0.1971788332826463,-0.1971788332826463,0.0829585976036633,0.0791827224546402,0.0793989612747054,0.0
2023-04-24,1.025,1.015784671532847,1.0789841849148418,1.0227721957193965,1.0293864219629056,1.0606747573220026,2023,Q2,0.161098995705893,0.048745151265032,0.0518897397591193,0.0055733786887672,0.0469176863855833,0.0010677348351426,-0.1773720384001667,0.0495959877579303,0.20722502153668,-0.01415273259486,-0.1971788332826463,-0.1971788332826463,0.0829585976036633,0.0791827224546402,0.0793989612747054,0.0036496350364962904
2023-04-25,1.0470149253731342,1.0371268656716417,1.0997512437810946,1.0373664296621543,1.0474388260019345,1.0816532852306866,2023,Q2,0.161098995705893,0.048745151265032,0.0518897397591193,0.0055733786887672,0.0469176863855833,0.0010677348351426,-0.1773720384001667,0.0495959877579303,0.20722502153668,-0.01415273259486,-0.1971788332826463,-0.1971788332826463,0.0829585976036633,0.0791827224546402,0.0793989612747054,0.029850746268656803
