Date,sma_10,sma_20,sma_60,ema_10,ema_20,ema_60,연도,분기,부채총계,자본금,이익잉여금,자본총계,매출액,법인세차감전 순이익,당기순이익,예수부채,당기손익-공정가치측정금융자산,이자수익,이자비용,영업이익(손실),당기순이익(손실),총포괄손익,영업비용,영업이익,label
2023-10-04,1.0685840707964602,1.0920353982300883,1.1272861356932151,1.0536702096749475,1.0808902521153918,1.1114458718158462,2023,Q4,0.0281562036814697,0.0002202332710807,0.1114402242355239,0.0254504798972821,1.7984352678503437,1.704958031632226,1.7195887525283755,0.0318212299981508,0.0515685451342586,1.82171892172284,-5.763469077138601,0.0863395089550775,1.7195887525283755,3.1655269602180844,1.8829754041808937,0.156513052013637,0.07743362831858414
2023-10-05,1.0491189427312777,1.0808370044052864,1.1220631424375918,1.0401142196551236,1.0688782761870137,1.1030562037865383,2023,Q4,0.0281562036814697,0.0002202332710807,0.1114402242355239,0.0254504798972821,1.7984352678503437,1.704958031632226,1.7195887525283755,0.0318212299981508,0.0515685451342586,1.82171892172284,-5.763469077138601,0.0863395089550775,1.7195887525283755,3.1655269602180844,1.8829754041808937,0.156513052013637,0.044052863436123246
2023-10-06,1.018534482758621,1.0518318965517242,1.098132183908046,1.0144801531173264,1.0414761915424031,1.0766839836494315,2023,Q4,0.0281562036814697,0.0002202332710807,0.1114402242355239,0.0254504798972821,1.7984352678503437,1.704958031632226,1.7195887525283755,0.0318212299981508,0.0515685451342586,1.82171892172284,-5.763469077138601,0.0863395089550775,1.7195887525283755,3.1655269602180844,1.8829754041808937,0.156513052013637,0.030172413793103425
2023-10-10,1.0027777777777778,1.0379273504273503,1.0889245014245017,1.004753131200069,1.0294723346192336,1.0652690463504912,2023,Q4,0.0281562036814697,0.0002202332710807,0.1114402242355239,0.0254504798972821,1.7984352678503437,1.704958031632226,1.7195887525283755,0.0318212299981508,0.0515685451342586,1.82171892172284,-5.763469077138601,0.0863395089550775,1.7195887525283755,3.1655269602180844,1.8829754041808937,0.156513052013637,0.11111111111111116
2023-10-11,0.978616352201258,1.0143605870020964,1.0682389937106918,0.9883781567781,1.0090913446575047,1.0436886588670904,2023,Q4,0.0281562036814697,0.0002202332710807,0.1114402242355239,0.0254504798972821,1.7984352678503437,1.704958031632226,1.7195887525283755,0.0318212299981508,0.0515685451342586,1.82171892172284,-5.763469077138601,0.0863395089550775,1.7195887525283755,3.1655269602180844,1.8829754041808937,0.156513052013637,0.09014675052410892
2023-10-12,0.9670807453416148,0.999792960662526,1.0546928916494134,0.9804455913887414,0.9968840438362384,1.0297162517727625,2023,Q4,0.0281562036814697,0.0002202332710807,0.1114402242355239,0.0254504798972821,1.7984352678503437,1.704958031632226,1.7195887525283755,0.0318212299981508,0.0515685451342586,1.82171892172284,-5.763469077138601,0.0863395089550775,1.7195887525283755,3.1655269602180844,1.8829754041808937,0.156513052013637,0.07660455486542439
2023-10-13,1.0023655913978495,1.0348387096774194,1.0940501792114696,1.0150531741479685,1.032094712778818,1.0672950476178775,2023,Q4,0.0281562036814697,0.0002202332710807,0.1114402242355239,0.0254504798972821,1.7984352678503437,1.704958031632226,1.7195887525283755,0.0318212299981508,0.0515685451342586,1.82171892172284,-5.763469077138601,0.0863395089550775,1.7195887525283755,3.1655269602180844,1.8829754041808937,0.156513052013637,0.09892473118279566
2023-10-16,1.0041036717062637,1.035961123110151,1.0969402447804175,1.0159036979794325,1.0330717666770397,1.069547839475774,2023,Q4,0.0281562036814697,0.0002202332710807,0.1114402242355239,0.0254504798972821,1.7984352678503437,1.704958031632226,1.7195887525283755,0.0318212299981508,0.0515685451342586,1.82171892172284,-5.763469077138601,0.0863395089550775,1.7195887525283755,3.1655269602180844,1.8829754041808937,0.156513052013637,0.09071274298056164
2023-10-17,1.0135076252723312,1.0412854030501089,1.104320987654321,1.0202556366568218,1.038067468768329,1.0762826647316537,2023,Q4,0.0281562036814697,0.0002202332710807,0.1114402242355239,0.0254504798972821,1.7984352678503437,1.704958031632226,1.7195887525283755,0.0318212299981508,0.0515685451342586,1.82171892172284,-5.763469077138601,0.0863395089550775,1.7195887525283755,3.1655269602180844,1.8829754041808937,0.156513052013637,0.14596949891067545
2023-10-18,1.013755458515284,1.039519650655022,1.1047671033478894,1.0183954019510384,1.0364926590901011,1.0760545079283683,2023,Q4,0.0281562036814697,0.0002202332710807,0.1114402242355239,0.0254504798972821,1.7984352678503437,1.704958031632226,1.7195887525283755,0.0318212299981508,0.0515685451342586,1.82171892172284,-5.763469077138601,0.0863395089550775,1.7195887525283755,3.1655269602180844,1.8829754041808937,0.156513052013637,0.1353711790393013
2023-10-19,1.0130718954248366,1.0326797385620916,1.1005083514887437,1.013235461842381,1.0309740760869448,1.071293435917185,2023,Q4,0.0281562036814697,0.0002202332710807,0.1114402242355239,0.0254504798972821,1.7984352678503437,1.704958031632226,1.7195887525283755,0.0318212299981508,0.0515685451342586,1.82171892172284,-5.763469077138601,0.0863395089550775,1.7195887525283755,3.1655269602180844,1.8829754041808937,0.156513052013637,0.14161220043572986
2023-10-20,1.062385321100917,1.077408256880734,1.1557721712538225,1.0545612370456368,1.0772307686275937,1.1236162406560413,2023,Q4,0.0281562036814697,0.0002202332710807,0.1114402242355239,0.0254504798972821,1.7984352678503437,1.704958031632226,1.7195887525283755,0.0318212299981508,0.0515685451342586,1.82171892172284,-5.763469077138601,0.0863395089550775,1.7195887525283755,3.1655269602180844,1.8829754041808937,0.156513052013637,0.1674311926605505
