Date,sma_10,sma_20,sma_60,ema_10,ema_20,ema_60,연도,분기,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),매출액,자본금,총포괄손익,영업비용,label
2024-05-22,1.0510891089108911,1.064092409240924,1.1515951595159517,1.0411585017616607,1.0616999945626744,1.1138834786134455,2024,Q2,-0.0025055215402191,-0.0157911793249801,-0.0591236114745016,-0.0210188773710661,-0.0380452979653215,-0.0033463940514265,0.0019750424984057,-0.784663972952915,-0.8917151116684606,-0.9048850448460046,-0.9048850448460046,-0.3561755584229947,0.0,-0.9351696928384045,0.0558835004424878,0.019141914191419085
2024-05-23,1.05109926715523,1.0700199866755495,1.1562958027981345,1.041620505815532,1.064783298229326,1.1201982802269836,2024,Q2,-0.0025055215402191,-0.0157911793249801,-0.0591236114745016,-0.0210188773710661,-0.0380452979653215,-0.0033463940514265,0.0019750424984057,-0.784663972952915,-0.8917151116684606,-0.9048850448460046,-0.9048850448460046,-0.3561755584229947,0.0,-0.9351696928384045,0.0558835004424878,0.03264490339773474
2024-05-24,1.052755376344086,1.075369623655914,1.1602150537634408,1.041498742244747,1.0670300461534226,1.125723156824227,2024,Q2,-0.0025055215402191,-0.0157911793249801,-0.0591236114745016,-0.0210188773710661,-0.0380452979653215,-0.0033463940514265,0.0019750424984057,-0.784663972952915,-0.8917151116684606,-0.9048850448460046,-0.9048850448460046,-0.3561755584229947,0.0,-0.9351696928384045,0.0558835004424878,0.04368279569892475
2024-05-27,1.033466400532269,1.0607451763140383,1.1442115768463077,1.0254491717257397,1.0510114204875824,1.1107346769184314,2024,Q2,-0.0025055215402191,-0.0157911793249801,-0.0591236114745016,-0.0210188773710661,-0.0380452979653215,-0.0033463940514265,0.0019750424984057,-0.784663972952915,-0.8917151116684606,-0.9048850448460046,-0.9048850448460046,-0.3561755584229947,0.0,-0.9351696928384045,0.0558835004424878,0.0479041916167664
2024-05-28,1.0338926174496643,1.0658724832214763,1.1501118568232662,1.0281422175676682,1.0544497646169348,1.1164772686224638,2024,Q2,-0.0025055215402191,-0.0157911793249801,-0.0591236114745016,-0.0210188773710661,-0.0380452979653215,-0.0033463940514265,0.0019750424984057,-0.784663972952915,-0.8917151116684606,-0.9048850448460046,-0.9048850448460046,-0.3561755584229947,0.0,-0.9351696928384045,0.0558835004424878,0.030201342281879207
2024-05-29,1.0521078092605392,1.091085003455425,1.1786569914766185,1.0480233170561306,1.0776145337251268,1.144748509461076,2024,Q2,-0.0025055215402191,-0.0157911793249801,-0.0591236114745016,-0.0210188773710661,-0.0380452979653215,-0.0033463940514265,0.0019750424984057,-0.784663972952915,-0.8917151116684606,-0.9048850448460046,-0.9048850448460046,-0.3561755584229947,0.0,-0.9351696928384045,0.0558835004424878,0.0642709053213546
2024-05-30,0.9595825426944972,0.995192915876028,1.0752055660974067,0.966615356104996,0.9875864093161324,1.046158941717946,2024,Q2,-0.0025055215402191,-0.0157911793249801,-0.0591236114745016,-0.0210188773710661,-0.0380452979653215,-0.0033463940514265,0.0019750424984057,-0.784663972952915,-0.8917151116684606,-0.9048850448460046,-0.9048850448460046,-0.3561755584229947,0.0,-0.9351696928384045,0.0558835004424878,-0.018975332068311146
2024-05-31,0.8719636776390466,0.8958569807037458,0.9631479379493,0.8914441183581667,0.8969814645004947,0.9407031868081008,2024,Q2,-0.0025055215402191,-0.0157911793249801,-0.0591236114745016,-0.0210188773710661,-0.0380452979653215,-0.0033463940514265,0.0019750424984057,-0.784663972952915,-0.8917151116684606,-0.9048850448460046,-0.9048850448460046,-0.3561755584229947,0.0,-0.9351696928384045,0.0558835004424878,-0.12315550510783202
2024-06-03,0.8718680089485459,0.8875279642058166,0.9478187919463088,0.9005755963455262,0.8949916232168839,0.9294167115395582,2024,Q2,-0.0025055215402191,-0.0157911793249801,-0.0591236114745016,-0.0210188773710661,-0.0380452979653215,-0.0033463940514265,0.0019750424984057,-0.784663972952915,-0.8917151116684606,-0.9048850448460046,-0.9048850448460046,-0.3561755584229947,0.0,-0.9351696928384045,0.0558835004424878,-0.12080536912751683
2024-06-04,0.9473810957254666,0.9570740517760384,1.0179510335139474,0.9749911059269994,0.9669062075033392,1.0004641459690595,2024,Q2,-0.0025055215402191,-0.0157911793249801,-0.0591236114745016,-0.0210188773710661,-0.0380452979653215,-0.0033463940514265,0.0019750424984057,-0.784663972952915,-0.8917151116684606,-0.9048850448460046,-0.9048850448460046,-0.3561755584229947,0.0,-0.9351696928384045,0.0558835004424878,-0.06140878988561105
2024-06-05,0.9671341463414634,0.9690548780487804,1.028150406504065,0.9897528848393966,0.9812599594250256,1.012839722519211,2024,Q2,-0.0025055215402191,-0.0157911793249801,-0.0591236114745016,-0.0210188773710661,-0.0380452979653215,-0.0033463940514265,0.0019750424984057,-0.784663972952915,-0.8917151116684606,-0.9048850448460046,-0.9048850448460046,-0.3561755584229947,0.0,-0.9351696928384045,0.0558835004424878,-0.08841463414634143
2024-06-07,0.889010989010989,0.8779395604395605,0.9257600732600734,0.9115261029085662,0.8952396738797436,0.9155320802644464,2024,Q2,-0.0025055215402191,-0.0157911793249801,-0.0591236114745016,-0.0210188773710661,-0.0380452979653215,-0.0033463940514265,0.0019750424984057,-0.784663972952915,-0.8917151116684606,-0.9048850448460046,-0.9048850448460046,-0.3561755584229947,0.0,-0.9351696928384045,0.0558835004424878,-0.17582417582417587
2024-06-10,0.8790031813361612,0.8547985153764581,0.8937345351714387,0.901513427438654,0.8768718861475921,0.88731320322998,2024,Q2,-0.0025055215402191,-0.0157911793249801,-0.0591236114745016,-0.0210188773710661,-0.0380452979653215,-0.0033463940514265,0.0019750424984057,-0.784663972952915,-0.8917151116684606,-0.9048850448460046,-0.9048850448460046,-0.3561755584229947,0.0,-0.9351696928384045,0.0558835004424878,-0.22428419936373278
2024-06-11,0.9310363836824695,0.8936604189636164,0.9292998897464168,0.9486964476968884,0.9200878660212322,0.9250717495636198,2024,Q2,-0.0025055215402191,-0.0157911793249801,-0.0591236114745016,-0.0210188773710661,-0.0380452979653215,-0.0033463940514265,0.0019750424984057,-0.784663972952915,-0.8917151116684606,-0.9048850448460046,-0.9048850448460046,-0.3561755584229947,0.0,-0.9351696928384045,0.0558835004424878,-0.19570011025358325
