비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),연도,분기,자본금,총포괄손익
13125533694000.0,14474189652000.0,244395064000.0,1233265366000.0,1477660430000.0,6806449252000.0,12996529222000.0,1667199695000.0,384714884000.0,290984960000.0,-5617027000.0,-5617027000.0,2015,Q4,,
13013105561000.0,14396384417000.0,592173943000.0,1207169228000.0,1799343171000.0,6412481617000.0,12597041246000.0,398238582000.0,149294519000.0,67685169000.0,56645385000.0,56645385000.0,2016,Q1,,
12866966493000.0,13797709202000.0,166998446000.0,1158124806000.0,1325123252000.0,6287294633000.0,12472585950000.0,271895296000.0,-20921021000.0,-125703223000.0,-124116840000.0,-124116840000.0,2016,Q2,,
12849316947000.0,13802797949000.0,213306442000.0,1154776331000.0,1368082773000.0,6250610924000.0,12434715176000.0,272918555000.0,-8673222000.0,-21114277000.0,-37562795000.0,-37562795000.0,2016,Q3,,
12700721692000.0,13561837741000.0,208608312000.0,1142467348000.0,1351075660000.0,6018326398000.0,12210762081000.0,256662501000.0,-51538248000.0,-267854281000.0,-239164959000.0,-239164959000.0,2016,Q4,,
12636726037000.0,14048711939000.0,741591922000.0,1138246203000.0,1879838125000.0,5972608130000.0,12168873814000.0,888881849000.0,592813988000.0,588896509000.0,555149764000.0,555149764000.0,2017,Q1,,
12758892114000.0,13431182543000.0,212333764000.0,1128194134000.0,1340527898000.0,5899798079000.0,12090654645000.0,286791798000.0,-46619064000.0,-50764920000.0,-73625076000.0,-73625076000.0,2017,Q2,,
13127281547000.0,14735203459000.0,735205361000.0,747923491000.0,1483128852000.0,7050602895000.0,13252074607000.0,1579682013000.0,1234851342000.0,1329674067000.0,1298153378000.0,1298153378000.0,2017,Q3,468569950000.0,
13206283048000.0,14795190020000.0,879937784000.0,828277997000.0,1708215781000.0,6874224488000.0,13086974239000.0,347987128000.0,-71877372000.0,-126485391000.0,-179673154000.0,-179673154000.0,2017,Q4,468569950000.0,
13358278719000.0,16059682071000.0,1188395114000.0,824145274000.0,2012540388000.0,7839832323000.0,14047141683000.0,1891201021000.0,1568892875000.0,1579674367000.0,1568293210000.0,1568293210000.0,2018,Q1,468569950000.0,
