비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),연도,분기,자본금,총포괄손익,영업비용
2398530549067.0,3117064029191.0,265747121960.0,276435242355.0,542182364315.0,262085544550.0,2574881664876.0,862085190602.0,120590601375.0,101204258334.0,72897764237.0,72897764237.0,2015,Q4,,,
4302455420691.0,4908346252270.0,1202570987032.0,351836084384.0,1554407071416.0,275403793089.0,3353939180854.0,203027033244.0,29957805104.0,30406988461.0,23353428839.0,23353428839.0,2016,Q1,,,
4320304634473.0,4745715083848.0,541631832757.0,846564356259.0,1388196189016.0,278560465327.0,3357518894832.0,206774281275.0,15104679818.0,7784455697.0,3156672238.0,3156672238.0,2016,Q2,,,
4320528919937.0,4733648991595.0,522909772111.0,851016738699.0,1373926510810.0,280240956826.0,3359722480785.0,,10460402430.0,1580402110.0,1680491499.0,1680491499.0,2016,Q3,,,
4318230482255.0,4829296989834.0,611661868833.0,842477212630.0,1454139081463.0,290221821390.0,3375157908371.0,451404097590.0,15471617409.0,12852860059.0,9980864564.0,9980864564.0,2016,Q4,,,
4345826037094.0,4839293215309.0,556632441838.0,840911675462.0,1397544117300.0,355623404646.0,3441749098009.0,225888837172.0,16491972428.0,26497010425.0,75407941252.0,75407941252.0,2017,Q1,,,
4343701731416.0,4862703300114.0,768570800825.0,642516061909.0,1411086862734.0,364211601044.0,3451616437380.0,244544809224.0,27592753365.0,19278286597.0,8588196398.0,8588196398.0,2017,Q2,,,
4404419570381.0,5275332519174.0,972056727560.0,640879171504.0,1612935899064.0,569090700099.0,3662396620110.0,257994032971.0,29554917505.0,265704836733.0,204879099055.0,204879099055.0,2017,Q3,33969549500.0,,
4324369371075.0,4956877856097.0,948930789986.0,450237479800.0,1399168269786.0,497769298138.0,3557709586311.0,,23911179551.0,-64054259123.0,-71321401961.0,-71321401961.0,2017,Q4,34004263500.0,,
4388836361500.0,6065845048582.0,1019727835134.0,391544576793.0,1411272411927.0,544565041821.0,4654572636655.0,,16385627855.0,70076560133.0,53383847923.0,53383847923.0,2018,Q1,38186761000.0,,
4689080072690.0,6039937755413.0,1252990815453.0,95722189366.0,1348713004819.0,588878666278.0,4691224750594.0,,29517978546.0,64119523486.0,44313624457.0,44313624457.0,2018,Q2,38192811000.0,,
4785124125127.0,6428894186085.0,1495276284607.0,190471148081.0,1685747432688.0,582326876634.0,4743146753397.0,,35990455626.0,34267776047.0,-6551789644.0,-6551789644.0,2018,Q3,41742836500.0,,
4941359118843.0,6202838878843.0,1250705990145.0,200789638807.0,1451495628952.0,579442074110.0,4751343249891.0,,40471993151.0,14201233470.0,-915302524.0,-915302524.0,2018,Q4,41743886500.0,,
5053845337299.0,6323278649835.0,1268220058988.0,289559696662.0,1557779755650.0,590593627511.0,4765498894185.0,,34653646596.0,31638701237.0,21204147088.0,21204147088.0,2019,Q1,41748936500.0,,
5038011867921.0,6286383426074.0,1205493678715.0,281694648647.0,1487188327362.0,616731060408.0,4799195098712.0,,45348379335.0,42680126147.0,26137432897.0,26137432897.0,2019,Q2,41779386500.0,,
5299963544923.0,6638902444099.0,1453534507717.0,270985649242.0,1724520156959.0,687701621391.0,4914382287140.0,,49523957413.0,75540695806.0,66150160983.0,66150160983.0,2019,Q3,41984973000.0,,
5470330027390.0,6484360616810.0,1370950261505.0,255099527270.0,1626049788775.0,314504187531.0,4858310828035.0,,66537941179.0,-380488593147.0,-373197433860.0,-373197433860.0,2019,Q4,43161318000.0,,
5370962596627.0,6540362668701.0,1283385428330.0,240143697266.0,1523529125596.0,382753944926.0,5016833543105.0,,65445258553.0,83380687527.0,55725413873.0,55725413873.0,2020,Q1,43528587500.0,,
5476743982906.0,6675319329322.0,1091942166437.0,226746271026.0,1318688437463.0,416872802873.0,5356630891859.0,,55720954931.0,50443744798.0,34118857947.0,34118857947.0,2020,Q2,43973079000.0,,
5681904032910.0,6997708199411.0,1206166382007.0,263610276188.0,1469776658195.0,493934399631.0,5527931541216.0,,72385109600.0,89969628770.0,77061596758.0,77061596758.0,2020,Q3,44173909500.0,,
5563104581267.0,7345506484784.0,1436640086599.0,594790709830.0,2031430796429.0,197780315443.0,5314075688355.0,,103104894144.0,-262294220873.0,-287322983130.0,-287322983130.0,2020,Q4,44300999000.0,-28069085870.0,
5689033695349.0,7560446619296.0,1401681220367.0,643193251008.0,2044874471375.0,274852190153.0,5515572147921.0,,76721035223.0,98918827199.0,78604287253.0,78604287253.0,2021,Q1,44430930500.0,,
5937920078694.0,7684038000571.0,1318174042006.0,685820162613.0,2003994204619.0,372971601581.0,5680043795952.0,,97324081172.0,108143939115.0,98169184281.0,98169184281.0,2021,Q2,44496023000.0,,
6287417847634.0,8700922381295.0,1719047066450.0,700616694998.0,2419663761448.0,593426823688.0,6281258619847.0,,96465370036.0,164112872955.0,220455222107.0,220455222107.0,2021,Q3,44586132000.0,,
7616731297777.0,10029502863845.0,2318866853953.0,1171298508308.0,3490165362261.0,687952355457.0,6539337501584.0,,126855810570.0,198857862323.0,105894928826.0,105894928826.0,2021,Q4,44640599000.0,677046563917.0,
9300466608356.0,11741595769921.0,2351185495150.0,1664157336288.0,4015342831438.0,1824258691859.0,7726252938483.0,,123095775939.0,1527189793860.0,1144428789680.0,1144428789680.0,2022,Q1,44677040600.0,,
9602739208072.0,11780981814036.0,2214333522160.0,1809267467394.0,4023600989554.0,1930482829891.0,7757380824482.0,,137029719556.0,136473750131.0,106224138032.0,106224138032.0,2022,Q2,44544829100.0,,
9601243681202.0,12021704918461.0,2406758766872.0,1796164619175.0,4202923386047.0,2007389587470.0,7818781532414.0,,120763968690.0,110199103611.0,76906757579.0,76906757579.0,2022,Q3,44582166100.0,,
8456639973425.0,10791496254634.0,2210378359144.0,1510263678438.0,3720642037582.0,1337231070225.0,7070854217052.0,,163088647831.0,98254628131.0,284230488769.0,284230488769.0,2022,Q4,44592368900.0,443059730115.0,
9206466582683.0,10974360701547.0,2260993906183.0,1512121038725.0,3773114944908.0,1437976278590.0,7201245756639.0,,129388558911.0,150695485265.0,123276193393.0,123276193393.0,2023,Q1,44615674700.0,,
9475168833527.0,11285481460664.0,2403430754394.0,1578095689606.0,3981526444000.0,1530746473319.0,7303955016664.0,,117204495006.0,113861328130.0,92897361083.0,92897361083.0,2023,Q2,44476329000.0,,
9537201944195.0,11598655250402.0,2620081141676.0,1559989144539.0,4180070286215.0,1630960191307.0,7418584964187.0,,135413270709.0,135602314650.0,100148854337.0,100148854337.0,2023,Q3,44498544400.0,99089019892.0,
