비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),연도,분기,자본금,총포괄손익,영업비용
39881770276375.0,51309408699468.0,3817678456909.0,4466172795967.0,8283851252876.0,41862569753352.0,43025557446592.0,25607220942253.0,2238248789010.0,1668283230840.0,1318271459610.0,1318271459610.0,2015,Q4,,,
39950644711644.0,51156682739912.0,3743041726998.0,4510150132166.0,8253191859164.0,41821552160236.0,42903490880748.0,5767131973119.0,582114326646.0,561303729464.0,445910570550.0,445910570550.0,2016,Q1,,,
40045259520108.0,51586345096025.0,3261684568573.0,5054878388594.0,8316562957167.0,42068639179899.0,43269782138858.0,6009607590906.0,712734168370.0,395373543174.0,310509841739.0,310509841739.0,2016,Q2,,,
39997418374759.0,51243124836072.0,2394766406781.0,5022837556429.0,7417603963210.0,42527764081406.0,43825520872862.0,6106520315402.0,852422178677.0,765403490786.0,578995935125.0,578995935125.0,2016,Q3,,,
40323077102943.0,52055752945506.0,2697251936985.0,5029054084751.0,7726306021736.0,42943049526282.0,44329446923770.0,6441673380568.0,488066521278.0,467252929695.0,449629568979.0,449629568979.0,2016,Q4,,,
40292307256938.0,52614867378523.0,2948203351451.0,4930789959828.0,7878993311279.0,43309442602676.0,44735874067244.0,7067446142569.0,795427494743.0,1070660119575.0,839636930840.0,839636930840.0,2017,Q1,,,
40243343348860.0,52667345655284.0,2360154644057.0,5009451007069.0,7369605651126.0,43685902553614.0,45297740004158.0,7134349886273.0,584998259744.0,650769558235.0,509163850257.0,509163850257.0,2017,Q2,,,
39317912545831.0,53093590735490.0,2425976603565.0,5012705949727.0,7438682553292.0,44281295026476.0,45654908182198.0,7255040623131.0,721762288189.0,918912017756.0,729921746510.0,729921746510.0,2017,Q3,482403125000.0,,
38851836273554.0,53692257509875.0,3570147955817.0,4180654620082.0,7750802575899.0,44605367889138.0,45941454933976.0,7096977924407.0,800264824016.0,714399521464.0,466962760888.0,466962760888.0,2017,Q4,482403125000.0,,
38642523536418.0,54934594731229.0,4238393922897.0,4318913746396.0,8557307669293.0,45404616928276.0,46377287061936.0,7760890028105.0,1015915088958.0,1053147512552.0,768736732509.0,768736732509.0,2018,Q1,482403125000.0,,
