비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),연도,분기,자본금,총포괄손익
9117186000000.0,16231596000000.0,3412605000000.0,374428000000.0,3787033000000.0,10924374000000.0,12444563000000.0,17334109000000.0,1620092000000.0,1526448000000.0,1203855000000.0,1203855000000.0,2015,Q4,,
9017918000000.0,16451941000000.0,3804819000000.0,211572000000.0,4016391000000.0,10913626000000.0,12435550000000.0,4203775000000.0,435607000000.0,404194000000.0,321121000000.0,321121000000.0,2016,Q1,,
9756523000000.0,16626149000000.0,3477321000000.0,223897000000.0,3701218000000.0,11401818000000.0,12924931000000.0,4309410000000.0,558004000000.0,612822000000.0,489064000000.0,489064000000.0,2016,Q2,,
9809620000000.0,16945052000000.0,3461230000000.0,278821000000.0,3740051000000.0,11680071000000.0,13205001000000.0,4191206000000.0,414236000000.0,358750000000.0,279119000000.0,279119000000.0,2016,Q3,,
9991170000000.0,16775894000000.0,3138763000000.0,160800000000.0,3299563000000.0,11954330000000.0,13476331000000.0,4560454000000.0,405398000000.0,368308000000.0,290285000000.0,290285000000.0,2016,Q4,,
11454948000000.0,18487776000000.0,3748675000000.0,425111000000.0,4173786000000.0,11992867000000.0,14313990000000.0,5187315000000.0,591596000000.0,513369000000.0,412130000000.0,412130000000.0,2017,Q1,,
11561951000000.0,18887473000000.0,2776576000000.0,1256071000000.0,4032647000000.0,12534773000000.0,14854826000000.0,5154792000000.0,599352000000.0,663708000000.0,544079000000.0,544079000000.0,2017,Q2,,
11749224000000.0,19595467000000.0,3008717000000.0,1312258000000.0,4320975000000.0,12956027000000.0,15274492000000.0,5236673000000.0,630050000000.0,541335000000.0,423280000000.0,423280000000.0,2017,Q3,391406000000.0,
12770457000000.0,21148136000000.0,4458776000000.0,1183828000000.0,5642604000000.0,13188495000000.0,15505532000000.0,5301456000000.0,472231000000.0,282223000000.0,225734000000.0,225734000000.0,2017,Q4,391406000000.0,
12896619000000.0,21980909000000.0,4354061000000.0,2156963000000.0,6511024000000.0,13152032000000.0,15469885000000.0,5329454000000.0,489211000000.0,490663000000.0,425475000000.0,425475000000.0,2018,Q1,391406000000.0,
13551490000000.0,22816383000000.0,3981623000000.0,2868602000000.0,6850225000000.0,13647261000000.0,15966158000000.0,5810297000000.0,595891000000.0,641421000000.0,496659000000.0,496659000000.0,2018,Q2,391406000000.0,
13799159000000.0,23637819000000.0,4301401000000.0,2886608000000.0,7188009000000.0,14128871000000.0,16449810000000.0,6081624000000.0,569393000000.0,635708000000.0,485093000000.0,485093000000.0,2018,Q3,391406000000.0,
