비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),연도,분기,자본금,총포괄손익
292525964452.0,653689140872.0,106517856233.0,6593689227.0,113111545460.0,491268490215.0,540577595412.0,1175271695215.0,53456797606.0,56915274237.0,43978161197.0,43978161197.0,2015,Q4,,
291750987010.0,651542700276.0,109158461893.0,5768717286.0,114927179179.0,487306415900.0,536615521097.0,265217607046.0,10139660761.0,10302098383.0,8161137266.0,8161137266.0,2016,Q1,,
298918910853.0,640366679781.0,90396964843.0,4197575137.0,94594539980.0,496295159192.0,545772139801.0,258049013299.0,16109635239.0,14639600273.0,11199449589.0,11199449589.0,2016,Q2,,
297461635654.0,664487981654.0,97661897319.0,3350434417.0,101012331736.0,514062527797.0,563475649918.0,273554267315.0,22531008797.0,22607905679.0,17253984932.0,17253984932.0,2016,Q3,,
301659255882.0,703337332313.0,113324213021.0,1968051370.0,115292264391.0,538494360660.0,588045067922.0,279634411520.0,30030377369.0,30661017637.0,23205774781.0,23205774781.0,2016,Q4,,
300072253882.0,724162454126.0,128614040061.0,2244683087.0,130858723148.0,543689165228.0,593303730978.0,278960184037.0,29676144314.0,30449958376.0,23014506599.0,23014506599.0,2017,Q1,,
309881088689.0,716506664053.0,100003725382.0,2662374239.0,102666099621.0,563173191940.0,613840564432.0,287269108596.0,26326663961.0,25887271901.0,20144148808.0,20144148808.0,2017,Q2,,
319532231779.0,760241048267.0,123453215964.0,2537051704.0,125990267668.0,583583408107.0,634250780599.0,298419353470.0,25394589473.0,26341395952.0,20202665915.0,20202665915.0,2017,Q3,29535000000.0,
347116562373.0,791424307196.0,146990733207.0,1228041975.0,148218775182.0,592538159522.0,643205532014.0,299269319455.0,19277743130.0,12524002834.0,9509025246.0,9509025246.0,2017,Q4,29535000000.0,
359370886307.0,789380378500.0,144234986384.0,4110898651.0,148345885035.0,590367120973.0,641034493465.0,328449840076.0,22251855999.0,22913383252.0,17757924361.0,17757924361.0,2018,Q1,29535000000.0,
366436295727.0,808742030953.0,151682161487.0,1612621854.0,153294783341.0,604779875120.0,655447247612.0,324202386666.0,19923487982.0,20577328062.0,16001387202.0,16001387202.0,2018,Q2,29535000000.0,
375149607529.0,829153914592.0,148528509620.0,2052289121.0,150580798741.0,627905743359.0,678573115851.0,334684913905.0,31899952047.0,31798959539.0,23378886965.0,23378886965.0,2018,Q3,29535000000.0,
420879090818.0,837865593455.0,140970986398.0,3085449106.0,144056435504.0,643131931459.0,693809157951.0,353646531225.0,27750048038.0,28238196004.0,21414226269.0,21414226269.0,2018,Q4,29535000000.0,
448961185880.0,916477409892.0,208801615189.0,6842764964.0,215644380153.0,650155803247.0,700833029739.0,342866606216.0,21340432696.0,39083363700.0,30801811177.0,30801811177.0,2019,Q1,29535000000.0,
700238368619.0,1140158117993.0,222806059561.0,30830873151.0,253636932712.0,664068430157.0,886521185281.0,358123874410.0,16234981460.0,18751110872.0,16066757572.0,16066757572.0,2019,Q2,30494110000.0,
802415412680.0,1196294921632.0,212478795388.0,74323293459.0,286802088847.0,687040077661.0,909492832785.0,359037398525.0,27444816839.0,30743866642.0,23907935790.0,23907935790.0,2019,Q3,30494110000.0,
995342536346.0,1620828354833.0,237044728778.0,454380074318.0,691424803096.0,706881871673.0,929403551737.0,374479419476.0,22543842195.0,18537695481.0,18832573925.0,18832573925.0,2019,Q4,30494110000.0,
1071297895929.0,1593919238745.0,202985086706.0,451803435229.0,654788521935.0,716609036746.0,939130716810.0,376672193749.0,15607888047.0,39536340588.0,34324728343.0,34324728343.0,2020,Q1,30494110000.0,
1112567310302.0,2045992857239.0,151626535484.0,956128280913.0,1107754816397.0,715716360778.0,938238040842.0,328588386756.0,3018486399.0,1521128.0,-365923742.0,-365923742.0,2020,Q2,30494110000.0,
1121987879945.0,1974056086766.0,170628590187.0,854448078777.0,1025076668964.0,726457737738.0,948979417802.0,377886722272.0,19270221326.0,14484522115.0,10691086625.0,10691086625.0,2020,Q3,30494110000.0,
1217304473782.0,1994121914672.0,203621771326.0,829487929464.0,1033109700790.0,738490533818.0,961012213882.0,440998489849.0,22553190538.0,9930178756.0,11204085088.0,11204085088.0,2020,Q4,30494110000.0,
1288501456386.0,3324565201925.0,250984889891.0,827379827916.0,1078364717807.0,756930708534.0,2246200484118.0,454568729897.0,33656822930.0,42291588695.0,35130501475.0,35130501475.0,2021,Q1,38731610000.0,
1401561461838.0,3365337308241.0,269243512199.0,820227157933.0,1089470670132.0,786535905839.0,2275866638109.0,467131998180.0,35469487268.0,35747647473.0,31129154749.0,31129154749.0,2021,Q2,38731610000.0,
1511928539471.0,3614227879284.0,287456388090.0,1012176833758.0,1299633221848.0,825263925166.0,2314594657436.0,492023233788.0,30893590099.0,38764275206.0,36458746135.0,36458746135.0,2021,Q3,38731610000.0,
1709547303954.0,3761333047918.0,604654066630.0,825357809532.0,1430011876162.0,841990439486.0,2331321171756.0,525800036555.0,20592167072.0,11203414505.0,16405804424.0,16405804424.0,2021,Q4,38731610000.0,
1922502033907.0,3792040661054.0,602562882008.0,828777472068.0,1431340354076.0,871369574708.0,2360700306978.0,651627480462.0,25254340437.0,53638856594.0,48142015640.0,48142015640.0,2022,Q1,38731610000.0,
2070972573002.0,4301373977492.0,1032301252077.0,883123703230.0,1915424955307.0,906268438565.0,2385949022185.0,718740690958.0,42009393843.0,38197898828.0,30351781424.0,30351781424.0,2022,Q2,38731610000.0,
2217545825072.0,4484960947298.0,1155351917725.0,874723851278.0,2030075769003.0,972025362675.0,2454885178295.0,952014137108.0,77371933570.0,75339815908.0,62635606409.0,62635606409.0,2022,Q3,38731610000.0,
2443816819477.0,4276625735005.0,920661300495.0,928840118957.0,1849501419452.0,944517783125.0,2427124315553.0,718904720659.0,8554553598.0,-41614926486.0,-26275942843.0,-26275942843.0,2022,Q4,38731610000.0,
2650122198751.0,4983864280689.0,1117428300155.0,1428149955261.0,2545578255416.0,955265982124.0,2438286025273.0,1035201946419.0,16349015638.0,48005635284.0,38680724006.0,38680724006.0,2023,Q1,38731610000.0,
2881220359031.0,5521383548741.0,1086339448340.0,1943566031716.0,3029905480056.0,1005451835105.0,2491478068685.0,1108437614089.0,48164763155.0,55114736406.0,49272834937.0,49272834937.0,2023,Q2,38731610000.0,
