부채총계,자본금,이익잉여금,자본총계,법인세차감전 순이익,당기순이익,차입부채,당기손익-공정가치측정금융자산,순이자손익,이자수익,이자비용,영업이익(손실),당기순이익(손실),총포괄손익,순수수료손익,연도,분기,파생상품자산,파생상품부채
11781104000000.0,2969641000000.0,8381752000000.0,26549424000000.0,-29024000000.0,-27306000000.0,64664000000.0,2735814000000.0,-51953000000.0,23471000000.0,75424000000.0,-29557000000.0,-27306000000.0,-27306000000.0,17343000000.0,2023,Q3,,
11190414000000.0,2969641000000.0,7932131000000.0,26099141000000.0,1728441000000.0,1698317000000.0,223722000000.0,1985760000000.0,-141185000000.0,70033000000.0,-362066000000.0,1736197000000.0,1698317000000.0,1696885000000.0,51735000000.0,2023,Q4,0.0,0.0
11921723000000.0,2969641000000.0,9147849000000.0,27816359000000.0,1774691000000.0,1773171000000.0,169488000000.0,4149843000000.0,-56060000000.0,25250000000.0,-81310000000.0,1775050000000.0,1773171000000.0,1773171000000.0,17348000000.0,2024,Q1,,
11228140000000.0,2969641000000.0,8786417000000.0,27103636000000.0,-35031000000.0,-36290000000.0,19681000000.0,3029495000000.0,-57947000000.0,25572000000.0,-83519000000.0,-32119000000.0,-36290000000.0,-37827000000.0,17987000000.0,2024,Q2,,
11246071000000.0,2969641000000.0,8335568000000.0,26901744000000.0,-133317000000.0,-138900000000.0,19865000000.0,3037400000000.0,-60324000000.0,23845000000.0,-84169000000.0,-37999000000.0,-138900000000.0,-138900000000.0,17426000000.0,2024,Q3,,
