비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),연도,분기,총포괄손익
3495242623510.0,7401609375583.0,1429755238116.0,124033696801.0,1553788934917.0,954959485000.0,947226082215.0,5847820440666.0,2821671433073.0,1240158288442.0,1297251487070.0,971105261844.0,971105261844.0,2015,Q4,
3502069583781.0,7530971106387.0,1653308133379.0,135592755759.0,1788900889138.0,954959485000.0,253704011411.0,5742070217249.0,701231649723.0,327354220667.0,334004615245.0,253768803617.0,253768803617.0,2016,Q1,
3528262120573.0,7427493259092.0,1290078117806.0,128027212822.0,1418105330628.0,954959485000.0,529936771425.0,6009387928464.0,745502887098.0,322743144011.0,364297376711.0,276247286047.0,276247286047.0,2016,Q2,
3543251429416.0,7565193847619.0,1208148217107.0,132727682220.0,1340875899327.0,954959485000.0,737986800224.0,6224317948292.0,753825929153.0,349283282565.0,276108042115.0,207988023552.0,207988023552.0,2016,Q3,
3656685115419.0,8439013830569.0,1762298786473.0,136870115230.0,1899168901703.0,954959485000.0,1029416405188.0,6539844928866.0,767614296517.0,302561627957.0,440639158639.0,358950835704.0,358950835704.0,2016,Q4,
3805332229328.0,8125886581570.0,1595641909284.0,148159590742.0,1743801500026.0,954959485000.0,252720176636.0,6382085081544.0,725989618804.0,319888141436.0,315585757206.0,253158833263.0,253158833263.0,2017,Q1,
3849272299041.0,7975714661004.0,1158631796126.0,148569467688.0,1307201263814.0,954959485000.0,516202217075.0,6668513397190.0,801257660991.0,343092635367.0,369832098683.0,263441887465.0,263441887465.0,2017,Q2,
3935572947642.0,8773815565703.0,1680163745769.0,153975790862.0,1834139536631.0,954959485000.0,785713840544.0,6939676029072.0,789494946622.0,338476603896.0,357120074698.0,269470939254.0,269470939254.0,2017,Q3,
3976376392002.0,8664675097526.0,1456484334577.0,80376813517.0,1536861148094.0,954959485000.0,974353015256.0,7127813949432.0,683345636292.0,256423843487.0,223448314298.0,212134368901.0,212134368901.0,2017,Q4,
4017406757395.0,8822490903853.0,1934173126319.0,68895654861.0,2003068781180.0,954959485000.0,224588741286.0,6819422122673.0,572315586763.0,213313334578.0,324259697419.0,256931132265.0,256931132265.0,2018,Q1,
4174443993954.0,8791306976764.0,1656120811568.0,70662076381.0,1726782887949.0,954959485000.0,476859964516.0,7064524088815.0,705516360607.0,275710186025.0,344783672433.0,252617947100.0,252617947100.0,2018,Q2,
4293994065590.0,9029680083431.0,1666053335712.0,81779952785.0,1747833288497.0,954959485000.0,687683006462.0,7281846794934.0,663865225134.0,275320931872.0,289107545749.0,211140515134.0,211140515134.0,2018,Q3,
4311283870155.0,8729915634269.0,1289017915821.0,75676425167.0,1364694340988.0,954959485000.0,791026709122.0,7365221293281.0,682918920067.0,240086994410.0,201519444427.0,135999959511.0,135999959511.0,2018,Q4,
4376354535780.0,9271307017674.0,2093851527078.0,95898251274.0,2189749778352.0,954959485000.0,213593043042.0,7081557239322.0,658670699624.0,252678507131.0,294295882310.0,214079714028.0,214079714028.0,2019,Q1,
4478583509767.0,9302111434137.0,1817204656340.0,123837602723.0,1941042259063.0,954959485000.0,486983361913.0,7361069175074.0,812615657556.0,339906730098.0,390802180347.0,286173643247.0,286173643247.0,2019,Q2,
4725651869176.0,9025501436815.0,1295680228348.0,128884265932.0,1424564494280.0,954959485000.0,737964037617.0,7600936942535.0,723442075187.0,284882304724.0,342800431210.0,250522452292.0,250522452292.0,2019,Q3,
4798584899636.0,9112777639505.0,1251513027508.0,81180959586.0,1332693987094.0,954959485000.0,888251673785.0,7780083652411.0,747890426094.0,257098103633.0,197648003755.0,140605018235.0,140605018235.0,2019,Q4,
4825390037076.0,9278669282312.0,1756726664283.0,83410260905.0,1840136925188.0,954959485000.0,260505221532.0,7438532357124.0,661294753772.0,249877910159.0,354809279817.0,260758393674.0,260758393674.0,2020,Q1,
4935513456916.0,9392942849997.0,1573895690130.0,106352848922.0,1680248539052.0,954959485000.0,532422125257.0,7712694310945.0,908092653424.0,369878259101.0,376017051352.0,274850239288.0,274850239288.0,2020,Q2,
5041117056066.0,9833058761099.0,1973094945930.0,114181159487.0,2087276105417.0,954959485000.0,774086848314.0,7745782655682.0,908771206371.0,353607016814.0,329215135712.0,241343139127.0,241343139127.0,2020,Q3,
5171312859967.0,9879543643434.0,1717954707436.0,107646746067.0,1825601453503.0,954959485000.0,1060221437118.0,8053942189931.0,957225616373.0,363654743555.0,405436846320.0,298357715805.0,298357715805.0,2020,Q4,
5255910590807.0,10059563076041.0,2248355063351.0,110242669769.0,2358597733120.0,954959485000.0,236641078553.0,7700965342921.0,757787960642.0,247949999702.0,319801171642.0,236976249843.0,236976249843.0,2021,Q1,
5390669994970.0,9609168628740.0,1533105602537.0,112768061307.0,1645873663844.0,954959485000.0,486151756614.0,7963294964896.0,950905694772.0,326379544323.0,334294502944.0,243281897631.0,243281897631.0,2021,Q2,
5547566956586.0,10062048235122.0,1683707297004.0,120732157787.0,1804439454791.0,954959485000.0,783714100209.0,8257608780331.0,930419847902.0,324295257788.0,406301672003.0,297604249243.0,297604249243.0,2021,Q3,
5772652105403.0,9781651431121.0,1715413871960.0,66122484346.0,1781536356306.0,954959485000.0,877116550879.0,8000115074815.0,851342304292.0,184799186381.0,142404547187.0,75081777941.0,75081777941.0,2021,Q4,
5834612367000.0,9889983332039.0,2127330298089.0,69094435528.0,2196424733617.0,954959485000.0,248902846225.0,7693558598422.0,844849883439.0,272561308510.0,357320961911.0,257874059744.0,257874059744.0,2022,Q1,
5940527335178.0,9906215598994.0,1800401206108.0,75037450202.0,1875438656310.0,954959485000.0,599167986457.0,8030776942684.0,966346260699.0,312650238664.0,478084215730.0,350468417180.0,350468417180.0,2022,Q2,
6157510804266.0,10304291285917.0,1796453059294.0,85010230679.0,1881463289973.0,954959485000.0,1005076463518.0,8422827995944.0,970448322517.0,307781332692.0,555762689058.0,406140770217.0,406140770217.0,2022,Q3,
6060443083998.0,10156905259022.0,2037692851450.0,65608074181.0,2103300925631.0,954959485000.0,989001178397.0,8053604333391.0,912713572617.0,227301106267.0,-75206254480.0,-56443262059.0,-56443262059.0,2022,Q4,
6208320666962.0,9991422512943.0,2200017142461.0,64495036158.0,2264512178619.0,954959485000.0,254006447005.0,7726910334324.0,821013050660.0,230262144170.0,355340315048.0,255710265283.0,255710265283.0,2023,Q1,
6220738592424.0,9707069787511.0,1725334571491.0,68623137069.0,1793957708560.0,954959485000.0,441851570490.0,7913112078951.0,882640778674.0,243789763516.0,275517706440.0,201946988688.0,201946988688.0,2023,Q2,
6606310774236.0,10351851280529.0,2244328683391.0,370605875699.0,2614934559090.0,954959485000.0,561292925233.0,7736916721439.0,976105611000.0,293923736820.0,345723534468.0,258342781377.0,258342781377.0,2023,Q3,266029162439.0
