부채총계,자본금,이익잉여금,자본총계,법인세차감전 순이익,당기순이익,예수부채,당기손익-공정가치측정금융자산,기타포괄손익-공정가치측정금융자산,순이자손익,이자수익,이자비용,파생상품관련손익,영업이익(손실),당기순이익(손실),총포괄손익,순수수료손익,연도,분기
375378517000000.0,4211365000000.0,18933886000000.0,28587061000000.0,927922000000.0,688464000000.0,143637863000000.0,11819868000000.0,23404662000000.0,1861347000000.0,4301497000000.0,2440150000000.0,-7593000000.0,913023000000.0,688464000000.0,690938000000.0,94404000000.0,2023,Q3
383210828000000.0,4211365000000.0,19417241000000.0,29484452000000.0,2295293000000.0,1723011000000.0,148542549000000.0,11625071000000.0,23345723000000.0,5605378000000.0,12525682000000.0,6920304000000.0,41068000000.0,2228242000000.0,1723011000000.0,1965058000000.0,236259000000.0,2023,Q4
386594153000000.0,4211365000000.0,19303208000000.0,29589034000000.0,929354000000.0,711138000000.0,149297482000000.0,12449108000000.0,25501008000000.0,1826388000000.0,4339052000000.0,2512664000000.0,-15059000000.0,954935000000.0,711138000000.0,749948000000.0,72680000000.0,2024,Q1
393361420000000.0,4211365000000.0,19808917000000.0,30114991000000.0,738419000000.0,547688000000.0,149818587000000.0,13518676000000.0,26476103000000.0,1815791000000.0,4355493000000.0,2539702000000.0,10649000000.0,737356000000.0,547688000000.0,568108000000.0,97779000000.0,2024,Q2
388109787000000.0,4211365000000.0,20502103000000.0,31049876000000.0,997519000000.0,735735000000.0,142785251000000.0,13271041000000.0,26062918000000.0,1804802000000.0,4310166000000.0,2505364000000.0,21196000000.0,1007366000000.0,735735000000.0,977434000000.0,87046000000.0,2024,Q3
