비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),연도,분기,이익잉여금,총포괄손익
3625766327484.0,6547752525426.0,2275811344794.0,1494551648993.0,3770362993787.0,18750000000.0,2777389531639.0,11811512414216.0,471504178974.0,369789857207.0,264540415605.0,264540415605.0,2015,Q4,,
3813154608423.0,6990741964533.0,2594257471140.0,1567229806088.0,4161487277228.0,18750000000.0,2829254687305.0,3013663591347.0,134444268571.0,221428222272.0,181386902298.0,181386902298.0,2016,Q1,,
3862974170126.0,6849794777981.0,2359934692369.0,1593252527271.0,3953187219640.0,18750000000.0,2896607558341.0,3026937075406.0,135232183044.0,101562832336.0,69537762846.0,69537762846.0,2016,Q2,,
3850491976151.0,6705901371468.0,2174136784494.0,1452076772013.0,3626213556507.0,18750000000.0,3079687814961.0,3059874452662.0,132355369408.0,214169195453.0,181169106736.0,181169106736.0,2016,Q3,,
3820455785132.0,6782265380968.0,2202218892322.0,1530899314767.0,3733118207089.0,18750000000.0,3049147173879.0,3150009397550.0,139153168692.0,-19676535318.0,-22944897912.0,-22944897912.0,2016,Q4,,
3780386561315.0,7064248621326.0,2447614877536.0,1377642527802.0,3825257405338.0,18750000000.0,3238991215988.0,3183511749793.0,144198890238.0,369218342827.0,314400657332.0,314400657332.0,2017,Q1,,
3913577560343.0,7116331143684.0,2329940282576.0,1478392023168.0,3808332305744.0,18750000000.0,3307998837940.0,3342945225334.0,132044658602.0,85214506869.0,55863191028.0,55863191028.0,2017,Q2,,
3958477496507.0,7172259189090.0,2315528399992.0,1477934342849.0,3793462742841.0,18750000000.0,3378796446249.0,3352196887647.0,134764021070.0,116347922646.0,86105431073.0,86105431073.0,2017,Q3,3108424882939.0,
4175956275079.0,7080908201674.0,2113690816256.0,1406980547621.0,3520671363877.0,18750000000.0,3560236837797.0,3107521250836.0,128940811946.0,208837726345.0,178596093925.0,178596093925.0,2017,Q4,3288507549212.0,
4139609697968.0,7228500866919.0,2316160063027.0,1393694129489.0,3709854192516.0,18750000000.0,3518646674403.0,2968589475240.0,102834359608.0,115403795727.0,91099109316.0,91099109316.0,2018,Q1,3267730907984.0,
4099692013356.0,7284186067214.0,2374470121235.0,1401837577585.0,3776307698820.0,18750000000.0,3507878368394.0,3383110172831.0,129218907183.0,25257810897.0,-452873499.0,-452873499.0,2018,Q2,3267164491702.0,
4074498744886.0,7304413200835.0,2327695239233.0,1348152322159.0,3675847561392.0,18750000000.0,3628565639443.0,3513548918271.0,139443771353.0,152722924796.0,115266469483.0,115266469483.0,2018,Q3,3382344553225.0,
4018173066393.0,7382050860372.0,2414130830277.0,1241189024666.0,3655319854943.0,18750000000.0,3726731005429.0,3587201045135.0,153790814621.0,165381931560.0,120702280391.0,120702280391.0,2018,Q4,3498463332623.0,
4357737133960.0,7903994561179.0,2846806081734.0,1333117205541.0,4179923287275.0,18750000000.0,3724071273904.0,3388979098097.0,143915915208.0,154452140616.0,111434114062.0,111434114062.0,2019,Q1,3486006892572.0,
4402878679425.0,7941845129073.0,2792192250611.0,1337740602339.0,4129932852950.0,18750000000.0,3811912276123.0,3554402320537.0,144154062753.0,120448462445.0,79684721680.0,79684721680.0,2019,Q2,3565654292228.0,
4550865683739.0,8355651860059.0,2964964613897.0,1570260597423.0,4535225211320.0,18750000000.0,3820426648739.0,3746036550142.0,197161117474.0,52763030950.0,6627838280.0,6627838280.0,2019,Q3,3572304703117.0,
4638929711554.0,8460175297516.0,2826180023537.0,1634163817286.0,4460343840823.0,18750000000.0,3999831456693.0,3785117984726.0,180541158227.0,216284799411.0,178776996963.0,178776996963.0,2019,Q4,3748963040470.0,
4557833655152.0,9250793352857.0,3223979364248.0,2059283871158.0,5283263235406.0,18750000000.0,3967530117451.0,3760036522635.0,151513397930.0,209077933697.0,159782282525.0,159782282525.0,2020,Q1,3777356761114.0,
4527103851554.0,7956429831054.0,1890247716550.0,1989597556487.0,3879845273037.0,18750000000.0,4076584558017.0,2648565567170.0,110594635863.0,114156016640.0,94738509063.0,94738509063.0,2020,Q2,3872081207436.0,
4529436803091.0,8647179132108.0,2516471507534.0,1928406690563.0,4444878198097.0,18750000000.0,4202300934011.0,2676210033162.0,107683320046.0,125283978399.0,108667877582.0,108667877582.0,2020,Q3,3980738164100.0,
4526478513934.0,9140431872200.0,2966502268606.0,1861205020646.0,4827707289252.0,18750000000.0,4312724582948.0,3825145547103.0,124162959158.0,178651539539.0,158130290737.0,158130290737.0,2020,Q4,4072781411732.0,
4656716557990.0,9656289973722.0,3364639505000.0,1969852733418.0,5334492238418.0,18750000000.0,4321797735304.0,4039416893467.0,160074213877.0,135399900003.0,116041916363.0,116041916363.0,2021,Q1,4057376690395.0,
4768570425254.0,9609002351183.0,3154066654299.0,1951674760657.0,5105741414956.0,18750000000.0,4503260936227.0,4392713893643.0,214312233687.0,213937821775.0,181186193805.0,181186193805.0,2021,Q2,4238493158934.0,
4775712780157.0,9890292557614.0,3235095768576.0,2033649373010.0,5268745141586.0,18750000000.0,4621547416028.0,4373127751286.0,245152571679.0,187322366719.0,142244812771.0,142244812771.0,2021,Q3,4380664651297.0,
4715932327272.0,10057010594625.0,3283113219575.0,1962090397977.0,5245203617552.0,18750000000.0,4811806977073.0,4767443411605.0,275028686490.0,244220047735.0,190797084561.0,190797084561.0,2021,Q4,4573185371488.0,
4890162271644.0,11092352469166.0,4034904069190.0,2126379683444.0,6161283752634.0,18750000000.0,4931068716532.0,5125218984877.0,358053531313.0,339962949206.0,279378790960.0,279378790960.0,2022,Q1,4709756379133.0,
4919213293868.0,11423384667087.0,3945738344549.0,2221548319996.0,6167286664545.0,18750000000.0,5256098002542.0,5564433610947.0,404616570871.0,440897841981.0,337291099937.0,337291099937.0,2022,Q2,5046870371184.0,
