비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),연도,분기,총포괄손익
228329614236.0,562231771504.0,180639494913.0,117802032310.0,298441527223.0,30600000000.0,53236250628.0,263790244281.0,225610784857.0,37710447240.0,37293252783.0,32889711957.0,32889711957.0,2020,Q4,
251728958753.0,1709925403191.0,323568928531.0,95801162901.0,419370091432.0,38250000000.0,95160915945.0,1290555311759.0,112709960529.0,53715220743.0,55042104290.0,41924665317.0,41924665317.0,2021,Q1,
254804146994.0,1791924930952.0,354151949813.0,94122314964.0,448274264777.0,38250000000.0,147972695723.0,1343650666175.0,144604267970.0,66154594470.0,67891652385.0,52811779778.0,52811779778.0,2021,Q2,
259973550093.0,1919181604946.0,448670122154.0,50264465090.0,498934587244.0,38250000000.0,224409996856.0,1420247017702.0,220828833017.0,100406230549.0,96572407940.0,76437301133.0,76437301133.0,2021,Q3,
272318441145.0,2110122672078.0,459952164123.0,48858559461.0,508810723584.0,38250000000.0,405305163714.0,1601311948494.0,450857868393.0,253943810562.0,251622015910.0,183965530611.0,183965530611.0,2021,Q4,
297750109090.0,2001425223874.0,311184020309.0,56609230034.0,367793250343.0,38300000000.0,433111479201.0,1633631973531.0,87091333349.0,23751983055.0,32756983469.0,27806315487.0,27806315487.0,2022,Q1,
314908581732.0,2094066245378.0,378451544159.0,27913194112.0,406364738271.0,38392023000.0,479237421205.0,1687701507107.0,138280832009.0,61189671139.0,55343052005.0,46125942004.0,46125942004.0,2022,Q2,
318320392381.0,2099319712761.0,364163623878.0,26586287550.0,390749911428.0,38392023000.0,500015550158.0,1708569801333.0,91052874852.0,21358812863.0,23176013611.0,20778128953.0,20778128953.0,2022,Q3,
364787673120.0,2142189396321.0,379742145470.0,20191960306.0,399934105776.0,38392023000.0,533742140035.0,1742255290545.0,140300830986.0,9078521495.0,30821757806.0,28106187924.0,28106187924.0,2022,Q4,
381539763651.0,2022893867318.0,277001489915.0,17535425010.0,294536914925.0,38392023000.0,520072653192.0,1728356952393.0,20596828186.0,-28708106053.0,-25215959870.0,-13818376141.0,-13818376141.0,2023,Q1,
399892183020.0,1968911200439.0,240782773322.0,15508681920.0,256291455242.0,38392023000.0,504372062613.0,1712619745197.0,26478227344.0,-34844702244.0,-28810605917.0,-15551701281.0,-15551701281.0,2023,Q2,
477017978108.0,1921143052452.0,182838134034.0,13686526820.0,196524660854.0,38392023000.0,553367346692.0,1724618391598.0,231826283725.0,61559720044.0,59225973000.0,48995284079.0,48995284079.0,2023,Q3,11998646401.0
475031277959.0,1854403337178.0,135303936493.0,12731753349.0,148035689842.0,38413875000.0,551874420733.0,1706367647336.0,90604216603.0,-7797075247.0,4217063007.0,4781755419.0,4781755419.0,2023,Q4,-48859310459.0
536996147455.0,1920444060077.0,133827889637.0,92190721614.0,226018611251.0,38413875000.0,538705644299.0,1694425448826.0,22270678066.0,-27544466588.0,-19256392020.0,-13168776434.0,-13168776434.0,2024,Q1,-11942198510.0
592898315732.0,1969198824723.0,135836215719.0,92218648940.0,228054864659.0,38413875000.0,527868784307.0,1741143960064.0,26777434120.0,-19355100677.0,-16329048609.0,-10836859992.0,-10836859992.0,2024,Q2,46718511238.0
907572955362.0,2054108030249.0,128276738561.0,199539601090.0,327816339651.0,38413875000.0,506030481425.0,1726291690598.0,61647711594.0,-39129790398.0,-30178285561.0,-21838302882.0,-21838302882.0,2024,Q3,-14852269466.0
