비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),연도,분기,총포괄손익
8154282000000.0,12342717000000.0,2906851000000.0,2183768000000.0,5090619000000.0,100000000000.0,-375523000000.0,7252098000000.0,632954000000.0,-509130000000.0,-530158000000.0,-377980000000.0,-377980000000.0,2020,Q4,
8352917000000.0,12444673000000.0,2841963000000.0,2216022000000.0,5057985000000.0,100000000000.0,-239023000000.0,7386688000000.0,1818165000000.0,108097000000.0,144783000000.0,128203000000.0,128203000000.0,2021,Q1,
8728001000000.0,13275964000000.0,2970123000000.0,2532626000000.0,5502749000000.0,100000000000.0,151407000000.0,7773215000000.0,2685072000000.0,518370000000.0,532251000000.0,391340000000.0,391340000000.0,2021,Q2,
9413045000000.0,13747558000000.0,3778559000000.0,2661200000000.0,6439759000000.0,100000000000.0,-320194000000.0,7307799000000.0,1907861000000.0,-714407000000.0,-671519000000.0,-470639000000.0,-470639000000.0,2021,Q3,
9715697000000.0,13709636000000.0,3949750000000.0,2625930000000.0,6575680000000.0,100000000000.0,-480338000000.0,7133956000000.0,1976365000000.0,-266399000000.0,-237055000000.0,-151866000000.0,-151866000000.0,2021,Q4,
10343877000000.0,23380463000000.0,3717389000000.0,2565526000000.0,6282915000000.0,117000000000.0,-617014000000.0,17097548000000.0,2014207000000.0,-156126000000.0,-141398000000.0,-136497000000.0,-136497000000.0,2022,Q1,
11627512000000.0,23145131000000.0,4334915000000.0,1803874000000.0,6138789000000.0,117000000000.0,-704651000000.0,17006342000000.0,2138591000000.0,-209768000000.0,-139565000000.0,-86450000000.0,-86450000000.0,2022,Q2,
12385891000000.0,23733287000000.0,4627837000000.0,1904776000000.0,6532613000000.0,117000000000.0,-520094000000.0,17200674000000.0,3279780000000.0,-28668000000.0,32759000000.0,59911000000.0,59911000000.0,2022,Q3,
13207266000000.0,23202810000000.0,4608095000000.0,1800143000000.0,6408238000000.0,117000000000.0,-958790000000.0,16794572000000.0,3149209000000.0,-281948000000.0,-435111000000.0,-365091000000.0,-365091000000.0,2022,Q4,
14195951000000.0,23231011000000.0,4536518000000.0,1870251000000.0,6406769000000.0,117000000000.0,-936058000000.0,16824242000000.0,3298683000000.0,-93791000000.0,25804000000.0,22158000000.0,22158000000.0,2023,Q1,
15171524000000.0,23262380000000.0,3447894000000.0,2858706000000.0,6306600000000.0,117000000000.0,-801288000000.0,16955780000000.0,3030170000000.0,-152975000000.0,167380000000.0,134099000000.0,134099000000.0,2023,Q2,
16312743000000.0,24466647000000.0,3472074000000.0,4132936000000.0,7605010000000.0,117000000000.0,-886964000000.0,16861637000000.0,2898355000000.0,-52331000000.0,-86397000000.0,-86909000000.0,-86909000000.0,2023,Q3,-94143000000.0
16762196000000.0,23545939000000.0,3510919000000.0,3433526000000.0,6944445000000.0,117000000000.0,-1051712000000.0,16601494000000.0,3061231000000.0,-19817000000.0,-80561000000.0,-135037000000.0,-135037000000.0,2023,Q4,-98935000000.0
18691470000000.0,25535850000000.0,3342882000000.0,5196127000000.0,8539009000000.0,117000000000.0,-657766000000.0,16996841000000.0,1907931000000.0,-271986000000.0,350931000000.0,394448000000.0,394448000000.0,2024,Q1,395347000000.0
19392419000000.0,25332529000000.0,3947165000000.0,5032802000000.0,8979967000000.0,117000000000.0,-1302870000000.0,16352562000000.0,1654590000000.0,-626376000000.0,-608004000000.0,-644945000000.0,-644945000000.0,2024,Q2,-644279000000.0
20957375000000.0,27586531000000.0,3845168000000.0,7649401000000.0,11494569000000.0,117000000000.0,-1558661000000.0,16091962000000.0,2097344000000.0,-721536000000.0,-552862000000.0,-255045000000.0,-255045000000.0,2024,Q3,-260600000000.0
