비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),연도,분기,자본금,총포괄손익
5096466000000.0,10784946000000.0,3222157000000.0,2180898000000.0,5403055000000.0,3735106000000.0,5381891000000.0,17890272000000.0,817604000000.0,808529000000.0,628136000000.0,628136000000.0,2015,Q4,,
5165052000000.0,11410270000000.0,3540668000000.0,2200717000000.0,5741385000000.0,4022115000000.0,5668885000000.0,3428420000000.0,491804000000.0,577201000000.0,438452000000.0,438452000000.0,2016,Q1,,
5209281000000.0,12274675000000.0,3613182000000.0,2550025000000.0,6163207000000.0,4464696000000.0,6111468000000.0,4198364000000.0,640869000000.0,584102000000.0,442578000000.0,442578000000.0,2016,Q2,291512000000.0,
5462446000000.0,13279528000000.0,4503077000000.0,2551916000000.0,7054993000000.0,4577735000000.0,6224535000000.0,4137920000000.0,116200000000.0,226314000000.0,171250000000.0,171250000000.0,2016,Q3,291512000000.0,
5977625000000.0,13950676000000.0,4832781000000.0,2732648000000.0,7565429000000.0,4739108000000.0,6385247000000.0,4557139000000.0,368016000000.0,189748000000.0,154803000000.0,154803000000.0,2016,Q4,291512000000.0,
6211203000000.0,14978959000000.0,5698095000000.0,3161958000000.0,8860053000000.0,4472723000000.0,6118906000000.0,5200155000000.0,333453000000.0,524414000000.0,397309000000.0,397309000000.0,2017,Q1,291512000000.0,
6649127000000.0,13810335000000.0,4469029000000.0,3156260000000.0,7625289000000.0,4538766000000.0,6185046000000.0,4665003000000.0,117267000000.0,69946000000.0,66043000000.0,66043000000.0,2017,Q2,291512000000.0,
7288565000000.0,14393363000000.0,4486353000000.0,3463644000000.0,7949997000000.0,4797101000000.0,6443366000000.0,5211848000000.0,553241000000.0,526073000000.0,398040000000.0,398040000000.0,2017,Q3,291512000000.0,
8308161000000.0,15077563000000.0,4543391000000.0,3695073000000.0,8238464000000.0,5194501000000.0,6839099000000.0,5814334000000.0,370688000000.0,527727000000.0,387764000000.0,387764000000.0,2017,Q4,291512000000.0,
8860234000000.0,15963814000000.0,5559423000000.0,3919666000000.0,9479089000000.0,4838259000000.0,6484725000000.0,5410906000000.0,253418000000.0,260324000000.0,191039000000.0,191039000000.0,2018,Q1,291512000000.0,
9250541000000.0,16860183000000.0,6510141000000.0,3703899000000.0,10214040000000.0,4999994000000.0,6646143000000.0,6003077000000.0,401821000000.0,212507000000.0,161735000000.0,161735000000.0,2018,Q2,291512000000.0,
9521816000000.0,17041102000000.0,6379692000000.0,3857560000000.0,10237252000000.0,5157817000000.0,6803850000000.0,7187882000000.0,313222000000.0,312646000000.0,227675000000.0,227675000000.0,2018,Q3,291512000000.0,
10230950000000.0,16081512000000.0,5790228000000.0,3829695000000.0,9619923000000.0,4815325000000.0,6461589000000.0,6861257000000.0,-331613000000.0,-462088000000.0,-326672000000.0,-326672000000.0,2018,Q4,291512000000.0,
10326005000000.0,16527908000000.0,6052595000000.0,3916974000000.0,9969569000000.0,4912782000000.0,6558339000000.0,5426029000000.0,269952000000.0,158756000000.0,115016000000.0,115016000000.0,2019,Q1,291512000000.0,
10428721000000.0,17269267000000.0,6607281000000.0,4256746000000.0,10864027000000.0,4763575000000.0,6405240000000.0,6257197000000.0,-90543000000.0,-198239000000.0,-149207000000.0,-149207000000.0,2019,Q2,291512000000.0,
10461645000000.0,17037990000000.0,6455329000000.0,4140124000000.0,10595453000000.0,4802818000000.0,6442537000000.0,6234570000000.0,230966000000.0,72835000000.0,50886000000.0,50886000000.0,2019,Q3,291512000000.0,
10831892000000.0,16455433000000.0,5758293000000.0,4211020000000.0,9969313000000.0,4837585000000.0,6486120000000.0,6476184000000.0,9675000000.0,72889000000.0,45907000000.0,45907000000.0,2019,Q4,291512000000.0,
10876015000000.0,16422763000000.0,6270303000000.0,4578227000000.0,10848530000000.0,3945835000000.0,5574233000000.0,5150835000000.0,-1007419000000.0,-1208449000000.0,-880012000000.0,-880012000000.0,2020,Q1,291512000000.0,
10872335000000.0,16941861000000.0,7227697000000.0,4198994000000.0,11426691000000.0,3877551000000.0,5515170000000.0,3435214000000.0,-164923000000.0,-158468000000.0,-68283000000.0,-68283000000.0,2020,Q2,291512000000.0,
10800507000000.0,16090708000000.0,6393197000000.0,4135876000000.0,10529073000000.0,3906107000000.0,5561635000000.0,3881092000000.0,-9724000000.0,25771000000.0,28555000000.0,28555000000.0,2020,Q3,291512000000.0,
10689636000000.0,15671847000000.0,6552943000000.0,3442311000000.0,9995254000000.0,4021258000000.0,5676593000000.0,4268363000000.0,81554000000.0,167946000000.0,119820000000.0,119820000000.0,2020,Q4,291512000000.0,
10528488000000.0,17836974000000.0,8576290000000.0,3238253000000.0,11814543000000.0,4367069000000.0,6022431000000.0,5297178000000.0,628815000000.0,468855000000.0,345907000000.0,345907000000.0,2021,Q1,291512000000.0,
10465113000000.0,17982826000000.0,8227288000000.0,3322822000000.0,11550110000000.0,4776897000000.0,6432716000000.0,6646509000000.0,570513000000.0,548251000000.0,410284000000.0,410284000000.0,2021,Q2,291512000000.0,
10309001000000.0,18091785000000.0,8206998000000.0,3234086000000.0,11441084000000.0,4994882000000.0,6650701000000.0,7052480000000.0,548870000000.0,472946000000.0,334406000000.0,334406000000.0,2021,Q3,291512000000.0,
10311844000000.0,18653556000000.0,8473618000000.0,3198182000000.0,11671800000000.0,5319082000000.0,6981756000000.0,8207672000000.0,390641000000.0,387954000000.0,287733000000.0,287733000000.0,2021,Q4,291512000000.0,
10252059000000.0,20835606000000.0,9775890000000.0,3531943000000.0,13307833000000.0,5865099000000.0,7527773000000.0,9189368000000.0,1331358000000.0,1197728000000.0,872090000000.0,872090000000.0,2022,Q1,291512000000.0,
10213221000000.0,20447826000000.0,8528710000000.0,3378235000000.0,11906945000000.0,6878207000000.0,8540881000000.0,11313144000000.0,1721282000000.0,1397958000000.0,1013108000000.0,1013108000000.0,2022,Q2,291512000000.0,
10233541000000.0,20987416000000.0,9873347000000.0,2873759000000.0,12747106000000.0,6577636000000.0,8240310000000.0,11019165000000.0,511096000000.0,-26215000000.0,-9519000000.0,-9519000000.0,2022,Q3,291512000000.0,
10404969000000.0,19573396000000.0,8182228000000.0,2914950000000.0,11097178000000.0,6813159000000.0,8476218000000.0,10495402000000.0,-161089000000.0,328357000000.0,228007000000.0,228007000000.0,2022,Q4,291512000000.0,
10442415000000.0,19939259000000.0,8719325000000.0,2827432000000.0,11546757000000.0,6729443000000.0,8392502000000.0,8992458000000.0,515055000000.0,355415000000.0,265641000000.0,265641000000.0,2023,Q1,291512000000.0,
10773492000000.0,19135091000000.0,7765667000000.0,3001412000000.0,10767079000000.0,6704953000000.0,8368012000000.0,7652820000000.0,35001000000.0,-36398000000.0,-24490000000.0,-24490000000.0,2023,Q2,291512000000.0,
11295682000000.0,21684136000000.0,9246312000000.0,3549202000000.0,12795514000000.0,7225563000000.0,8888622000000.0,8878989000000.0,857971000000.0,735069000000.0,543894000000.0,543894000000.0,2023,Q3,291512000000.0,543894000000.0
11924878000000.0,21498548000000.0,9191173000000.0,3282250000000.0,12473423000000.0,7359224000000.0,9025125000000.0,9726764000000.0,-57202000000.0,71294000000.0,158789000000.0,158789000000.0,2023,Q4,291512000000.0,377654000000.0
12051674000000.0,22248847000000.0,9971251000000.0,3258407000000.0,13229658000000.0,7353288000000.0,9019189000000.0,9223162000000.0,453503000000.0,229638000000.0,168791000000.0,168791000000.0,2024,Q1,291512000000.0,168791000000.0
12522490000000.0,21880276000000.0,9650124000000.0,3233999000000.0,12884123000000.0,7330252000000.0,8996153000000.0,9460704000000.0,159862000000.0,-43221000000.0,-23036000000.0,-23036000000.0,2024,Q2,291512000000.0,-23036000000.0
13040119000000.0,22454890000000.0,10281148000000.0,3400180000000.0,13681328000000.0,7107661000000.0,8773562000000.0,8730600000000.0,-415684000000.0,-274711000000.0,-208038000000.0,-208038000000.0,2024,Q3,291512000000.0,-208038000000.0
