비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),연도,분기,총포괄손익
6418121817710.0,10525249375017.0,1510271931879.0,1543662997590.0,3053934929469.0,171377095000.0,6510227079633.0,7471314445548.0,8471946291836.0,1335771989994.0,1178146933608.0,870346257393.0,870346257393.0,2015,Q4,
7227585745838.0,10838365099369.0,1627303422379.0,1543287720586.0,3170591142965.0,171377095000.0,6708524063493.0,7667773956404.0,1921570237193.0,383676353057.0,376546313006.0,282106075236.0,282106075236.0,2016,Q1,
9831635191604.0,12339877844822.0,1675645737855.0,2694599159636.0,4370244897491.0,171377095000.0,7018586851344.0,7969632947331.0,2018824503435.0,484852574622.0,461531827934.0,315746613016.0,315746613016.0,2016,Q2,
9815891332506.0,12778686876004.0,1998237511738.0,2491506823987.0,4489744335725.0,171377095000.0,7338831970114.0,8288942540279.0,2037779324705.0,448987172032.0,428976310910.0,313986819774.0,313986819774.0,2016,Q3,
10093132493302.0,13785910588754.0,2474068374787.0,2625976764989.0,5100045139776.0,171377095000.0,7730796464233.0,8685865448978.0,2278825491521.0,539552518427.0,519631887791.0,392286419791.0,392286419791.0,2016,Q4,
10351390036831.0,14782032197331.0,2795794436823.0,2693803900869.0,5489598337692.0,171377095000.0,8138843380181.0,9292433859639.0,2658195534306.0,697479719938.0,738390681555.0,543764061287.0,543764061287.0,2017,Q1,
10359214685161.0,14687711128628.0,2545664913756.0,2501914635594.0,5047579549350.0,171377095000.0,8496995444550.0,9640131579278.0,2459347321498.0,516760897982.0,502108423296.0,370785664764.0,370785664764.0,2017,Q2,
10337722417306.0,14642060547715.0,2175579752257.0,2362338066499.0,4537917818756.0,171377095000.0,8961739445912.0,10104142728959.0,2476685765011.0,614456685281.0,629849858972.0,461442888735.0,461442888735.0,2017,Q3,
10201377307369.0,15269369483103.0,2794813889570.0,2097274334094.0,4892088223664.0,171377095000.0,9211371437921.0,10377281259439.0,2555281199550.0,537887039243.0,355074945029.0,255232215566.0,255232215566.0,2017,Q4,
10213599113659.0,15742014668918.0,3164943392085.0,2100181609513.0,5265125001598.0,171377095000.0,9357344850363.0,10476889667320.0,2592404338601.0,509698628210.0,633762344027.0,460590040960.0,460590040960.0,2018,Q1,
10262324753399.0,15401519656792.0,2996285102300.0,1453788970344.0,4450074072644.0,171377095000.0,9843899303735.0,10951445584148.0,2726103463891.0,548793625662.0,659160621443.0,485479296031.0,485479296031.0,2018,Q2,
10407634042371.0,15745260745392.0,3026600751842.0,1414428584335.0,4441029336177.0,171377095000.0,10190471100667.0,11304231409215.0,2533000807884.0,368356871496.0,468486149595.0,343609171213.0,343609171213.0,2018,Q3,
10578491243169.0,15201889278985.0,2564885825816.0,1206445208437.0,3771331034253.0,171377095000.0,10311394202741.0,11430558244732.0,2282323728580.0,95959027511.0,166303600806.0,136599533025.0,136599533025.0,2018,Q4,
